user	item	prediction
19	318	4.5625
19	1234	4.1875
22	908	2.8125
22	910	3.364583333333333
22	1034	2.5
22	1097	3.1041666666666665
22	1884	2.9375
22	2011	3.052083333333333
22	2046	3.6145833333333335
22	2376	3.1979166666666665
22	3527	3.90625
22	3698	3.875
22	3896	3.208333333333333
23	327	3.25
23	915	2.5625
23	1090	2.0104166666666665
23	1204	1.5
23	1222	2.7916666666666665
23	1258	3.65625
23	1388	2.833333333333333
23	1958	2.7604166666666665
23	2119	3.28125
23	2148	2.375
23	2149	3.03125
23	2259	2.864583333333333
23	2409	2.25
23	2410	2.0729166666666665
23	2411	2.0104166666666665
23	2617	2.427083333333333
23	2641	3.28125
23	2642	3.375
23	2643	3.4166666666666665
23	2712	3.5416666666666665
23	2973	1.9479166666666667
23	3052	2.708333333333333
23	3396	1.71875
23	3525	2.645833333333333
23	3740	3.09375
36	260	3.96875
36	292	3.8020833333333335
36	368	4.291666666666667
36	507	3.6354166666666665
36	541	3.9375
36	555	4.0625
36	592	4.197916666666667
36	610	3.9270833333333335
36	858	4.177083333333333
36	1036	4.020833333333333
36	1101	4.125
36	1198	3.84375
36	1221	3.8645833333333335
36	1264	4.239583333333333
36	1374	4.333333333333333
36	1376	3.0729166666666665
36	1597	4.645833333333333
36	1608	4.145833333333333
36	1954	3.65625
36	2001	3.96875
36	2013	4.666666666666667
36	2105	4.072916666666667
36	2194	4.072916666666667
36	2273	4.416666666666667
36	2529	4.260416666666667
36	2617	4.104166666666667
36	2640	3.6770833333333335
36	2802	4.072916666666667
36	2948	4.583333333333333
36	2989	4.197916666666667
36	3104	4.729166666666667
36	3418	4.5625
36	3480	4.604166666666667
36	3576	4.364583333333333
36	3635	4.6875
36	3702	4.270833333333333
65	1	3.083333333333333
65	34	4.3125
65	454	3.6979166666666665
65	524	3.8229166666666665
65	587	4.875
65	588	4.46875
65	592	4.40625
65	832	4.114583333333333
65	1094	4.104166666666667
65	1259	4.458333333333333
65	1958	4.1875
65	2028	3.7083333333333335
65	2088	4.5625
65	2133	3.5625
65	2236	3.583333333333333
