method,window,RMSE_Male,RMSE_Female,RMSE_AbsDiff,MAE_Male,MAE_Female,MAE_AbsDiff,NDCG_Male,NDCG_Female,NDCG_AbsDiff,F1_Male,F1_Female,F1_AbsDiff
itemKNN,16,0.8813722837790451,1.231796452226998,0.3504241684479529,0.7027811321463838,0.9942344349886943,0.2914533028423105,0.905983785056756,0.8592296619263554,0.046754123130400616,0.7265135699373695,0.5737373737373738,0.15277619619999572
BIAS,16,0.860011092001041,1.1534863555922938,0.29347526359125287,0.6867946926389077,0.9251418928174636,0.23834720017855593,0.9037958360041336,0.8705401870424563,0.03325564896167732,0.7261146496815286,0.5497835497835498,0.1763310998979788
userKNN,16,0.9359546837694084,1.1667842028043736,0.23082951903496518,0.7502050652978035,0.9336445011443996,0.18343943584659606,0.8912287356645983,0.8523115743425904,0.03891716132200784,0.708994708994709,0.5665961945031712,0.14239851449153773
SVD,16,0.8634733642439081,1.1573941123847342,0.29392074814082614,0.6922727307831498,0.9269658979837914,0.2346931672006416,0.903498031756404,0.8678472219365022,0.03565080981990176,0.7181136120042872,0.5610278372591007,0.1570857747451866
BIASEDMF,16,0.8966410590864486,1.1647040382866682,0.2680629792002196,0.7207958000499546,0.9351126989603762,0.2143168989104216,0.8882379258278065,0.8570143600598072,0.03122356576799923,0.7174603174603175,0.5660377358490566,0.15142258161126088
BayesianRidge,16,0.8680099295922805,1.1617033713044755,0.293693441712195,0.6963131838492166,0.9317897956440344,0.23547661179481783,0.9028313142367752,0.8681576622785667,0.034673651958208485,0.7130620985010707,0.564755838641189,0.14830625985988177
Tweedie,16,0.8661757973539241,1.1571241394694212,0.290948342115497,0.6979966014659418,0.9333621166408844,0.23536551517494264,0.9045374474281572,0.8699626125831045,0.03457483484505275,0.7079646017699115,0.5353982300884956,0.17256637168141586
Ridge,16,0.8689226067562537,1.1624260644906397,0.293503457734386,0.6967142999399324,0.9321328607529752,0.2354185608130428,0.904158157496968,0.8692421155667092,0.03491604193025888,0.7171824973319103,0.5642105263157895,0.1529719710161208
RandomForest,16,0.8771074421594378,1.1476053440880551,0.27049790192861733,0.7003055768731253,0.9202324913584624,0.21992691448533708,0.9062856621357356,0.8710973124299842,0.035188349705751354,0.7207792207792207,0.5466377440347071,0.17414147674451363
Bagging,16,0.913183390704874,1.165107436008427,0.25192404530355306,0.7347267585874306,0.9402674427171588,0.20554068412972815,0.8817322037529112,0.8501811382586361,0.03155106549427511,0.6979722518676628,0.542016806722689,0.15595544514497373
AdaBoost,16,0.887059518911115,1.1489705123767302,0.2619109934656152,0.7090425389666531,0.9203779904711314,0.2113354515044783,0.9067076316637788,0.8700494644621727,0.036658167201606084,0.6936026936026936,0.5258426966292135,0.1677599969734801
GradientBoosting,16,0.891923461787914,1.1571365290193465,0.26521306723143245,0.7177325151092792,0.9308316598143728,0.2130991447050936,0.8957104765056296,0.8658060703990398,0.029904406106589843,0.703862660944206,0.5666666666666667,0.13719599427753937
LinearSVR,16,0.8666106943811006,1.1711876718223917,0.3045769774412911,0.6922633977943542,0.9369206411966616,0.24465724340230743,0.90337940986536,0.8675722813256844,0.0358071285396756,0.72840790842872,0.5685071574642127,0.1599007509645074
