method,RMSE,NDCG,F1,MAE
itemKNN,0.969382017914916,0.8817514402178447,0.7115600448933782,0.7617657136336083
BIAS,0.924799030235954,0.8925573316225455,0.7262443438914027,0.7296314163018428
userKNN,0.9895545571882062,0.8887473113289533,0.7290116896918172,0.7732006984573258
SVD,0.9245133687506659,0.8917958276718514,0.7295173961840629,0.7302210481300138
BIASEDMF,0.9372911497280573,0.8877931403129884,0.7254237288135593,0.7434971672430244
BayesianRidge,0.9226758697343738,0.8889929341664508,0.7126696832579186,0.7266371566007418
Tweedie,0.9290632509815849,0.8871536754692724,0.7085714285714285,0.735550215859278
Ridge,0.9237859582741084,0.8885290971114551,0.7167235494880546,0.7271524942027424
RandomForest,0.924799054659724,0.8874586890185607,0.733615221987315,0.732020611691303
Bagging,0.9492479358902047,0.8892808983934991,0.6971046770601337,0.7530745769382133
AdaBoost,0.9275712201842634,0.8887399167682737,0.7335423197492164,0.737047687910317
GradientBoosting,0.949460494899418,0.8825839380491511,0.72,0.753102759936391
LinearSVR,0.927967363061263,0.8875286812684835,0.7238723872387238,0.7286993313169343
