method,RMSE,NDCG,F1,MAE
itemKNN,0.8434378689780861,0.9093412566958632,0.7681063122923588,0.6501369782898989
BIAS,0.8699567658333014,0.8953982227171006,0.7527749747729566,0.6776025718703468
userKNN,0.8929941416693209,0.8908213887665803,0.7548408270429932,0.6894291037901734
SVD,0.8603984102427242,0.8979272284969172,0.7606293940408436,0.6709035697465725
BIASEDMF,0.857942058023586,0.9040837268905688,0.7655058043117745,0.6630372140809956
BayesianRidge,0.839727351611247,0.9034703273768036,0.7595552466990966,0.6549652826492633
Tweedie,0.8415151446744171,0.9041455606610966,0.7449712643678161,0.6581813229975285
Ridge,0.8397941217206618,0.9034715042748419,0.7595552466990966,0.6550030615497635
RandomForest,0.8389244424783813,0.9002407036964559,0.7614490772385509,0.6529521767418459
Bagging,0.8535554355638136,0.8942649127285642,0.753184165232358,0.6663588455476753
AdaBoost,0.8414044182856308,0.9033856769852578,0.7382256297918949,0.6560068079973785
GradientBoosting,0.8404725950487827,0.8992028376949445,0.7633482604202549,0.6545523686882152
LinearSVR,0.8410723925678857,0.9029567706051083,0.7624573378839591,0.6526274997224141
