method,RMSE,NDCG,F1,MAE
itemKNN,0.859932426715351,0.9009472210844311,0.7429246923023434,0.6716236928393224
BIAS,0.8990528157830229,0.8865566072375773,0.7229135906630106,0.7025877141762337
userKNN,0.9019442953909413,0.8943990929765848,0.7447961983802959,0.7019754555523581
SVD,0.8824700302472545,0.8938248709762795,0.7313852205675752,0.688792702628512
BIASEDMF,0.8660639529627967,0.898721832837029,0.7429832425349976,0.6756472529583303
BayesianRidge,0.9570914912707712,0.882847183595276,0.7132126761570928,0.7761429356577745
Tweedie,0.9582024510217372,0.8886238504284548,0.7122990004345937,0.7781083009770896
Ridge,0.9571139593692386,0.8823570713536194,0.7125384450325442,0.7760386432457245
RandomForest,0.9516613697969089,0.8963134395740878,0.7177619117004226,0.7734944863908647
Bagging,0.9717064731141841,0.8588752974844202,0.6672491626620067,0.7836777657242805
AdaBoost,0.9567751677442349,0.8933900335377627,0.7095408423972552,0.7812339585922828
GradientBoosting,0.9740483252953642,0.8828782949135668,0.7081796485137773,0.797689544116587
LinearSVR,0.9952568935228937,0.881508327815685,0.74256735340729,0.8116061852656885
