method,RMSE,NDCG,F1,MAE
SVD,0.981112942280712,0.880518039014932,0.6751161808196029,0.7729397319954029
BIASEDMF,0.995318433028058,0.8772563040137574,0.6708023159636063,0.7874786959507576
NMF,1.0562540134050507,0.8709190830321275,0.6461405030355594,0.8339900866383406
StochasticItemKNN,1.1229242493677645,0.8325903015171012,0.6415698838606327,0.8816820941128438
BayesianRidge,0.9765973187425723,0.8827520547765073,0.6727037516170763,0.7729223897383843
Tweedie,0.9794589644580172,0.882851569204165,0.6613475177304965,0.7786301880948012
Ridge,0.9765192379237986,0.8823176466913757,0.6709788702026735,0.772715261612453
RandomForest,0.9816497910751453,0.8821234833012876,0.6808333333333333,0.7727327490239394
Bagging,1.0075867700632541,0.8715041075232358,0.6647108130762783,0.7981672046348636
AdaBoost,0.9809580504891012,0.8815270908212219,0.6797167846730529,0.773424309862969
GradientBoosting,0.984406135761964,0.8804075990423244,0.6788990825688074,0.7727982291647308
LinearSVR,0.9803304785567409,0.8809622526836194,0.681592039800995,0.7724359479806474
