method,RMSE,NDCG,F1,MAE
itemKNN,0.9762503802656547,0.8794601748760731,0.7394997640396413,0.7609888820491573
BIAS,0.984961925177081,0.8760106671033024,0.7178841309823678,0.7754788183097434
userKNN,0.9561134378672407,0.8702634758987497,0.7429447852760737,0.7480210087371888
SVD,0.9450564440410254,0.8804914269122489,0.7316524088248537,0.7459919073749063
BIASEDMF,0.9523426241445134,0.8773807059358246,0.7302941836963844,0.7499773161345915
BayesianRidge,1.089577999906559,0.7921784838194277,0.6105125693764284,0.8872744669293686
Tweedie,1.0903620494620583,0.7912838709167027,0.5985012489592006,0.8894262792143752
Ridge,1.0896375731729504,0.7926778030883045,0.6101584190756165,0.8870759397156455
RandomForest,1.0901449657228526,0.7886582152038938,0.6146572104018913,0.8881693308667661
Bagging,1.1246615154531698,0.7893134848629497,0.5591686221924237,0.9102251645442551
AdaBoost,1.090003904255052,0.7886853112314077,0.6016879033592586,0.893713846422891
GradientBoosting,1.0922412126379657,0.7887425844671889,0.6110231232182451,0.8944477771561583
LinearSVR,1.0909574564803963,0.7908309513221465,0.6590072175578141,0.8897798719705426
