method,value
StochasticItemKNN,0.1044042986596774
StochasticItemKNN,0.1158645960577984
StochasticItemKNN,0.1102290962784994
StochasticItemKNN,0.1141817497711912
StochasticItemKNN,0.1087104139752047
StochasticItemKNN,0.0785664179784186
StochasticItemKNN,0.0777622025038243
StochasticItemKNN,0.079031331204817
StochasticItemKNN,0.0750578010353691
StochasticItemKNN,0.0798750884710293
StochasticItemKNN,0.0541677193612772
StochasticItemKNN,0.0528420648262855
StochasticItemKNN,0.0492412082800801
StochasticItemKNN,0.0596607914835956
StochasticItemKNN,0.0579031138598008
StochasticItemKNN,0.0940349465079012
StochasticItemKNN,0.0864352053247679
StochasticItemKNN,0.0893840854906428
StochasticItemKNN,0.0902427579182532
StochasticItemKNN,0.0855045803795613
StochasticItemKNN,0.0369000946664617
StochasticItemKNN,0.0243657821209635
StochasticItemKNN,0.0500049863393934
StochasticItemKNN,0.0293911039017268
StochasticItemKNN,0.0452772712246006
StochasticItemKNN,0.0428795416958718
StochasticItemKNN,0.0448594118909637
StochasticItemKNN,0.0380893448394448
StochasticItemKNN,0.0371826289096156
StochasticItemKNN,0.0415466834579167
StochasticItemKNN,0.0566176374849722
StochasticItemKNN,0.0528765501779471
StochasticItemKNN,0.0484747562476879
StochasticItemKNN,0.0442137237700519
StochasticItemKNN,0.0506288213395501
StochasticItemKNN,0.1365407232750448
StochasticItemKNN,0.1468535670895006
StochasticItemKNN,0.1320887576110211
StochasticItemKNN,0.1311770806196436
StochasticItemKNN,0.1376234141501019
StochasticItemKNN,0.064671052631579
StochasticItemKNN,0.0753687349026245
StochasticItemKNN,0.0671069099532311
StochasticItemKNN,0.0713315610449801
StochasticItemKNN,0.0637579102540342
StochasticItemKNN,0.0212281118639462
StochasticItemKNN,0.0328340100205747
StochasticItemKNN,0.0123715773478838
StochasticItemKNN,0.0268648606861353
StochasticItemKNN,0.0124184446053977
StochasticItemKNN,0.0344368211200523
StochasticItemKNN,0.0229756247808593
StochasticItemKNN,0.0406797753926234
StochasticItemKNN,0.0265845653009936
StochasticItemKNN,0.047147017270709
StochasticItemKNN,0.0481540906796833
StochasticItemKNN,0.0365588025162493
StochasticItemKNN,0.0453884833930989
StochasticItemKNN,0.0331548442853163
StochasticItemKNN,0.0474249075785582
StochasticItemKNN,0.0365525082153592
StochasticItemKNN,0.0238400437776941
StochasticItemKNN,0.0072726818438166
StochasticItemKNN,0.0138759214479087
StochasticItemKNN,0.0185952668397638
StochasticItemKNN,0.0157531166973227
StochasticItemKNN,0.0263286813186059
StochasticItemKNN,0.0253503885564955
StochasticItemKNN,0.0217756746694708
StochasticItemKNN,0.0256297216326698
