method,value
StochasticItemKNN,0.0263723429364539
StochasticItemKNN,0.0342194830169559
StochasticItemKNN,0.0306082704758268
StochasticItemKNN,0.0221988104292716
StochasticItemKNN,0.030730558999747
StochasticItemKNN,0.0504765513607574
StochasticItemKNN,0.0614110347984226
StochasticItemKNN,0.0517142217311523
StochasticItemKNN,0.0529666592184769
StochasticItemKNN,0.0459847719118751
StochasticItemKNN,0.0356779395717579
StochasticItemKNN,0.033531607031914
StochasticItemKNN,0.0325311359263127
StochasticItemKNN,0.0369608915510315
StochasticItemKNN,0.034512662393735
StochasticItemKNN,0.0367554880477547
StochasticItemKNN,0.0349379210884635
StochasticItemKNN,0.0335320595646781
StochasticItemKNN,0.037280561095319
StochasticItemKNN,0.0360593126790154
StochasticItemKNN,0.0841386103339162
StochasticItemKNN,0.08116530298874
StochasticItemKNN,0.0772045214932977
StochasticItemKNN,0.0810811203835246
StochasticItemKNN,0.0738706558428066
StochasticItemKNN,0.0448774563516547
StochasticItemKNN,0.0584747907568081
StochasticItemKNN,0.0483123207144446
StochasticItemKNN,0.0417230013777456
StochasticItemKNN,0.046250269470889
StochasticItemKNN,0.0105161681059307
StochasticItemKNN,0.006832159124877
StochasticItemKNN,0.0146650255628653
StochasticItemKNN,0.0128064733703849
StochasticItemKNN,0.0078232353491893
StochasticItemKNN,0.1260827741713535
StochasticItemKNN,0.1164581823031463
StochasticItemKNN,0.1263271101967029
StochasticItemKNN,0.1199051479343542
StochasticItemKNN,0.1124364509708737
StochasticItemKNN,0.0404583100451205
StochasticItemKNN,0.0472757650241337
StochasticItemKNN,0.0593087901112834
StochasticItemKNN,0.0557194711149986
StochasticItemKNN,0.0512071025672595
StochasticItemKNN,0.0378806464008023
StochasticItemKNN,0.0242952388325754
StochasticItemKNN,0.0151138847204566
StochasticItemKNN,0.025632079928112
StochasticItemKNN,0.0132643543170072
StochasticItemKNN,0.0399551946007994
StochasticItemKNN,0.0434032730175413
StochasticItemKNN,0.0665068736140783
StochasticItemKNN,0.0421424548996089
StochasticItemKNN,0.047742155457271
StochasticItemKNN,0.0259900204604321
StochasticItemKNN,0.0253769185567489
StochasticItemKNN,0.0204057489336886
StochasticItemKNN,0.0170107258691654
StochasticItemKNN,0.0206417131340923
StochasticItemKNN,0.0052790639642243
StochasticItemKNN,0.0019318270665209
StochasticItemKNN,0.0041198093277328
StochasticItemKNN,0.0075402583910999
StochasticItemKNN,0.0235099744372775
StochasticItemKNN,0.1127079069027201
StochasticItemKNN,0.1017326160307974
StochasticItemKNN,0.1049098929669067
StochasticItemKNN,0.1062883469229247
StochasticItemKNN,0.113454509644826
StochasticItemKNN,0.1477574783157829
StochasticItemKNN,0.15285688914292
StochasticItemKNN,0.1649391916754718
StochasticItemKNN,0.163386469980485
StochasticItemKNN,0.148244729618834
StochasticItemKNN,0.2503820275358326
StochasticItemKNN,0.260270139793658
StochasticItemKNN,0.2391432725094127
StochasticItemKNN,0.2471942011213066
StochasticItemKNN,0.2593533478825995
StochasticItemKNN,0.1798928124625217
StochasticItemKNN,0.1642672720580416
StochasticItemKNN,0.1784047888858608
StochasticItemKNN,0.1770885130895876
StochasticItemKNN,0.1728811551602742
StochasticItemKNN,0.0629297055862778
StochasticItemKNN,0.0746025729641564
StochasticItemKNN,0.090069259947791
StochasticItemKNN,0.0740538402612844
StochasticItemKNN,0.0722987800480385
StochasticItemKNN,0.5098130048404541
StochasticItemKNN,0.4741413304318491
StochasticItemKNN,0.4906193700530143
StochasticItemKNN,0.4935861075161649
StochasticItemKNN,0.4914228208084197
StochasticItemKNN,0.5079885990053854
StochasticItemKNN,0.5191629498182171
StochasticItemKNN,0.5216667428926667
StochasticItemKNN,0.5339984781272877
StochasticItemKNN,0.506207487438828
NMF,0.0106494231596137
NMF,0.0115640314047205
NMF,0.0171961205161045
NMF,0.0089961606219293
NMF,0.0103220102632795
NMF,0.0467906148412847
NMF,0.039317432866438
NMF,0.0468266492439377
NMF,0.0456986720506907
NMF,0.0462182459823543
NMF,0.0296338659992694
NMF,0.0294817558227609
NMF,0.0330337439109822
NMF,0.0289391567878408
NMF,0.0280645617161736
NMF,0.0414756269682886
NMF,0.046499877481494
NMF,0.0447290350648479
NMF,0.0389089811981268
NMF,0.0415133860404001
NMF,0.0467658060669889
NMF,0.038247941665727
NMF,0.0342468669115968
NMF,0.0438494060945133
NMF,0.0413032754622264
NMF,0.0377369149852139
NMF,0.0262108620103161
NMF,0.0413400795700097
NMF,0.0271219020770725
NMF,0.0259412130732913
NMF,0.0088922124589138
NMF,0.0068118124368343
NMF,0.0036857424990146
NMF,0.0027750127926051
NMF,0.0056810819513933
NMF,0.0440486930556467
NMF,0.0510009400143184
NMF,0.0485218247405645
NMF,0.0378208980774704
NMF,0.0483851148510983
NMF,0.0283545308320932
NMF,0.0169827425529769
NMF,0.0321064363762295
NMF,0.0280300932373487
NMF,0.0471302234255838
NMF,0.0142752856590863
NMF,0.0332652244887411
NMF,0.0175980866788203
NMF,0.0012988647192303
NMF,0.0084725938166906
NMF,0.0067471507632688
NMF,0.0387083382295657
NMF,0.0312234737196499
NMF,0.0202046191971109
NMF,0.0196246079707617
NMF,0.0533894816468359
NMF,0.0425472795595244
NMF,0.046340670760692
NMF,0.0451465434916468
NMF,0.0633301762821263
NMF,0.0374381209350671
NMF,0.0045676898685732
NMF,0.007805054709375
NMF,0.0275523673080105
NMF,0.010000425741274
NMF,0.162476073329122
NMF,0.156517154309045
NMF,0.1465786825186732
NMF,0.143241444621335
NMF,0.1354452439463269
NMF,0.1282801880143391
NMF,0.1583803635572651
NMF,0.1402731142744893
NMF,0.126848689964397
NMF,0.1327752361650245
NMF,0.166219022762723
NMF,0.2292298132060636
NMF,0.1978532290295584
NMF,0.179879439140696
NMF,0.1809528447509472
NMF,0.1480528653544244
NMF,0.089775498368558
NMF,0.1095422725140851
NMF,0.1285944714499296
NMF,0.099965439183929
NMF,0.0714058555423275
NMF,0.0553687422528624
NMF,0.053060280972794
NMF,0.0636550546035479
NMF,0.0799116121895224
NMF,0.4687120300491605
NMF,0.5033892595375953
NMF,0.465797722502856
NMF,0.5002068473306822
NMF,0.5022776349502542
NMF,0.5151768450767077
NMF,0.4852353585374267
NMF,0.5051211196069472
NMF,0.4843326633066787
NMF,0.473578120790695
SVD,0.0181397937556914
SVD,0.0232084369422709
SVD,0.0210626452617459
SVD,0.0191199353995696
SVD,0.0198527613274298
SVD,0.0504930973240186
SVD,0.0496411086860563
SVD,0.050299273478029
SVD,0.047377741396185
SVD,0.0487381748750463
SVD,0.0339279563309946
SVD,0.0343898759155506
SVD,0.0367016421818288
SVD,0.0355037915354305
SVD,0.0362613282410303
SVD,0.0397770421067129
SVD,0.0389986434058418
SVD,0.0370970818341337
SVD,0.0355902355015164
SVD,0.0401996533949048
SVD,0.0318155541255628
SVD,0.0336447933113185
SVD,0.0321226290906569
SVD,0.0329361298194165
SVD,0.0340977711073529
SVD,0.0011549632444638
SVD,0.0017507975719133
SVD,0.003665154591112
SVD,0.0016012601131281
SVD,0.0026145882728625
SVD,0.0236032065551273
SVD,0.0241012789148978
SVD,0.0262676409292546
SVD,0.0260368448282595
SVD,0.0263116194999375
SVD,0.0579020273668571
SVD,0.0579187685762023
SVD,0.0571657151112205
SVD,0.0538494464247506
SVD,0.0548192552098663
SVD,0.0053203881121278
SVD,0.0066635146832779
SVD,0.0064630481175287
SVD,0.0056552565083111
SVD,0.0051001029213484
SVD,0.0020095068122196
SVD,4.193176034916757e-05
SVD,0.0005541286734195
SVD,0.0009654325803044
SVD,0.0015754180314455
SVD,0.0152421989377122
SVD,0.013613456157662
SVD,0.0128153295727254
SVD,0.0144940250734735
SVD,0.0129786336560699
SVD,0.0357844080377651
SVD,0.0365744456688567
SVD,0.0381561217981661
SVD,0.0368891589272917
SVD,0.0373004601362071
SVD,0.0303878245718248
SVD,0.028976377999708
SVD,0.0282419745183707
SVD,0.0296562263140724
SVD,0.028523912978971
SVD,0.141477060688561
SVD,0.1421351013940782
SVD,0.1413233129324164
SVD,0.142018873052674
SVD,0.1394992153315924
SVD,0.1503018387706686
SVD,0.1487637810019155
SVD,0.1520113439702616
SVD,0.1493587809326994
SVD,0.1507426299722775
SVD,0.2087619240176117
SVD,0.2081420845451244
SVD,0.2070485927409984
SVD,0.2073235066035961
SVD,0.2070058055657112
SVD,0.1554876620228977
SVD,0.1583352916747519
SVD,0.1577610916090512
SVD,0.1561889674122877
SVD,0.158622231391719
SVD,0.0427910120299863
SVD,0.0402054457401939
SVD,0.0404782356639603
SVD,0.0406393214486918
SVD,0.0419597131991
SVD,0.0355373707993089
SVD,0.0358973525233171
SVD,0.0327553015137047
SVD,0.0332408100203259
SVD,0.0339253993101852
SVD,0.0672732847937314
SVD,0.0686460625075023
SVD,0.0670201086717986
SVD,0.0685641985792996
SVD,0.0668662810927573
BIASEDMF,0.0141920336844171
BIASEDMF,0.0140215067817368
BIASEDMF,0.0145011724482501
BIASEDMF,0.0140298981533437
BIASEDMF,0.0147075813516233
BIASEDMF,0.0505869192268538
BIASEDMF,0.050904914419311
BIASEDMF,0.0506501826228514
BIASEDMF,0.050782322502111
BIASEDMF,0.0506318926626153
BIASEDMF,0.0321893402685364
BIASEDMF,0.0324905559516873
BIASEDMF,0.0329022382073277
BIASEDMF,0.0325180564233458
BIASEDMF,0.0331347858778201
BIASEDMF,0.0369094340445983
BIASEDMF,0.0363952470619527
BIASEDMF,0.0368843680124785
BIASEDMF,0.0357055975434615
BIASEDMF,0.0376948565770157
BIASEDMF,0.0308376348020769
BIASEDMF,0.031199672674177
BIASEDMF,0.0313488798556357
BIASEDMF,0.0305927571265398
BIASEDMF,0.032068489395741
BIASEDMF,0.0002542075277767
BIASEDMF,0.0012211260830202
BIASEDMF,0.0001509550245105
BIASEDMF,0.0010880985870682
BIASEDMF,0.0016604415536866
BIASEDMF,0.0226334891453048
BIASEDMF,0.0219558150832598
BIASEDMF,0.0218608509690857
BIASEDMF,0.0203413275474694
BIASEDMF,0.0220806634438774
BIASEDMF,0.0532483642807082
BIASEDMF,0.0567773422060021
BIASEDMF,0.0514779020472234
BIASEDMF,0.0542170545599608
BIASEDMF,0.0547187711341607
BIASEDMF,0.0039578935208383
BIASEDMF,0.0031156599382566
BIASEDMF,0.0029957226546688
BIASEDMF,0.0065730609713714
BIASEDMF,0.0073717865360057
BIASEDMF,0.0054366635020461
BIASEDMF,0.0026268869717518
BIASEDMF,0.0048556762747483
BIASEDMF,0.0026063555091164
BIASEDMF,0.006380746950312
BIASEDMF,0.0021350070884241
BIASEDMF,0.0044401414018686
BIASEDMF,0.0015559736567988
BIASEDMF,0.0004407015636623
BIASEDMF,0.0004151122397095
BIASEDMF,0.0479027941133688
BIASEDMF,0.0510373402009082
BIASEDMF,0.0502583081205565
BIASEDMF,0.0495287935959728
BIASEDMF,0.0486546923703499
BIASEDMF,0.0310180871630474
BIASEDMF,0.0317965866935546
BIASEDMF,0.0280409030203765
BIASEDMF,0.0327762413069681
BIASEDMF,0.033144647555746
BIASEDMF,0.1376021833964555
BIASEDMF,0.1361268902450954
BIASEDMF,0.1390055735571683
BIASEDMF,0.137290169253167
BIASEDMF,0.1345017178981081
BIASEDMF,0.1380373165969624
BIASEDMF,0.1392250872396618
BIASEDMF,0.1379009878799576
BIASEDMF,0.1410175499297975
BIASEDMF,0.1414945780189017
BIASEDMF,0.1893685009962599
BIASEDMF,0.1921400293359312
BIASEDMF,0.1934859365915106
BIASEDMF,0.1927292921261276
BIASEDMF,0.1908614659880282
BIASEDMF,0.1608897846964774
BIASEDMF,0.1558224166485696
BIASEDMF,0.1577248901311556
BIASEDMF,0.1586900000444715
BIASEDMF,0.1602884640437814
BIASEDMF,0.0415673077259607
BIASEDMF,0.0397252027561711
BIASEDMF,0.0401843425342929
BIASEDMF,0.0408302524349822
BIASEDMF,0.0394177569658336
BIASEDMF,0.0394021749999057
BIASEDMF,0.0374472901869102
BIASEDMF,0.0378363143658909
BIASEDMF,0.0391678237385367
BIASEDMF,0.0381368136932041
BIASEDMF,0.0572499895627908
BIASEDMF,0.0617874356075531
BIASEDMF,0.0559874006229071
BIASEDMF,0.0583794298489179
BIASEDMF,0.0556929630704553
BayesianRidge,0.0090345701849785
BayesianRidge,0.007981116663676
BayesianRidge,0.0068224360768722
BayesianRidge,0.0071822189772279
BayesianRidge,0.0098180060885131
BayesianRidge,0.0260374243348271
BayesianRidge,0.0294532377399074
BayesianRidge,0.030082825709075
BayesianRidge,0.0280269574678964
BayesianRidge,0.028129087174078
BayesianRidge,0.0087487303414297
BayesianRidge,0.008385391830169
BayesianRidge,0.010218942457548
BayesianRidge,0.0065334770795686
BayesianRidge,0.0058052725679238
BayesianRidge,0.0146738007300226
BayesianRidge,0.0111201960421352
BayesianRidge,0.0095622054517265
BayesianRidge,0.0117300439397922
BayesianRidge,0.0123463090287936
BayesianRidge,0.0276875359609596
BayesianRidge,0.0298826053870366
BayesianRidge,0.0268298749847502
BayesianRidge,0.0281849823064821
BayesianRidge,0.0282369232935133
BayesianRidge,0.004975063908732
BayesianRidge,0.0032292991338114
BayesianRidge,0.0023984658444227
BayesianRidge,0.0020030023788855
BayesianRidge,0.003307791976238
BayesianRidge,0.0350166740521165
BayesianRidge,0.0333677777953189
BayesianRidge,0.0354549124522201
BayesianRidge,0.0337059571491789
BayesianRidge,0.0322610779614009
BayesianRidge,0.0441475533170563
BayesianRidge,0.0498646421026434
BayesianRidge,0.0471499462141029
BayesianRidge,0.0459565985750125
BayesianRidge,0.047017761908118
BayesianRidge,0.0046651694276094
BayesianRidge,0.0021551713365313
BayesianRidge,0.0009228679544017
BayesianRidge,0.0010910579059122
BayesianRidge,0.000654494410575
BayesianRidge,0.0887881114670088
BayesianRidge,0.0914055461505265
BayesianRidge,0.0925942486577156
BayesianRidge,0.0930330644872494
BayesianRidge,0.090108585317608
BayesianRidge,0.0732952689731925
BayesianRidge,0.0734268108883151
BayesianRidge,0.0763365060709677
BayesianRidge,0.0784764356032436
BayesianRidge,0.0777408999753477
BayesianRidge,0.0081715277844591
BayesianRidge,0.0154715551104684
BayesianRidge,0.0143125156065422
BayesianRidge,0.0099359237434766
BayesianRidge,0.0109327157187173
BayesianRidge,0.0294471675317056
BayesianRidge,0.0300517621086404
BayesianRidge,0.0233051083757593
BayesianRidge,0.0254680714801884
BayesianRidge,0.0285942758298176
BayesianRidge,0.1210433465167672
BayesianRidge,0.1288829538255289
BayesianRidge,0.1240652235381007
BayesianRidge,0.1247193180036472
BayesianRidge,0.1268326037817786
BayesianRidge,0.1805246276329108
BayesianRidge,0.1880017387151453
BayesianRidge,0.1808837802715861
BayesianRidge,0.1819530112999934
BayesianRidge,0.1824360056885323
BayesianRidge,0.2216828097553254
BayesianRidge,0.223892373751029
BayesianRidge,0.2224675036567731
BayesianRidge,0.2260043518459589
BayesianRidge,0.2226460486551396
BayesianRidge,0.2109732348463634
BayesianRidge,0.2123859837883338
BayesianRidge,0.204491651439252
BayesianRidge,0.2104827155409603
BayesianRidge,0.2100730285324782
BayesianRidge,0.0801171279436795
BayesianRidge,0.083037730335821
BayesianRidge,0.0833234182278708
BayesianRidge,0.086144412095381
BayesianRidge,0.0877266228524696
BayesianRidge,0.0148138336957728
BayesianRidge,0.0114445450407825
BayesianRidge,0.0159028766735425
BayesianRidge,0.0104327171959897
BayesianRidge,0.015131157376901
BayesianRidge,0.1078105898525392
BayesianRidge,0.1042536536871385
BayesianRidge,0.1007228508498663
BayesianRidge,0.110050004552483
BayesianRidge,0.1051845425513944
Tweedie,0.0052967413387559
Tweedie,0.0057162492004252
Tweedie,0.0049527720463875
Tweedie,0.0035125395886781
Tweedie,0.006536200218979
Tweedie,0.0262837249619005
Tweedie,0.0278567361634261
Tweedie,0.0272178704282926
Tweedie,0.0266456223816886
Tweedie,0.0267554459864018
Tweedie,0.0046403108012453
Tweedie,0.0033177968524824
Tweedie,0.004841723663679
Tweedie,0.0027115785392455
Tweedie,0.003153688097135
Tweedie,0.0089978443166436
Tweedie,0.0083964074990807
Tweedie,0.0075183728561059
Tweedie,0.0091616690830664
Tweedie,0.0099693205089383
Tweedie,0.0250080417213567
Tweedie,0.0273232421508109
Tweedie,0.0267507351339477
