method,value
StochasticItemKNN,0.937498250277922
StochasticItemKNN,0.92905698196126
StochasticItemKNN,0.9693525101775292
StochasticItemKNN,0.9204270972858788
StochasticItemKNN,0.8869208051793235
StochasticItemKNN,0.7086016533074174
StochasticItemKNN,0.7083423847351318
StochasticItemKNN,0.708953778078966
StochasticItemKNN,0.7067809861777172
StochasticItemKNN,0.7014942691376483
StochasticItemKNN,0.7475914275357631
StochasticItemKNN,0.7376938541372703
StochasticItemKNN,0.7677657792676813
StochasticItemKNN,0.7469881981260944
StochasticItemKNN,0.7353659381836324
StochasticItemKNN,0.8738958399580968
StochasticItemKNN,0.8996503990263689
StochasticItemKNN,0.8559316433975079
StochasticItemKNN,0.8478874180109947
StochasticItemKNN,0.8392206374490557
StochasticItemKNN,0.7364211586004148
StochasticItemKNN,0.7362443252738913
StochasticItemKNN,0.7349246840049685
StochasticItemKNN,0.7375710870015627
StochasticItemKNN,0.7367765885965939
StochasticItemKNN,0.7667602807520576
StochasticItemKNN,0.7646677842234342
StochasticItemKNN,0.765222287774066
StochasticItemKNN,0.7647157678086342
StochasticItemKNN,0.7649373758964567
StochasticItemKNN,0.7294647958556476
StochasticItemKNN,0.7374216304119319
StochasticItemKNN,0.7332898526533824
StochasticItemKNN,0.7323728398492945
StochasticItemKNN,0.7332202739796437
StochasticItemKNN,0.976100608267654
StochasticItemKNN,0.973904760715421
StochasticItemKNN,0.974036491740005
StochasticItemKNN,0.9755853617880867
StochasticItemKNN,0.9765786668138492
StochasticItemKNN,0.7752521262167837
StochasticItemKNN,0.7768562602550924
StochasticItemKNN,0.7773126569814606
StochasticItemKNN,0.7796577250092094
StochasticItemKNN,0.7778174298608991
StochasticItemKNN,0.7393649804101438
StochasticItemKNN,0.7377704420358591
StochasticItemKNN,0.753926433841993
StochasticItemKNN,0.7384149522661924
StochasticItemKNN,0.7376571188065084
StochasticItemKNN,0.6827042376075642
StochasticItemKNN,0.6859172014423662
StochasticItemKNN,0.6840457202575125
StochasticItemKNN,0.6854091981521044
StochasticItemKNN,0.6829567324938515
StochasticItemKNN,0.7160282367452472
StochasticItemKNN,0.7195350011352946
StochasticItemKNN,0.7208306225804331
StochasticItemKNN,0.7424638399366775
StochasticItemKNN,0.7162742158633617
StochasticItemKNN,0.7031685908360421
StochasticItemKNN,0.7978349419067061
StochasticItemKNN,0.701833170331269
StochasticItemKNN,0.7000559325897251
StochasticItemKNN,0.7008877307921108
StochasticItemKNN,0.6837766909992948
StochasticItemKNN,0.6990014663473705
StochasticItemKNN,0.7262481324065955
StochasticItemKNN,0.7104521390816527
StochasticItemKNN,0.7023442016650406
StochasticItemKNN,0.6588961719980064
StochasticItemKNN,0.675948079037901
StochasticItemKNN,0.7014407929756699
StochasticItemKNN,0.6970587708751665
StochasticItemKNN,0.7003530118765255
StochasticItemKNN,0.7672576616710299
StochasticItemKNN,0.7325529738048565
StochasticItemKNN,0.7181799610475379
StochasticItemKNN,0.728884110169997
StochasticItemKNN,0.7440020590149977
StochasticItemKNN,0.6635518995393493
StochasticItemKNN,0.7094261723554501
StochasticItemKNN,0.6563988353607046
StochasticItemKNN,0.7174084973094179
StochasticItemKNN,0.7467678488084944
StochasticItemKNN,0.7101654867353606
StochasticItemKNN,0.6536308979885627
StochasticItemKNN,0.6009956351488774
StochasticItemKNN,0.6759779682023436
StochasticItemKNN,0.6638818022369911
StochasticItemKNN,1.0944094279981114
StochasticItemKNN,1.0971952474443851
StochasticItemKNN,1.0953655222626222
StochasticItemKNN,1.0995666048481196
StochasticItemKNN,1.0997761875584324
StochasticItemKNN,1.102632331898959
StochasticItemKNN,1.1022892811642973
StochasticItemKNN,1.0932189912410768
StochasticItemKNN,1.099678617121432
StochasticItemKNN,1.1013697029877043
NMF,0.9566481948280716
NMF,0.949919623841711
NMF,0.9886182426219964
NMF,0.9410233346151334
NMF,0.909242512857278
NMF,0.7335059562237245
NMF,0.7309671443243537
NMF,0.7310868409175293
NMF,0.7295321486679303
NMF,0.7237098551374248
NMF,0.7675321151300121
NMF,0.7592490815791988
NMF,0.7864217951291814
NMF,0.7668344870378825
NMF,0.7557552991062157
NMF,0.8938907934012394
NMF,0.9194894118373552
NMF,0.8760065852237195
NMF,0.8699685807809916
NMF,0.8597677917481541
NMF,0.7633575173107744
NMF,0.7638773948117518
NMF,0.7646149690994115
NMF,0.7653367044145861
NMF,0.7645356411102908
NMF,0.7964676768822215
NMF,0.7962750019136646
NMF,0.7977784604073552
NMF,0.796159999522993
NMF,0.798122401148048
NMF,0.7630452039087067
NMF,0.7663646781374988
NMF,0.7624174377414147
NMF,0.7630637132054605
NMF,0.7616797612385443
NMF,0.997581620353187
NMF,0.9977969360881384
NMF,0.9967960473521178
NMF,0.997306982847414
NMF,0.9973339285515656
NMF,0.7919966428411167
NMF,0.7933002874071776
NMF,0.7915716298402148
NMF,0.7935176186182451
NMF,0.7901844037665221
NMF,0.7499597549707767
NMF,0.7510964600640674
NMF,0.7678195634832665
NMF,0.7544324524917029
NMF,0.7525919111233942
NMF,0.7006703747864781
NMF,0.6939514838019156
NMF,0.6923900305232733
NMF,0.6912868339669489
NMF,0.6918194155424948
NMF,0.7259801383050215
NMF,0.7335115776871257
NMF,0.7281583705811859
NMF,0.7497048100096022
NMF,0.7226805218626506
NMF,0.7074409469067084
NMF,0.8013926344573495
NMF,0.7134870084214834
NMF,0.7099855111954114
NMF,0.705737463469398
NMF,0.6846731681777863
NMF,0.7023273786289644
NMF,0.7301494994775574
NMF,0.7106689621658073
NMF,0.7083350596130364
NMF,0.6672181041946446
NMF,0.683242531150324
NMF,0.7039721261411321
NMF,0.6986303781788237
NMF,0.6997813888365312
