analysis_type,metric,num_methods,methods,total_samples,sample_sizes,f_statistic,p_value_anova,h_statistic,p_value_kruskal,significant_anova,significant_kruskal,status
georisk,rmse,12,"StochasticItemKNN, NMF, SVD, BIASEDMF, BayesianRidge, Tweedie, Ridge, RandomForest, Bagging, AdaBoost, GradientBoosting, LinearSVR",1200,"{'StochasticItemKNN': 100, 'NMF': 100, 'SVD': 100, 'BIASEDMF': 100, 'BayesianRidge': 100, 'Tweedie': 100, 'Ridge': 100, 'RandomForest': 100, 'Bagging': 100, 'AdaBoost': 100, 'GradientBoosting': 100, 'LinearSVR': 100}",2.847655,0.001087,100.95306,0.0,True,True,✓ SIGNIFICANTE
georisk,f1,12,"StochasticItemKNN, NMF, SVD, BIASEDMF, BayesianRidge, Tweedie, Ridge, RandomForest, Bagging, AdaBoost, GradientBoosting, LinearSVR",1200,"{'StochasticItemKNN': 100, 'NMF': 100, 'SVD': 100, 'BIASEDMF': 100, 'BayesianRidge': 100, 'Tweedie': 100, 'Ridge': 100, 'RandomForest': 100, 'Bagging': 100, 'AdaBoost': 100, 'GradientBoosting': 100, 'LinearSVR': 100}",302.482302,0.0,760.657877,0.0,True,True,✓ SIGNIFICANTE
georisk,ndcg,12,"StochasticItemKNN, NMF, SVD, BIASEDMF, BayesianRidge, Tweedie, Ridge, RandomForest, Bagging, AdaBoost, GradientBoosting, LinearSVR",1200,"{'StochasticItemKNN': 100, 'NMF': 100, 'SVD': 100, 'BIASEDMF': 100, 'BayesianRidge': 100, 'Tweedie': 100, 'Ridge': 100, 'RandomForest': 100, 'Bagging': 100, 'AdaBoost': 100, 'GradientBoosting': 100, 'LinearSVR': 100}",1109.367209,0.0,825.451235,0.0,True,True,✓ SIGNIFICANTE
georisk,mae,12,"StochasticItemKNN, NMF, SVD, BIASEDMF, BayesianRidge, Tweedie, Ridge, RandomForest, Bagging, AdaBoost, GradientBoosting, LinearSVR",1200,"{'StochasticItemKNN': 100, 'NMF': 100, 'SVD': 100, 'BIASEDMF': 100, 'BayesianRidge': 100, 'Tweedie': 100, 'Ridge': 100, 'RandomForest': 100, 'Bagging': 100, 'AdaBoost': 100, 'GradientBoosting': 100, 'LinearSVR': 100}",1.959924,0.029028,87.758963,0.0,True,True,✓ SIGNIFICANTE
fairness_gender,rmse,12,"StochasticItemKNN, NMF, SVD, BIASEDMF, BayesianRidge, Tweedie, Ridge, RandomForest, Bagging, AdaBoost, GradientBoosting, LinearSVR",1200,"{'StochasticItemKNN': 100, 'NMF': 100, 'SVD': 100, 'BIASEDMF': 100, 'BayesianRidge': 100, 'Tweedie': 100, 'Ridge': 100, 'RandomForest': 100, 'Bagging': 100, 'AdaBoost': 100, 'GradientBoosting': 100, 'LinearSVR': 100}",4.681798,0.0,23.80971,0.01356,True,True,✓ SIGNIFICANTE
fairness_gender,f1,12,"StochasticItemKNN, NMF, SVD, BIASEDMF, BayesianRidge, Tweedie, Ridge, RandomForest, Bagging, AdaBoost, GradientBoosting, LinearSVR",1200,"{'StochasticItemKNN': 100, 'NMF': 100, 'SVD': 100, 'BIASEDMF': 100, 'BayesianRidge': 100, 'Tweedie': 100, 'Ridge': 100, 'RandomForest': 100, 'Bagging': 100, 'AdaBoost': 100, 'GradientBoosting': 100, 'LinearSVR': 100}",14.894893,0.0,187.470743,0.0,True,True,✓ SIGNIFICANTE
fairness_gender,ndcg,12,"StochasticItemKNN, NMF, SVD, BIASEDMF, BayesianRidge, Tweedie, Ridge, RandomForest, Bagging, AdaBoost, GradientBoosting, LinearSVR",1200,"{'StochasticItemKNN': 100, 'NMF': 100, 'SVD': 100, 'BIASEDMF': 100, 'BayesianRidge': 100, 'Tweedie': 100, 'Ridge': 100, 'RandomForest': 100, 'Bagging': 100, 'AdaBoost': 100, 'GradientBoosting': 100, 'LinearSVR': 100}",4.323781,2e-06,35.093047,0.000239,True,True,✓ SIGNIFICANTE
fairness_gender,mae,12,"StochasticItemKNN, NMF, SVD, BIASEDMF, BayesianRidge, Tweedie, Ridge, RandomForest, Bagging, AdaBoost, GradientBoosting, LinearSVR",1200,"{'StochasticItemKNN': 100, 'NMF': 100, 'SVD': 100, 'BIASEDMF': 100, 'BayesianRidge': 100, 'Tweedie': 100, 'Ridge': 100, 'RandomForest': 100, 'Bagging': 100, 'AdaBoost': 100, 'GradientBoosting': 100, 'LinearSVR': 100}",2.917314,0.000826,20.175349,0.042993,True,True,✓ SIGNIFICANTE
fairness_activity,rmse,12,"StochasticItemKNN, NMF, SVD, BIASEDMF, BayesianRidge, Tweedie, Ridge, RandomForest, Bagging, AdaBoost, GradientBoosting, LinearSVR",1160,"{'StochasticItemKNN': 100, 'NMF': 100, 'SVD': 100, 'BIASEDMF': 100, 'BayesianRidge': 95, 'Tweedie': 95, 'Ridge': 95, 'RandomForest': 95, 'Bagging': 95, 'AdaBoost': 95, 'GradientBoosting': 95, 'LinearSVR': 95}",7.45109,0.0,96.836255,0.0,True,True,✓ SIGNIFICANTE
fairness_activity,f1,12,"StochasticItemKNN, NMF, SVD, BIASEDMF, BayesianRidge, Tweedie, Ridge, RandomForest, Bagging, AdaBoost, GradientBoosting, LinearSVR",1160,"{'StochasticItemKNN': 100, 'NMF': 100, 'SVD': 100, 'BIASEDMF': 100, 'BayesianRidge': 95, 'Tweedie': 95, 'Ridge': 95, 'RandomForest': 95, 'Bagging': 95, 'AdaBoost': 95, 'GradientBoosting': 95, 'LinearSVR': 95}",9.202847,0.0,73.601048,0.0,True,True,✓ SIGNIFICANTE
fairness_activity,ndcg,12,"StochasticItemKNN, NMF, SVD, BIASEDMF, BayesianRidge, Tweedie, Ridge, RandomForest, Bagging, AdaBoost, GradientBoosting, LinearSVR",1160,"{'StochasticItemKNN': 100, 'NMF': 100, 'SVD': 100, 'BIASEDMF': 100, 'BayesianRidge': 95, 'Tweedie': 95, 'Ridge': 95, 'RandomForest': 95, 'Bagging': 95, 'AdaBoost': 95, 'GradientBoosting': 95, 'LinearSVR': 95}",32.124247,0.0,561.004433,0.0,True,True,✓ SIGNIFICANTE
fairness_activity,mae,12,"StochasticItemKNN, NMF, SVD, BIASEDMF, BayesianRidge, Tweedie, Ridge, RandomForest, Bagging, AdaBoost, GradientBoosting, LinearSVR",1160,"{'StochasticItemKNN': 100, 'NMF': 100, 'SVD': 100, 'BIASEDMF': 100, 'BayesianRidge': 95, 'Tweedie': 95, 'Ridge': 95, 'RandomForest': 95, 'Bagging': 95, 'AdaBoost': 95, 'GradientBoosting': 95, 'LinearSVR': 95}",7.26555,0.0,89.200891,0.0,True,True,✓ SIGNIFICANTE
