group1,group2,meandiff,p-adj,lower,upper,reject
AdaBoost,BIASEDMF,-0.0407,0.0,-0.0655,-0.0158,True
AdaBoost,Bagging,-0.0057,0.9999,-0.0309,0.0194,False
AdaBoost,BayesianRidge,-0.0037,1.0,-0.0289,0.0215,False
AdaBoost,GradientBoosting,-0.0027,1.0,-0.0279,0.0225,False
AdaBoost,LinearSVR,-0.0055,0.9999,-0.0306,0.0197,False
AdaBoost,NMF,-0.026,0.0311,-0.0509,-0.0011,True
AdaBoost,RandomForest,0.0017,1.0,-0.0235,0.0269,False
AdaBoost,Ridge,-0.0039,1.0,-0.0291,0.0213,False
AdaBoost,SVD,-0.0413,0.0,-0.0662,-0.0165,True
AdaBoost,StochasticItemKNN,-0.0238,0.0746,-0.0487,0.001,False
AdaBoost,Tweedie,0.0034,1.0,-0.0217,0.0286,False
BIASEDMF,Bagging,0.0349,0.0003,0.0101,0.0598,True
BIASEDMF,BayesianRidge,0.037,0.0001,0.0121,0.0619,True
BIASEDMF,GradientBoosting,0.038,0.0,0.0131,0.0628,True
BIASEDMF,LinearSVR,0.0352,0.0002,0.0104,0.0601,True
BIASEDMF,NMF,0.0147,0.7222,-0.0099,0.0392,False
BIASEDMF,RandomForest,0.0424,0.0,0.0175,0.0673,True
BIASEDMF,Ridge,0.0368,0.0001,0.0119,0.0617,True
BIASEDMF,SVD,-0.0006,1.0,-0.0252,0.0239,False
BIASEDMF,StochasticItemKNN,0.0168,0.5155,-0.0077,0.0414,False
BIASEDMF,Tweedie,0.0441,0.0,0.0193,0.069,True
Bagging,BayesianRidge,0.0021,1.0,-0.0231,0.0272,False
Bagging,GradientBoosting,0.003,1.0,-0.0222,0.0282,False
Bagging,LinearSVR,0.0003,1.0,-0.0249,0.0255,False
Bagging,NMF,-0.0203,0.2423,-0.0451,0.0046,False
Bagging,RandomForest,0.0074,0.9983,-0.0177,0.0326,False
Bagging,Ridge,0.0019,1.0,-0.0233,0.027,False
Bagging,SVD,-0.0356,0.0002,-0.0605,-0.0107,True
Bagging,StochasticItemKNN,-0.0181,0.4172,-0.043,0.0068,False
Bagging,Tweedie,0.0092,0.9896,-0.016,0.0343,False
BayesianRidge,GradientBoosting,0.0009,1.0,-0.0242,0.0261,False
BayesianRidge,LinearSVR,-0.0018,1.0,-0.027,0.0234,False
BayesianRidge,NMF,-0.0223,0.1279,-0.0472,0.0025,False
BayesianRidge,RandomForest,0.0054,0.9999,-0.0198,0.0306,False
BayesianRidge,Ridge,-0.0002,1.0,-0.0254,0.025,False
BayesianRidge,SVD,-0.0376,0.0001,-0.0625,-0.0128,True
BayesianRidge,StochasticItemKNN,-0.0202,0.2501,-0.045,0.0047,False
BayesianRidge,Tweedie,0.0071,0.9989,-0.0181,0.0323,False
GradientBoosting,LinearSVR,-0.0027,1.0,-0.0279,0.0225,False
GradientBoosting,NMF,-0.0233,0.0916,-0.0481,0.0016,False
GradientBoosting,RandomForest,0.0044,1.0,-0.0207,0.0296,False
GradientBoosting,Ridge,-0.0012,1.0,-0.0263,0.024,False
GradientBoosting,SVD,-0.0386,0.0,-0.0635,-0.0137,True
GradientBoosting,StochasticItemKNN,-0.0211,0.1895,-0.046,0.0037,False
GradientBoosting,Tweedie,0.0062,0.9997,-0.019,0.0313,False
LinearSVR,NMF,-0.0206,0.2238,-0.0454,0.0043,False
LinearSVR,RandomForest,0.0072,0.9988,-0.018,0.0323,False
LinearSVR,Ridge,0.0016,1.0,-0.0236,0.0268,False
LinearSVR,SVD,-0.0359,0.0002,-0.0607,-0.011,True
LinearSVR,StochasticItemKNN,-0.0184,0.3922,-0.0432,0.0065,False
LinearSVR,Tweedie,0.0089,0.9919,-0.0163,0.0341,False
NMF,RandomForest,0.0277,0.0144,0.0029,0.0526,True
NMF,Ridge,0.0221,0.1369,-0.0027,0.047,False
NMF,SVD,-0.0153,0.6637,-0.0399,0.0092,False
NMF,StochasticItemKNN,0.0022,1.0,-0.0224,0.0267,False
NMF,Tweedie,0.0294,0.0062,0.0046,0.0543,True
RandomForest,Ridge,-0.0056,0.9999,-0.0308,0.0196,False
RandomForest,SVD,-0.043,0.0,-0.0679,-0.0182,True
RandomForest,StochasticItemKNN,-0.0256,0.0377,-0.0504,-0.0007,True
RandomForest,Tweedie,0.0017,1.0,-0.0235,0.0269,False
Ridge,SVD,-0.0374,0.0001,-0.0623,-0.0126,True
Ridge,StochasticItemKNN,-0.02,0.2646,-0.0448,0.0049,False
Ridge,Tweedie,0.0073,0.9985,-0.0179,0.0325,False
SVD,StochasticItemKNN,0.0175,0.4539,-0.0071,0.042,False
SVD,Tweedie,0.0448,0.0,0.0199,0.0696,True
StochasticItemKNN,Tweedie,0.0273,0.0177,0.0024,0.0521,True
