group1,group2,meandiff,p-adj,lower,upper,reject
AdaBoost,BIASEDMF,-0.0275,0.0256,-0.0534,-0.0017,True
AdaBoost,Bagging,-0.0002,1.0,-0.0264,0.026,False
AdaBoost,BayesianRidge,0.0,1.0,-0.0262,0.0262,False
AdaBoost,GradientBoosting,0.0014,1.0,-0.0248,0.0276,False
AdaBoost,LinearSVR,0.0019,1.0,-0.0243,0.0281,False
AdaBoost,NMF,0.027,0.0324,0.0011,0.0528,True
AdaBoost,RandomForest,0.0014,1.0,-0.0248,0.0276,False
AdaBoost,Ridge,-0.0,1.0,-0.0262,0.0262,False
AdaBoost,SVD,-0.0315,0.0041,-0.0574,-0.0056,True
AdaBoost,StochasticItemKNN,-0.0075,0.9985,-0.0334,0.0184,False
AdaBoost,Tweedie,-0.0003,1.0,-0.0265,0.0259,False
BIASEDMF,Bagging,0.0273,0.0282,0.0014,0.0532,True
BIASEDMF,BayesianRidge,0.0276,0.0251,0.0017,0.0534,True
BIASEDMF,GradientBoosting,0.0289,0.0141,0.003,0.0548,True
BIASEDMF,LinearSVR,0.0294,0.0111,0.0035,0.0553,True
BIASEDMF,NMF,0.0545,0.0,0.0289,0.08,True
BIASEDMF,RandomForest,0.0289,0.014,0.003,0.0548,True
BIASEDMF,Ridge,0.0275,0.0259,0.0016,0.0534,True
BIASEDMF,SVD,-0.004,1.0,-0.0295,0.0216,False
BIASEDMF,StochasticItemKNN,0.02,0.3005,-0.0055,0.0455,False
BIASEDMF,Tweedie,0.0272,0.0291,0.0013,0.0531,True
Bagging,BayesianRidge,0.0003,1.0,-0.0259,0.0265,False
Bagging,GradientBoosting,0.0016,1.0,-0.0246,0.0278,False
Bagging,LinearSVR,0.0021,1.0,-0.0241,0.0283,False
Bagging,NMF,0.0272,0.0296,0.0013,0.0531,True
Bagging,RandomForest,0.0016,1.0,-0.0246,0.0278,False
Bagging,Ridge,0.0002,1.0,-0.026,0.0264,False
Bagging,SVD,-0.0313,0.0046,-0.0571,-0.0054,True
Bagging,StochasticItemKNN,-0.0073,0.9989,-0.0332,0.0186,False
Bagging,Tweedie,-0.0001,1.0,-0.0263,0.0261,False
BayesianRidge,GradientBoosting,0.0013,1.0,-0.0249,0.0275,False
BayesianRidge,LinearSVR,0.0019,1.0,-0.0243,0.0281,False
BayesianRidge,NMF,0.0269,0.033,0.001,0.0528,True
BayesianRidge,RandomForest,0.0013,1.0,-0.0249,0.0275,False
BayesianRidge,Ridge,-0.0001,1.0,-0.0263,0.0261,False
BayesianRidge,SVD,-0.0315,0.004,-0.0574,-0.0057,True
BayesianRidge,StochasticItemKNN,-0.0076,0.9985,-0.0334,0.0183,False
BayesianRidge,Tweedie,-0.0003,1.0,-0.0265,0.0259,False
GradientBoosting,LinearSVR,0.0005,1.0,-0.0257,0.0267,False
GradientBoosting,NMF,0.0256,0.0557,-0.0003,0.0515,False
GradientBoosting,RandomForest,0.0,1.0,-0.0262,0.0262,False
GradientBoosting,Ridge,-0.0014,1.0,-0.0276,0.0248,False
GradientBoosting,SVD,-0.0329,0.002,-0.0587,-0.007,True
GradientBoosting,StochasticItemKNN,-0.0089,0.9936,-0.0347,0.017,False
GradientBoosting,Tweedie,-0.0017,1.0,-0.0279,0.0245,False
LinearSVR,NMF,0.0251,0.068,-0.0008,0.0509,False
LinearSVR,RandomForest,-0.0005,1.0,-0.0267,0.0257,False
LinearSVR,Ridge,-0.0019,1.0,-0.0281,0.0243,False
LinearSVR,SVD,-0.0334,0.0015,-0.0593,-0.0075,True
LinearSVR,StochasticItemKNN,-0.0094,0.9896,-0.0353,0.0165,False
LinearSVR,Tweedie,-0.0022,1.0,-0.0284,0.024,False
NMF,RandomForest,-0.0256,0.0562,-0.0514,0.0003,False
NMF,Ridge,-0.027,0.0321,-0.0529,-0.0011,True
NMF,SVD,-0.0585,0.0,-0.084,-0.0329,True
NMF,StochasticItemKNN,-0.0345,0.0007,-0.06,-0.0089,True
NMF,Tweedie,-0.0273,0.0286,-0.0531,-0.0014,True
RandomForest,Ridge,-0.0014,1.0,-0.0276,0.0248,False
RandomForest,SVD,-0.0329,0.002,-0.0588,-0.007,True
RandomForest,StochasticItemKNN,-0.0089,0.9935,-0.0348,0.017,False
RandomForest,Tweedie,-0.0017,1.0,-0.0279,0.0245,False
Ridge,SVD,-0.0315,0.0041,-0.0573,-0.0056,True
Ridge,StochasticItemKNN,-0.0075,0.9986,-0.0334,0.0184,False
Ridge,Tweedie,-0.0003,1.0,-0.0265,0.0259,False
SVD,StochasticItemKNN,0.024,0.0895,-0.0016,0.0495,False
SVD,Tweedie,0.0312,0.0047,0.0053,0.0571,True
StochasticItemKNN,Tweedie,0.0072,0.999,-0.0187,0.0331,False
