group1,group2,meandiff,p-adj,lower,upper,reject
AdaBoost,BIASEDMF,-0.053,0.0,-0.0739,-0.0321,True
AdaBoost,Bagging,-0.0013,1.0,-0.0225,0.0198,False
AdaBoost,BayesianRidge,-0.0016,1.0,-0.0228,0.0195,False
AdaBoost,GradientBoosting,0.0007,1.0,-0.0205,0.0219,False
AdaBoost,LinearSVR,-0.0018,1.0,-0.023,0.0193,False
AdaBoost,NMF,-0.055,0.0,-0.0759,-0.0341,True
AdaBoost,RandomForest,-0.0008,1.0,-0.0219,0.0204,False
AdaBoost,Ridge,-0.002,1.0,-0.0232,0.0191,False
AdaBoost,SVD,-0.0528,0.0,-0.0737,-0.0319,True
AdaBoost,StochasticItemKNN,-0.0489,0.0,-0.0698,-0.028,True
AdaBoost,Tweedie,0.0006,1.0,-0.0206,0.0217,False
BIASEDMF,Bagging,0.0517,0.0,0.0308,0.0726,True
BIASEDMF,BayesianRidge,0.0514,0.0,0.0305,0.0723,True
BIASEDMF,GradientBoosting,0.0537,0.0,0.0328,0.0746,True
BIASEDMF,LinearSVR,0.0512,0.0,0.0303,0.0721,True
BIASEDMF,NMF,-0.002,1.0,-0.0226,0.0186,False
BIASEDMF,RandomForest,0.0522,0.0,0.0313,0.0731,True
BIASEDMF,Ridge,0.051,0.0,0.0301,0.0719,True
BIASEDMF,SVD,0.0002,1.0,-0.0204,0.0208,False
BIASEDMF,StochasticItemKNN,0.0041,1.0,-0.0165,0.0247,False
BIASEDMF,Tweedie,0.0536,0.0,0.0327,0.0745,True
Bagging,BayesianRidge,-0.0003,1.0,-0.0215,0.0209,False
Bagging,GradientBoosting,0.002,1.0,-0.0192,0.0232,False
Bagging,LinearSVR,-0.0005,1.0,-0.0217,0.0206,False
Bagging,NMF,-0.0537,0.0,-0.0746,-0.0328,True
Bagging,RandomForest,0.0005,1.0,-0.0206,0.0217,False
Bagging,Ridge,-0.0007,1.0,-0.0219,0.0205,False
Bagging,SVD,-0.0515,0.0,-0.0724,-0.0306,True
Bagging,StochasticItemKNN,-0.0476,0.0,-0.0685,-0.0267,True
Bagging,Tweedie,0.0019,1.0,-0.0193,0.0231,False
BayesianRidge,GradientBoosting,0.0023,1.0,-0.0189,0.0235,False
BayesianRidge,LinearSVR,-0.0002,1.0,-0.0214,0.0209,False
BayesianRidge,NMF,-0.0534,0.0,-0.0743,-0.0325,True
BayesianRidge,RandomForest,0.0008,1.0,-0.0203,0.022,False
BayesianRidge,Ridge,-0.0004,1.0,-0.0216,0.0208,False
BayesianRidge,SVD,-0.0512,0.0,-0.0721,-0.0303,True
BayesianRidge,StochasticItemKNN,-0.0473,0.0,-0.0682,-0.0264,True
BayesianRidge,Tweedie,0.0022,1.0,-0.019,0.0234,False
GradientBoosting,LinearSVR,-0.0025,1.0,-0.0237,0.0186,False
GradientBoosting,NMF,-0.0557,0.0,-0.0766,-0.0348,True
GradientBoosting,RandomForest,-0.0015,1.0,-0.0226,0.0197,False
GradientBoosting,Ridge,-0.0027,1.0,-0.0239,0.0185,False
GradientBoosting,SVD,-0.0535,0.0,-0.0744,-0.0326,True
GradientBoosting,StochasticItemKNN,-0.0496,0.0,-0.0705,-0.0287,True
GradientBoosting,Tweedie,-0.0001,1.0,-0.0213,0.021,False
LinearSVR,NMF,-0.0532,0.0,-0.0741,-0.0323,True
LinearSVR,RandomForest,0.0011,1.0,-0.0201,0.0222,False
LinearSVR,Ridge,-0.0002,1.0,-0.0213,0.021,False
LinearSVR,SVD,-0.051,0.0,-0.0719,-0.03,True
LinearSVR,StochasticItemKNN,-0.0471,0.0,-0.068,-0.0261,True
LinearSVR,Tweedie,0.0024,1.0,-0.0188,0.0236,False
NMF,RandomForest,0.0542,0.0,0.0333,0.0751,True
NMF,Ridge,0.053,0.0,0.0321,0.0739,True
NMF,SVD,0.0022,1.0,-0.0184,0.0228,False
NMF,StochasticItemKNN,0.0061,0.9983,-0.0145,0.0267,False
NMF,Tweedie,0.0556,0.0,0.0347,0.0765,True
RandomForest,Ridge,-0.0013,1.0,-0.0224,0.0199,False
RandomForest,SVD,-0.052,0.0,-0.0729,-0.0311,True
RandomForest,StochasticItemKNN,-0.0481,0.0,-0.069,-0.0272,True
RandomForest,Tweedie,0.0013,1.0,-0.0198,0.0225,False
Ridge,SVD,-0.0508,0.0,-0.0717,-0.0299,True
Ridge,StochasticItemKNN,-0.0469,0.0,-0.0678,-0.026,True
Ridge,Tweedie,0.0026,1.0,-0.0186,0.0238,False
SVD,StochasticItemKNN,0.0039,1.0,-0.0167,0.0245,False
SVD,Tweedie,0.0534,0.0,0.0325,0.0743,True
StochasticItemKNN,Tweedie,0.0495,0.0,0.0286,0.0704,True
