group1,group2,meandiff,p-adj,lower,upper,reject
AdaBoost,BIASEDMF,-0.0311,0.1508,-0.0664,0.0043,False
AdaBoost,Bagging,0.001,1.0,-0.0348,0.0368,False
AdaBoost,BayesianRidge,-0.0,1.0,-0.0358,0.0358,False
AdaBoost,GradientBoosting,0.0024,1.0,-0.0334,0.0382,False
AdaBoost,LinearSVR,0.0024,1.0,-0.0334,0.0382,False
AdaBoost,NMF,0.0453,0.0017,0.01,0.0807,True
AdaBoost,RandomForest,0.0023,1.0,-0.0335,0.0381,False
AdaBoost,Ridge,-0.0001,1.0,-0.0359,0.0357,False
AdaBoost,SVD,-0.0386,0.0189,-0.074,-0.0032,True
AdaBoost,StochasticItemKNN,0.0115,0.996,-0.0239,0.0469,False
AdaBoost,Tweedie,-0.0007,1.0,-0.0365,0.0352,False
BIASEDMF,Bagging,0.0321,0.1183,-0.0033,0.0675,False
BIASEDMF,BayesianRidge,0.0311,0.1508,-0.0043,0.0664,False
BIASEDMF,GradientBoosting,0.0334,0.0845,-0.0019,0.0688,False
BIASEDMF,LinearSVR,0.0335,0.0838,-0.0019,0.0688,False
BIASEDMF,NMF,0.0764,0.0,0.0415,0.1113,True
BIASEDMF,RandomForest,0.0333,0.0865,-0.002,0.0687,False
BIASEDMF,Ridge,0.031,0.1544,-0.0044,0.0663,False
BIASEDMF,SVD,-0.0075,0.9999,-0.0424,0.0274,False
BIASEDMF,StochasticItemKNN,0.0426,0.004,0.0076,0.0775,True
BIASEDMF,Tweedie,0.0304,0.1746,-0.005,0.0658,False
Bagging,BayesianRidge,-0.001,1.0,-0.0368,0.0348,False
Bagging,GradientBoosting,0.0013,1.0,-0.0345,0.0372,False
Bagging,LinearSVR,0.0014,1.0,-0.0344,0.0372,False
Bagging,NMF,0.0443,0.0026,0.0089,0.0797,True
Bagging,RandomForest,0.0013,1.0,-0.0346,0.0371,False
Bagging,Ridge,-0.0011,1.0,-0.0369,0.0347,False
Bagging,SVD,-0.0396,0.0135,-0.075,-0.0043,True
Bagging,StochasticItemKNN,0.0105,0.9983,-0.0249,0.0458,False
Bagging,Tweedie,-0.0017,1.0,-0.0375,0.0341,False
BayesianRidge,GradientBoosting,0.0024,1.0,-0.0334,0.0382,False
BayesianRidge,LinearSVR,0.0024,1.0,-0.0334,0.0382,False
BayesianRidge,NMF,0.0453,0.0017,0.01,0.0807,True
BayesianRidge,RandomForest,0.0023,1.0,-0.0335,0.0381,False
BayesianRidge,Ridge,-0.0001,1.0,-0.0359,0.0357,False
BayesianRidge,SVD,-0.0386,0.0189,-0.074,-0.0032,True
BayesianRidge,StochasticItemKNN,0.0115,0.996,-0.0239,0.0469,False
BayesianRidge,Tweedie,-0.0007,1.0,-0.0365,0.0352,False
GradientBoosting,LinearSVR,0.0,1.0,-0.0358,0.0358,False
GradientBoosting,NMF,0.043,0.0042,0.0076,0.0783,True
GradientBoosting,RandomForest,-0.0001,1.0,-0.0359,0.0357,False
GradientBoosting,Ridge,-0.0025,1.0,-0.0383,0.0333,False
GradientBoosting,SVD,-0.041,0.0086,-0.0763,-0.0056,True
GradientBoosting,StochasticItemKNN,0.0091,0.9995,-0.0262,0.0445,False
GradientBoosting,Tweedie,-0.003,1.0,-0.0388,0.0328,False
LinearSVR,NMF,0.0429,0.0043,0.0076,0.0783,True
LinearSVR,RandomForest,-0.0001,1.0,-0.0359,0.0357,False
LinearSVR,Ridge,-0.0025,1.0,-0.0383,0.0333,False
LinearSVR,SVD,-0.041,0.0085,-0.0764,-0.0056,True
LinearSVR,StochasticItemKNN,0.0091,0.9995,-0.0263,0.0445,False
LinearSVR,Tweedie,-0.0031,1.0,-0.0389,0.0328,False
NMF,RandomForest,-0.0431,0.0041,-0.0784,-0.0077,True
NMF,Ridge,-0.0454,0.0017,-0.0808,-0.0101,True
NMF,SVD,-0.0839,0.0,-0.1188,-0.049,True
NMF,StochasticItemKNN,-0.0338,0.0673,-0.0688,0.0011,False
NMF,Tweedie,-0.046,0.0013,-0.0814,-0.0106,True
RandomForest,Ridge,-0.0024,1.0,-0.0382,0.0334,False
RandomForest,SVD,-0.0409,0.0088,-0.0762,-0.0055,True
RandomForest,StochasticItemKNN,0.0092,0.9995,-0.0262,0.0446,False
RandomForest,Tweedie,-0.0029,1.0,-0.0387,0.0329,False
Ridge,SVD,-0.0385,0.0195,-0.0739,-0.0031,True
Ridge,StochasticItemKNN,0.0116,0.9957,-0.0238,0.047,False
Ridge,Tweedie,-0.0006,1.0,-0.0364,0.0353,False
SVD,StochasticItemKNN,0.0501,0.0002,0.0152,0.085,True
SVD,Tweedie,0.0379,0.0232,0.0026,0.0733,True
StochasticItemKNN,Tweedie,-0.0121,0.9936,-0.0475,0.0232,False
