group1,group2,meandiff,p-adj,lower,upper,reject
AdaBoost,BIASEDMF,-0.036,0.0,-0.0543,-0.0178,True
AdaBoost,Bagging,-0.0036,1.0,-0.0218,0.0147,False
AdaBoost,BayesianRidge,0.0,1.0,-0.0183,0.0183,False
AdaBoost,GradientBoosting,-0.0023,1.0,-0.0206,0.016,False
AdaBoost,LinearSVR,-0.0031,1.0,-0.0214,0.0152,False
AdaBoost,NMF,-0.0328,0.0,-0.0511,-0.0146,True
AdaBoost,RandomForest,-0.0017,1.0,-0.02,0.0165,False
AdaBoost,Ridge,0.0003,1.0,-0.018,0.0185,False
AdaBoost,SVD,-0.0315,0.0,-0.0498,-0.0133,True
AdaBoost,StochasticItemKNN,-0.0225,0.0033,-0.0408,-0.0042,True
AdaBoost,Tweedie,0.0046,0.9996,-0.0136,0.0229,False
BIASEDMF,Bagging,0.0324,0.0,0.0142,0.0507,True
BIASEDMF,BayesianRidge,0.036,0.0,0.0178,0.0543,True
BIASEDMF,GradientBoosting,0.0337,0.0,0.0155,0.052,True
BIASEDMF,LinearSVR,0.0329,0.0,0.0147,0.0512,True
BIASEDMF,NMF,0.0032,1.0,-0.0151,0.0214,False
BIASEDMF,RandomForest,0.0343,0.0,0.016,0.0525,True
BIASEDMF,Ridge,0.0363,0.0,0.018,0.0545,True
BIASEDMF,SVD,0.0045,0.9997,-0.0138,0.0227,False
BIASEDMF,StochasticItemKNN,0.0135,0.3916,-0.0048,0.0318,False
BIASEDMF,Tweedie,0.0406,0.0,0.0224,0.0589,True
Bagging,BayesianRidge,0.0036,1.0,-0.0147,0.0218,False
Bagging,GradientBoosting,0.0013,1.0,-0.017,0.0195,False
Bagging,LinearSVR,0.0005,1.0,-0.0178,0.0187,False
Bagging,NMF,-0.0293,0.0,-0.0475,-0.011,True
Bagging,RandomForest,0.0018,1.0,-0.0164,0.0201,False
Bagging,Ridge,0.0038,0.9999,-0.0144,0.0221,False
Bagging,SVD,-0.028,0.0,-0.0462,-0.0097,True
Bagging,StochasticItemKNN,-0.0189,0.0341,-0.0372,-0.0007,True
Bagging,Tweedie,0.0082,0.9488,-0.0101,0.0264,False
BayesianRidge,GradientBoosting,-0.0023,1.0,-0.0206,0.016,False
BayesianRidge,LinearSVR,-0.0031,1.0,-0.0214,0.0152,False
BayesianRidge,NMF,-0.0328,0.0,-0.0511,-0.0146,True
BayesianRidge,RandomForest,-0.0017,1.0,-0.02,0.0165,False
BayesianRidge,Ridge,0.0002,1.0,-0.018,0.0185,False
BayesianRidge,SVD,-0.0315,0.0,-0.0498,-0.0133,True
BayesianRidge,StochasticItemKNN,-0.0225,0.0033,-0.0408,-0.0043,True
BayesianRidge,Tweedie,0.0046,0.9996,-0.0136,0.0229,False
GradientBoosting,LinearSVR,-0.0008,1.0,-0.0191,0.0175,False
GradientBoosting,NMF,-0.0305,0.0,-0.0488,-0.0123,True
GradientBoosting,RandomForest,0.0006,1.0,-0.0177,0.0188,False
GradientBoosting,Ridge,0.0025,1.0,-0.0157,0.0208,False
GradientBoosting,SVD,-0.0292,0.0,-0.0475,-0.011,True
GradientBoosting,StochasticItemKNN,-0.0202,0.0158,-0.0385,-0.0019,True
GradientBoosting,Tweedie,0.0069,0.9856,-0.0113,0.0252,False
LinearSVR,NMF,-0.0297,0.0,-0.048,-0.0115,True
LinearSVR,RandomForest,0.0014,1.0,-0.0169,0.0196,False
LinearSVR,Ridge,0.0034,1.0,-0.0149,0.0216,False
LinearSVR,SVD,-0.0284,0.0,-0.0467,-0.0102,True
LinearSVR,StochasticItemKNN,-0.0194,0.0259,-0.0377,-0.0011,True
LinearSVR,Tweedie,0.0077,0.9665,-0.0105,0.026,False
NMF,RandomForest,0.0311,0.0,0.0128,0.0493,True
NMF,Ridge,0.0331,0.0,0.0148,0.0513,True
NMF,SVD,0.0013,1.0,-0.017,0.0195,False
NMF,StochasticItemKNN,0.0103,0.7894,-0.0079,0.0286,False
NMF,Tweedie,0.0374,0.0,0.0192,0.0557,True
RandomForest,Ridge,0.002,1.0,-0.0163,0.0203,False
RandomForest,SVD,-0.0298,0.0,-0.0481,-0.0115,True
RandomForest,StochasticItemKNN,-0.0208,0.0111,-0.039,-0.0025,True
RandomForest,Tweedie,0.0064,0.9928,-0.0119,0.0246,False
Ridge,SVD,-0.0318,0.0,-0.0501,-0.0135,True
Ridge,StochasticItemKNN,-0.0228,0.0028,-0.041,-0.0045,True
Ridge,Tweedie,0.0044,0.9998,-0.0139,0.0226,False
SVD,StochasticItemKNN,0.009,0.9017,-0.0092,0.0273,False
SVD,Tweedie,0.0362,0.0,0.0179,0.0544,True
StochasticItemKNN,Tweedie,0.0271,0.0001,0.0089,0.0454,True
