group1,group2,meandiff,p-adj,lower,upper,reject
AdaBoost,BIASEDMF,-0.0096,0.9943,-0.0379,0.0187,False
AdaBoost,Bagging,0.0006,1.0,-0.0277,0.0289,False
AdaBoost,BayesianRidge,0.0008,1.0,-0.0275,0.0291,False
AdaBoost,GradientBoosting,0.0007,1.0,-0.0276,0.029,False
AdaBoost,LinearSVR,0.0016,1.0,-0.0267,0.0299,False
AdaBoost,NMF,0.0187,0.5741,-0.0096,0.047,False
AdaBoost,RandomForest,0.0009,1.0,-0.0274,0.0292,False
AdaBoost,Ridge,0.0009,1.0,-0.0274,0.0291,False
AdaBoost,SVD,-0.0095,0.9949,-0.0377,0.0188,False
AdaBoost,StochasticItemKNN,0.0271,0.0744,-0.0012,0.0554,False
AdaBoost,Tweedie,-0.0016,1.0,-0.0299,0.0267,False
BIASEDMF,Bagging,0.0101,0.9907,-0.0181,0.0384,False
BIASEDMF,BayesianRidge,0.0104,0.9887,-0.0179,0.0387,False
BIASEDMF,GradientBoosting,0.0103,0.9895,-0.018,0.0386,False
BIASEDMF,LinearSVR,0.0112,0.9796,-0.0171,0.0395,False
BIASEDMF,NMF,0.0283,0.0498,0.0,0.0566,True
BIASEDMF,RandomForest,0.0105,0.9877,-0.0178,0.0388,False
BIASEDMF,Ridge,0.0104,0.9884,-0.0179,0.0387,False
BIASEDMF,SVD,0.0001,1.0,-0.0282,0.0284,False
BIASEDMF,StochasticItemKNN,0.0367,0.0014,0.0084,0.065,True
BIASEDMF,Tweedie,0.008,0.9989,-0.0203,0.0362,False
Bagging,BayesianRidge,0.0002,1.0,-0.028,0.0285,False
Bagging,GradientBoosting,0.0002,1.0,-0.0281,0.0284,False
Bagging,LinearSVR,0.001,1.0,-0.0272,0.0293,False
Bagging,NMF,0.0181,0.6222,-0.0101,0.0464,False
Bagging,RandomForest,0.0004,1.0,-0.0279,0.0286,False
Bagging,Ridge,0.0003,1.0,-0.028,0.0286,False
Bagging,SVD,-0.01,0.9917,-0.0383,0.0183,False
Bagging,StochasticItemKNN,0.0266,0.0897,-0.0017,0.0548,False
Bagging,Tweedie,-0.0022,1.0,-0.0305,0.0261,False
BayesianRidge,GradientBoosting,-0.0001,1.0,-0.0284,0.0282,False
BayesianRidge,LinearSVR,0.0008,1.0,-0.0275,0.0291,False
BayesianRidge,NMF,0.0179,0.6424,-0.0104,0.0462,False
BayesianRidge,RandomForest,0.0001,1.0,-0.0282,0.0284,False
BayesianRidge,Ridge,0.0,1.0,-0.0282,0.0283,False
BayesianRidge,SVD,-0.0103,0.9898,-0.0386,0.018,False
BayesianRidge,StochasticItemKNN,0.0263,0.0969,-0.002,0.0546,False
BayesianRidge,Tweedie,-0.0024,1.0,-0.0307,0.0258,False
GradientBoosting,LinearSVR,0.0009,1.0,-0.0274,0.0292,False
GradientBoosting,NMF,0.018,0.6351,-0.0103,0.0463,False
GradientBoosting,RandomForest,0.0002,1.0,-0.0281,0.0285,False
GradientBoosting,Ridge,0.0001,1.0,-0.0282,0.0284,False
GradientBoosting,SVD,-0.0102,0.9905,-0.0385,0.0181,False
GradientBoosting,StochasticItemKNN,0.0264,0.0942,-0.0019,0.0547,False
GradientBoosting,Tweedie,-0.0024,1.0,-0.0306,0.0259,False
LinearSVR,NMF,0.0171,0.7073,-0.0112,0.0454,False
LinearSVR,RandomForest,-0.0007,1.0,-0.029,0.0276,False
LinearSVR,Ridge,-0.0008,1.0,-0.0291,0.0275,False
LinearSVR,SVD,-0.0111,0.9814,-0.0394,0.0172,False
LinearSVR,StochasticItemKNN,0.0255,0.1241,-0.0028,0.0538,False
LinearSVR,Tweedie,-0.0032,1.0,-0.0315,0.025,False
NMF,RandomForest,-0.0178,0.6516,-0.0461,0.0105,False
NMF,Ridge,-0.0179,0.6457,-0.0462,0.0104,False
NMF,SVD,-0.0282,0.0521,-0.0565,0.0001,False
NMF,StochasticItemKNN,0.0084,0.9982,-0.0199,0.0367,False
NMF,Tweedie,-0.0203,0.4377,-0.0486,0.0079,False
RandomForest,Ridge,-0.0001,1.0,-0.0284,0.0282,False
RandomForest,SVD,-0.0104,0.9889,-0.0387,0.0179,False
RandomForest,StochasticItemKNN,0.0262,0.1003,-0.0021,0.0545,False
RandomForest,Tweedie,-0.0026,1.0,-0.0308,0.0257,False
Ridge,SVD,-0.0103,0.9895,-0.0386,0.018,False
Ridge,StochasticItemKNN,0.0263,0.0981,-0.002,0.0546,False
Ridge,Tweedie,-0.0025,1.0,-0.0308,0.0258,False
SVD,StochasticItemKNN,0.0366,0.0015,0.0083,0.0649,True
SVD,Tweedie,0.0078,0.9991,-0.0205,0.0361,False
StochasticItemKNN,Tweedie,-0.0288,0.0423,-0.057,-0.0005,True
