group1,group2,meandiff,p-adj,lower,upper,reject
AdaBoost,BIASEDMF,-0.006,0.4779,-0.0145,0.0025,False
AdaBoost,Bagging,-0.0012,1.0,-0.0098,0.0073,False
AdaBoost,BayesianRidge,-0.0009,1.0,-0.0094,0.0077,False
AdaBoost,GradientBoosting,-0.0004,1.0,-0.0089,0.0082,False
AdaBoost,LinearSVR,-0.0008,1.0,-0.0094,0.0077,False
AdaBoost,NMF,-0.007,0.2291,-0.0155,0.0015,False
AdaBoost,RandomForest,0.0002,1.0,-0.0083,0.0087,False
AdaBoost,Ridge,-0.0009,1.0,-0.0094,0.0077,False
AdaBoost,SVD,-0.0081,0.084,-0.0166,0.0005,False
AdaBoost,StochasticItemKNN,-0.0109,0.002,-0.0194,-0.0023,True
AdaBoost,Tweedie,-0.0006,1.0,-0.0092,0.0079,False
BIASEDMF,Bagging,0.0047,0.8071,-0.0038,0.0133,False
BIASEDMF,BayesianRidge,0.0051,0.7163,-0.0034,0.0136,False
BIASEDMF,GradientBoosting,0.0056,0.581,-0.0029,0.0141,False
BIASEDMF,LinearSVR,0.0052,0.7058,-0.0034,0.0137,False
BIASEDMF,NMF,-0.001,1.0,-0.0096,0.0075,False
BIASEDMF,RandomForest,0.0062,0.4175,-0.0023,0.0147,False
BIASEDMF,Ridge,0.0051,0.7136,-0.0034,0.0137,False
BIASEDMF,SVD,-0.0021,0.9997,-0.0106,0.0064,False
BIASEDMF,StochasticItemKNN,-0.0049,0.7783,-0.0134,0.0037,False
BIASEDMF,Tweedie,0.0053,0.6562,-0.0032,0.0139,False
Bagging,BayesianRidge,0.0004,1.0,-0.0081,0.0089,False
Bagging,GradientBoosting,0.0009,1.0,-0.0076,0.0094,False
Bagging,LinearSVR,0.0004,1.0,-0.0081,0.0089,False
Bagging,NMF,-0.0058,0.537,-0.0143,0.0028,False
Bagging,RandomForest,0.0015,1.0,-0.0071,0.01,False
Bagging,Ridge,0.0004,1.0,-0.0081,0.0089,False
Bagging,SVD,-0.0068,0.2703,-0.0153,0.0017,False
Bagging,StochasticItemKNN,-0.0096,0.0126,-0.0181,-0.0011,True
Bagging,Tweedie,0.0006,1.0,-0.0079,0.0091,False
BayesianRidge,GradientBoosting,0.0005,1.0,-0.008,0.009,False
BayesianRidge,LinearSVR,0.0,1.0,-0.0085,0.0086,False
BayesianRidge,NMF,-0.0062,0.4316,-0.0147,0.0024,False
BayesianRidge,RandomForest,0.0011,1.0,-0.0074,0.0096,False
BayesianRidge,Ridge,0.0,1.0,-0.0085,0.0085,False
BayesianRidge,SVD,-0.0072,0.1965,-0.0157,0.0013,False
BayesianRidge,StochasticItemKNN,-0.01,0.0073,-0.0185,-0.0015,True
BayesianRidge,Tweedie,0.0002,1.0,-0.0083,0.0088,False
GradientBoosting,LinearSVR,-0.0005,1.0,-0.009,0.0081,False
GradientBoosting,NMF,-0.0067,0.3067,-0.0152,0.0019,False
GradientBoosting,RandomForest,0.0006,1.0,-0.0079,0.0091,False
GradientBoosting,Ridge,-0.0005,1.0,-0.009,0.008,False
GradientBoosting,SVD,-0.0077,0.1231,-0.0162,0.0008,False
GradientBoosting,StochasticItemKNN,-0.0105,0.0035,-0.019,-0.002,True
GradientBoosting,Tweedie,-0.0003,1.0,-0.0088,0.0083,False
LinearSVR,NMF,-0.0062,0.4207,-0.0147,0.0023,False
LinearSVR,RandomForest,0.001,1.0,-0.0075,0.0096,False
LinearSVR,Ridge,-0.0,1.0,-0.0086,0.0085,False
LinearSVR,SVD,-0.0072,0.1895,-0.0158,0.0013,False
LinearSVR,StochasticItemKNN,-0.01,0.0069,-0.0186,-0.0015,True
LinearSVR,Tweedie,0.0002,1.0,-0.0083,0.0087,False
NMF,RandomForest,0.0072,0.1889,-0.0013,0.0158,False
NMF,Ridge,0.0062,0.4288,-0.0024,0.0147,False
NMF,SVD,-0.001,1.0,-0.0096,0.0075,False
NMF,StochasticItemKNN,-0.0038,0.9481,-0.0124,0.0047,False
NMF,Tweedie,0.0064,0.3723,-0.0021,0.0149,False
RandomForest,Ridge,-0.0011,1.0,-0.0096,0.0074,False
RandomForest,SVD,-0.0083,0.0658,-0.0168,0.0002,False
RandomForest,StochasticItemKNN,-0.0111,0.0014,-0.0196,-0.0025,True
RandomForest,Tweedie,-0.0009,1.0,-0.0094,0.0077,False
Ridge,SVD,-0.0072,0.1947,-0.0157,0.0013,False
Ridge,StochasticItemKNN,-0.01,0.0072,-0.0185,-0.0015,True
Ridge,Tweedie,0.0002,1.0,-0.0083,0.0087,False
SVD,StochasticItemKNN,-0.0028,0.9958,-0.0113,0.0057,False
SVD,Tweedie,0.0074,0.1599,-0.0011,0.016,False
StochasticItemKNN,Tweedie,0.0102,0.0052,0.0017,0.0187,True
