group1,group2,meandiff,p-adj,lower,upper,reject
AdaBoost,BIASEDMF,-0.0107,0.9991,-0.0498,0.0284,False
AdaBoost,Bagging,0.0011,1.0,-0.038,0.0402,False
AdaBoost,BayesianRidge,0.0004,1.0,-0.0387,0.0395,False
AdaBoost,GradientBoosting,0.0012,1.0,-0.0379,0.0403,False
AdaBoost,LinearSVR,0.002,1.0,-0.0371,0.0411,False
AdaBoost,NMF,0.0358,0.1112,-0.0033,0.0749,False
AdaBoost,RandomForest,0.0009,1.0,-0.0382,0.04,False
AdaBoost,Ridge,0.0005,1.0,-0.0386,0.0396,False
AdaBoost,SVD,-0.0083,0.9999,-0.0474,0.0308,False
AdaBoost,StochasticItemKNN,0.0512,0.0012,0.0121,0.0903,True
AdaBoost,Tweedie,-0.0026,1.0,-0.0417,0.0365,False
BIASEDMF,Bagging,0.0119,0.9979,-0.0272,0.051,False
BIASEDMF,BayesianRidge,0.0112,0.9988,-0.0279,0.0503,False
BIASEDMF,GradientBoosting,0.012,0.9977,-0.0271,0.0511,False
BIASEDMF,LinearSVR,0.0127,0.9959,-0.0264,0.0518,False
BIASEDMF,NMF,0.0465,0.0059,0.0074,0.0856,True
BIASEDMF,RandomForest,0.0117,0.9981,-0.0274,0.0508,False
BIASEDMF,Ridge,0.0112,0.9987,-0.0279,0.0503,False
BIASEDMF,SVD,0.0024,1.0,-0.0367,0.0415,False
BIASEDMF,StochasticItemKNN,0.0619,0.0,0.0228,0.101,True
BIASEDMF,Tweedie,0.0081,0.9999,-0.031,0.0472,False
Bagging,BayesianRidge,-0.0007,1.0,-0.0398,0.0384,False
Bagging,GradientBoosting,0.0001,1.0,-0.039,0.0392,False
Bagging,LinearSVR,0.0009,1.0,-0.0382,0.04,False
Bagging,NMF,0.0346,0.1418,-0.0045,0.0737,False
Bagging,RandomForest,-0.0002,1.0,-0.0393,0.0389,False
Bagging,Ridge,-0.0006,1.0,-0.0397,0.0385,False
Bagging,SVD,-0.0094,0.9998,-0.0485,0.0297,False
Bagging,StochasticItemKNN,0.0501,0.0018,0.011,0.0892,True
Bagging,Tweedie,-0.0038,1.0,-0.0429,0.0353,False
BayesianRidge,GradientBoosting,0.0008,1.0,-0.0383,0.0399,False
BayesianRidge,LinearSVR,0.0016,1.0,-0.0375,0.0407,False
BayesianRidge,NMF,0.0353,0.1222,-0.0038,0.0744,False
BayesianRidge,RandomForest,0.0005,1.0,-0.0386,0.0396,False
BayesianRidge,Ridge,0.0001,1.0,-0.039,0.0392,False
BayesianRidge,SVD,-0.0087,0.9999,-0.0478,0.0304,False
BayesianRidge,StochasticItemKNN,0.0508,0.0014,0.0117,0.0899,True
BayesianRidge,Tweedie,-0.0031,1.0,-0.0422,0.036,False
GradientBoosting,LinearSVR,0.0008,1.0,-0.0383,0.0399,False
GradientBoosting,NMF,0.0345,0.1452,-0.0046,0.0736,False
GradientBoosting,RandomForest,-0.0003,1.0,-0.0394,0.0388,False
GradientBoosting,Ridge,-0.0007,1.0,-0.0398,0.0383,False
GradientBoosting,SVD,-0.0095,0.9997,-0.0486,0.0296,False
GradientBoosting,StochasticItemKNN,0.0499,0.0018,0.0108,0.089,True
GradientBoosting,Tweedie,-0.0039,1.0,-0.043,0.0352,False
LinearSVR,NMF,0.0337,0.1703,-0.0054,0.0728,False
LinearSVR,RandomForest,-0.0011,1.0,-0.0402,0.038,False
LinearSVR,Ridge,-0.0015,1.0,-0.0406,0.0376,False
LinearSVR,SVD,-0.0103,0.9994,-0.0494,0.0288,False
LinearSVR,StochasticItemKNN,0.0492,0.0024,0.0101,0.0883,True
LinearSVR,Tweedie,-0.0047,1.0,-0.0438,0.0344,False
NMF,RandomForest,-0.0348,0.1365,-0.0739,0.0043,False
NMF,Ridge,-0.0353,0.1238,-0.0744,0.0038,False
NMF,SVD,-0.044,0.0126,-0.0831,-0.0049,True
NMF,StochasticItemKNN,0.0154,0.9802,-0.0237,0.0545,False
NMF,Tweedie,-0.0384,0.0597,-0.0775,0.0007,False
RandomForest,Ridge,-0.0005,1.0,-0.0396,0.0386,False
RandomForest,SVD,-0.0092,0.9998,-0.0483,0.0299,False
RandomForest,StochasticItemKNN,0.0502,0.0017,0.0111,0.0893,True
RandomForest,Tweedie,-0.0036,1.0,-0.0427,0.0355,False
Ridge,SVD,-0.0088,0.9999,-0.0479,0.0303,False
Ridge,StochasticItemKNN,0.0507,0.0014,0.0116,0.0898,True
Ridge,Tweedie,-0.0031,1.0,-0.0422,0.036,False
SVD,StochasticItemKNN,0.0595,0.0,0.0204,0.0986,True
SVD,Tweedie,0.0056,1.0,-0.0335,0.0447,False
StochasticItemKNN,Tweedie,-0.0538,0.0004,-0.0929,-0.0147,True
