group1,group2,meandiff,p-adj,lower,upper,reject
AdaBoost,BIASEDMF,0.0774,0.0,0.0693,0.0855,True
AdaBoost,Bagging,0.0058,0.4608,-0.0024,0.0139,False
AdaBoost,BayesianRidge,0.0004,1.0,-0.0077,0.0085,False
AdaBoost,GradientBoosting,0.0059,0.4229,-0.0022,0.014,False
AdaBoost,LinearSVR,0.0109,0.0007,0.0028,0.019,True
AdaBoost,NMF,0.0574,0.0,0.0493,0.0655,True
AdaBoost,RandomForest,0.0055,0.539,-0.0026,0.0136,False
AdaBoost,Ridge,0.0004,1.0,-0.0077,0.0085,False
AdaBoost,SVD,0.0701,0.0,0.062,0.0782,True
AdaBoost,StochasticItemKNN,0.0296,0.0,0.0215,0.0378,True
AdaBoost,Tweedie,-0.0125,0.0,-0.0206,-0.0044,True
BIASEDMF,Bagging,-0.0716,0.0,-0.0797,-0.0635,True
BIASEDMF,BayesianRidge,-0.077,0.0,-0.0851,-0.0688,True
BIASEDMF,GradientBoosting,-0.0715,0.0,-0.0796,-0.0634,True
BIASEDMF,LinearSVR,-0.0664,0.0,-0.0745,-0.0583,True
BIASEDMF,NMF,-0.02,0.0,-0.0281,-0.0119,True
BIASEDMF,RandomForest,-0.0719,0.0,-0.08,-0.0638,True
BIASEDMF,Ridge,-0.077,0.0,-0.0851,-0.0688,True
BIASEDMF,SVD,-0.0072,0.1344,-0.0153,0.0009,False
BIASEDMF,StochasticItemKNN,-0.0477,0.0,-0.0558,-0.0396,True
BIASEDMF,Tweedie,-0.0898,0.0,-0.0979,-0.0817,True
Bagging,BayesianRidge,-0.0053,0.5813,-0.0134,0.0028,False
Bagging,GradientBoosting,0.0001,1.0,-0.008,0.0082,False
Bagging,LinearSVR,0.0052,0.6273,-0.0029,0.0133,False
Bagging,NMF,0.0516,0.0,0.0435,0.0597,True
Bagging,RandomForest,-0.0003,1.0,-0.0084,0.0078,False
Bagging,Ridge,-0.0053,0.5814,-0.0134,0.0028,False
Bagging,SVD,0.0644,0.0,0.0563,0.0725,True
Bagging,StochasticItemKNN,0.0239,0.0,0.0158,0.032,True
Bagging,Tweedie,-0.0182,0.0,-0.0263,-0.0101,True
BayesianRidge,GradientBoosting,0.0055,0.5419,-0.0026,0.0136,False
BayesianRidge,LinearSVR,0.0105,0.0014,0.0024,0.0186,True
BayesianRidge,NMF,0.057,0.0,0.0489,0.0651,True
BayesianRidge,RandomForest,0.0051,0.6591,-0.003,0.0132,False
BayesianRidge,Ridge,0.0,1.0,-0.0081,0.0081,False
BayesianRidge,SVD,0.0697,0.0,0.0616,0.0778,True
BayesianRidge,StochasticItemKNN,0.0292,0.0,0.0211,0.0373,True
BayesianRidge,Tweedie,-0.0129,0.0,-0.021,-0.0048,True
GradientBoosting,LinearSVR,0.0051,0.6657,-0.0031,0.0132,False
GradientBoosting,NMF,0.0515,0.0,0.0434,0.0596,True
GradientBoosting,RandomForest,-0.0004,1.0,-0.0085,0.0077,False
GradientBoosting,Ridge,-0.0055,0.542,-0.0136,0.0026,False
GradientBoosting,SVD,0.0642,0.0,0.0561,0.0724,True
GradientBoosting,StochasticItemKNN,0.0238,0.0,0.0157,0.0319,True
GradientBoosting,Tweedie,-0.0183,0.0,-0.0265,-0.0102,True
LinearSVR,NMF,0.0464,0.0,0.0383,0.0545,True
LinearSVR,RandomForest,-0.0055,0.5486,-0.0136,0.0027,False
LinearSVR,Ridge,-0.0105,0.0014,-0.0186,-0.0024,True
LinearSVR,SVD,0.0592,0.0,0.0511,0.0673,True
LinearSVR,StochasticItemKNN,0.0187,0.0,0.0106,0.0268,True
LinearSVR,Tweedie,-0.0234,0.0,-0.0315,-0.0153,True
NMF,RandomForest,-0.0519,0.0,-0.06,-0.0438,True
NMF,Ridge,-0.057,0.0,-0.0651,-0.0489,True
NMF,SVD,0.0128,0.0,0.0046,0.0209,True
NMF,StochasticItemKNN,-0.0277,0.0,-0.0358,-0.0196,True
NMF,Tweedie,-0.0698,0.0,-0.0779,-0.0617,True
RandomForest,Ridge,-0.0051,0.6592,-0.0132,0.003,False
RandomForest,SVD,0.0646,0.0,0.0565,0.0728,True
RandomForest,StochasticItemKNN,0.0242,0.0,0.0161,0.0323,True
RandomForest,Tweedie,-0.0179,0.0,-0.0261,-0.0098,True
Ridge,SVD,0.0697,0.0,0.0616,0.0778,True
Ridge,StochasticItemKNN,0.0292,0.0,0.0211,0.0373,True
Ridge,Tweedie,-0.0129,0.0,-0.021,-0.0048,True
SVD,StochasticItemKNN,-0.0405,0.0,-0.0486,-0.0324,True
SVD,Tweedie,-0.0826,0.0,-0.0907,-0.0745,True
StochasticItemKNN,Tweedie,-0.0421,0.0,-0.0502,-0.034,True
