group1,group2,meandiff,p-adj,lower,upper,reject
AdaBoost,BIASEDMF,0.045,0.4099,-0.0165,0.1065,False
AdaBoost,Bagging,-0.0033,1.0,-0.0648,0.0583,False
AdaBoost,BayesianRidge,-0.0003,1.0,-0.0618,0.0613,False
AdaBoost,GradientBoosting,0.0006,1.0,-0.061,0.0621,False
AdaBoost,LinearSVR,-0.0009,1.0,-0.0624,0.0606,False
AdaBoost,NMF,0.0298,0.9141,-0.0317,0.0913,False
AdaBoost,RandomForest,0.0008,1.0,-0.0608,0.0623,False
AdaBoost,Ridge,-0.0003,1.0,-0.0619,0.0612,False
AdaBoost,SVD,0.0457,0.3834,-0.0158,0.1073,False
AdaBoost,StochasticItemKNN,0.0149,0.9997,-0.0466,0.0765,False
AdaBoost,Tweedie,-0.0008,1.0,-0.0623,0.0608,False
BIASEDMF,Bagging,-0.0483,0.2987,-0.1098,0.0133,False
BIASEDMF,BayesianRidge,-0.0453,0.3997,-0.1068,0.0162,False
BIASEDMF,GradientBoosting,-0.0444,0.4313,-0.106,0.0171,False
BIASEDMF,LinearSVR,-0.0459,0.3779,-0.1074,0.0156,False
BIASEDMF,NMF,-0.0152,0.9997,-0.0767,0.0463,False
BIASEDMF,RandomForest,-0.0442,0.4381,-0.1058,0.0173,False
BIASEDMF,Ridge,-0.0453,0.398,-0.1069,0.0162,False
BIASEDMF,SVD,0.0007,1.0,-0.0608,0.0623,False
BIASEDMF,StochasticItemKNN,-0.0301,0.9091,-0.0916,0.0315,False
BIASEDMF,Tweedie,-0.0458,0.3825,-0.1073,0.0158,False
Bagging,BayesianRidge,0.003,1.0,-0.0586,0.0645,False
Bagging,GradientBoosting,0.0038,1.0,-0.0577,0.0654,False
Bagging,LinearSVR,0.0024,1.0,-0.0592,0.0639,False
Bagging,NMF,0.0331,0.8395,-0.0285,0.0946,False
Bagging,RandomForest,0.004,1.0,-0.0575,0.0656,False
Bagging,Ridge,0.0029,1.0,-0.0586,0.0645,False
Bagging,SVD,0.049,0.2761,-0.0125,0.1105,False
Bagging,StochasticItemKNN,0.0182,0.9983,-0.0433,0.0797,False
Bagging,Tweedie,0.0025,1.0,-0.059,0.064,False
BayesianRidge,GradientBoosting,0.0009,1.0,-0.0607,0.0624,False
BayesianRidge,LinearSVR,-0.0006,1.0,-0.0621,0.0609,False
BayesianRidge,NMF,0.0301,0.9089,-0.0315,0.0916,False
BayesianRidge,RandomForest,0.001,1.0,-0.0605,0.0626,False
BayesianRidge,Ridge,-0.0,1.0,-0.0616,0.0615,False
BayesianRidge,SVD,0.046,0.3735,-0.0155,0.1076,False
BayesianRidge,StochasticItemKNN,0.0152,0.9997,-0.0463,0.0768,False
BayesianRidge,Tweedie,-0.0005,1.0,-0.062,0.0611,False
GradientBoosting,LinearSVR,-0.0015,1.0,-0.063,0.0601,False
GradientBoosting,NMF,0.0292,0.9244,-0.0323,0.0908,False
GradientBoosting,RandomForest,0.0002,1.0,-0.0613,0.0617,False
GradientBoosting,Ridge,-0.0009,1.0,-0.0624,0.0606,False
GradientBoosting,SVD,0.0452,0.4042,-0.0164,0.1067,False
GradientBoosting,StochasticItemKNN,0.0144,0.9998,-0.0472,0.0759,False
GradientBoosting,Tweedie,-0.0013,1.0,-0.0629,0.0602,False
LinearSVR,NMF,0.0307,0.8966,-0.0308,0.0922,False
LinearSVR,RandomForest,0.0017,1.0,-0.0599,0.0632,False
LinearSVR,Ridge,0.0006,1.0,-0.061,0.0621,False
LinearSVR,SVD,0.0466,0.3523,-0.0149,0.1082,False
LinearSVR,StochasticItemKNN,0.0158,0.9995,-0.0457,0.0774,False
LinearSVR,Tweedie,0.0001,1.0,-0.0614,0.0617,False
NMF,RandomForest,-0.029,0.9275,-0.0906,0.0325,False
NMF,Ridge,-0.0301,0.9079,-0.0917,0.0314,False
NMF,SVD,0.0159,0.9995,-0.0456,0.0775,False
NMF,StochasticItemKNN,-0.0149,0.9997,-0.0764,0.0467,False
NMF,Tweedie,-0.0306,0.8993,-0.0921,0.031,False
RandomForest,Ridge,-0.0011,1.0,-0.0626,0.0604,False
RandomForest,SVD,0.045,0.4109,-0.0165,0.1065,False
RandomForest,StochasticItemKNN,0.0142,0.9998,-0.0474,0.0757,False
RandomForest,Tweedie,-0.0015,1.0,-0.0631,0.06,False
Ridge,SVD,0.0461,0.3718,-0.0155,0.1076,False
Ridge,StochasticItemKNN,0.0153,0.9997,-0.0463,0.0768,False
Ridge,Tweedie,-0.0004,1.0,-0.062,0.0611,False
SVD,StochasticItemKNN,-0.0308,0.8942,-0.0923,0.0307,False
SVD,Tweedie,-0.0465,0.3568,-0.108,0.015,False
StochasticItemKNN,Tweedie,-0.0157,0.9996,-0.0772,0.0458,False
