group1,group2,meandiff,p-adj,lower,upper,reject
AdaBoost,BIASEDMF,0.0381,0.0,0.0358,0.0404,True
AdaBoost,Bagging,0.0004,1.0,-0.0018,0.0027,False
AdaBoost,BayesianRidge,-0.0,1.0,-0.0023,0.0022,False
AdaBoost,GradientBoosting,0.0,1.0,-0.0023,0.0023,False
AdaBoost,LinearSVR,0.0,1.0,-0.0023,0.0023,False
AdaBoost,NMF,0.0326,0.0,0.0303,0.0348,True
AdaBoost,RandomForest,0.0003,1.0,-0.002,0.0026,False
AdaBoost,Ridge,-0.0,1.0,-0.0023,0.0022,False
AdaBoost,SVD,0.0385,0.0,0.0362,0.0408,True
AdaBoost,StochasticItemKNN,0.017,0.0,0.0147,0.0193,True
AdaBoost,Tweedie,0.0,1.0,-0.0023,0.0023,False
BIASEDMF,Bagging,-0.0377,0.0,-0.0399,-0.0354,True
BIASEDMF,BayesianRidge,-0.0381,0.0,-0.0404,-0.0359,True
BIASEDMF,GradientBoosting,-0.0381,0.0,-0.0404,-0.0358,True
BIASEDMF,LinearSVR,-0.0381,0.0,-0.0404,-0.0358,True
BIASEDMF,NMF,-0.0056,0.0,-0.0078,-0.0033,True
BIASEDMF,RandomForest,-0.0378,0.0,-0.0401,-0.0355,True
BIASEDMF,Ridge,-0.0381,0.0,-0.0404,-0.0359,True
BIASEDMF,SVD,0.0004,1.0,-0.0019,0.0027,False
BIASEDMF,StochasticItemKNN,-0.0211,0.0,-0.0234,-0.0188,True
BIASEDMF,Tweedie,-0.0381,0.0,-0.0404,-0.0358,True
Bagging,BayesianRidge,-0.0005,0.9999,-0.0027,0.0018,False
Bagging,GradientBoosting,-0.0004,1.0,-0.0027,0.0018,False
Bagging,LinearSVR,-0.0004,1.0,-0.0027,0.0018,False
Bagging,NMF,0.0321,0.0,0.0298,0.0344,True
Bagging,RandomForest,-0.0002,1.0,-0.0024,0.0021,False
Bagging,Ridge,-0.0005,0.9999,-0.0027,0.0018,False
Bagging,SVD,0.038,0.0,0.0358,0.0403,True
Bagging,StochasticItemKNN,0.0165,0.0,0.0143,0.0188,True
Bagging,Tweedie,-0.0004,1.0,-0.0027,0.0018,False
BayesianRidge,GradientBoosting,0.0,1.0,-0.0022,0.0023,False
BayesianRidge,LinearSVR,0.0,1.0,-0.0022,0.0023,False
BayesianRidge,NMF,0.0326,0.0,0.0303,0.0349,True
BayesianRidge,RandomForest,0.0003,1.0,-0.002,0.0026,False
BayesianRidge,Ridge,-0.0,1.0,-0.0023,0.0023,False
BayesianRidge,SVD,0.0385,0.0,0.0362,0.0408,True
BayesianRidge,StochasticItemKNN,0.017,0.0,0.0147,0.0193,True
BayesianRidge,Tweedie,0.0,1.0,-0.0022,0.0023,False
GradientBoosting,LinearSVR,-0.0,1.0,-0.0023,0.0023,False
GradientBoosting,NMF,0.0325,0.0,0.0303,0.0348,True
GradientBoosting,RandomForest,0.0003,1.0,-0.002,0.0026,False
GradientBoosting,Ridge,-0.0,1.0,-0.0023,0.0022,False
GradientBoosting,SVD,0.0385,0.0,0.0362,0.0408,True
GradientBoosting,StochasticItemKNN,0.017,0.0,0.0147,0.0193,True
GradientBoosting,Tweedie,0.0,1.0,-0.0023,0.0023,False
LinearSVR,NMF,0.0325,0.0,0.0303,0.0348,True
LinearSVR,RandomForest,0.0003,1.0,-0.002,0.0026,False
LinearSVR,Ridge,-0.0,1.0,-0.0023,0.0022,False
LinearSVR,SVD,0.0385,0.0,0.0362,0.0408,True
LinearSVR,StochasticItemKNN,0.017,0.0,0.0147,0.0193,True
LinearSVR,Tweedie,0.0,1.0,-0.0023,0.0023,False
NMF,RandomForest,-0.0323,0.0,-0.0345,-0.03,True
NMF,Ridge,-0.0326,0.0,-0.0349,-0.0303,True
NMF,SVD,0.0059,0.0,0.0037,0.0082,True
NMF,StochasticItemKNN,-0.0156,0.0,-0.0178,-0.0133,True
NMF,Tweedie,-0.0325,0.0,-0.0348,-0.0303,True
RandomForest,Ridge,-0.0003,1.0,-0.0026,0.002,False
RandomForest,SVD,0.0382,0.0,0.0359,0.0405,True
RandomForest,StochasticItemKNN,0.0167,0.0,0.0144,0.019,True
RandomForest,Tweedie,-0.0003,1.0,-0.0025,0.002,False
Ridge,SVD,0.0385,0.0,0.0362,0.0408,True
Ridge,StochasticItemKNN,0.017,0.0,0.0147,0.0193,True
Ridge,Tweedie,0.0,1.0,-0.0022,0.0023,False
SVD,StochasticItemKNN,-0.0215,0.0,-0.0238,-0.0192,True
SVD,Tweedie,-0.0385,0.0,-0.0408,-0.0362,True
StochasticItemKNN,Tweedie,-0.017,0.0,-0.0192,-0.0147,True
