group1,group2,meandiff,p-adj,lower,upper,reject
AdaBoost,BIASEDMF,0.0515,0.1527,-0.0072,0.1102,False
AdaBoost,Bagging,-0.0044,1.0,-0.0631,0.0543,False
AdaBoost,BayesianRidge,-0.0006,1.0,-0.0594,0.0581,False
AdaBoost,GradientBoosting,0.0001,1.0,-0.0587,0.0588,False
AdaBoost,LinearSVR,-0.003,1.0,-0.0617,0.0558,False
AdaBoost,NMF,0.0328,0.8017,-0.0259,0.0916,False
AdaBoost,RandomForest,0.0003,1.0,-0.0585,0.059,False
AdaBoost,Ridge,-0.0007,1.0,-0.0594,0.058,False
AdaBoost,SVD,0.0526,0.1316,-0.0062,0.1113,False
AdaBoost,StochasticItemKNN,0.0158,0.9993,-0.0429,0.0745,False
AdaBoost,Tweedie,-0.0001,1.0,-0.0589,0.0586,False
BIASEDMF,Bagging,-0.0559,0.0797,-0.1146,0.0028,False
BIASEDMF,BayesianRidge,-0.0521,0.1402,-0.1109,0.0066,False
BIASEDMF,GradientBoosting,-0.0515,0.1537,-0.1102,0.0073,False
BIASEDMF,LinearSVR,-0.0545,0.0993,-0.1132,0.0043,False
BIASEDMF,NMF,-0.0187,0.9967,-0.0774,0.0401,False
BIASEDMF,RandomForest,-0.0513,0.158,-0.11,0.0075,False
BIASEDMF,Ridge,-0.0522,0.1385,-0.1109,0.0065,False
BIASEDMF,SVD,0.0011,1.0,-0.0577,0.0598,False
BIASEDMF,StochasticItemKNN,-0.0357,0.7003,-0.0944,0.023,False
BIASEDMF,Tweedie,-0.0516,0.1497,-0.1104,0.0071,False
Bagging,BayesianRidge,0.0038,1.0,-0.055,0.0625,False
Bagging,GradientBoosting,0.0045,1.0,-0.0543,0.0632,False
Bagging,LinearSVR,0.0014,1.0,-0.0573,0.0602,False
Bagging,NMF,0.0372,0.6412,-0.0215,0.096,False
Bagging,RandomForest,0.0047,1.0,-0.0541,0.0634,False
Bagging,Ridge,0.0037,1.0,-0.055,0.0624,False
Bagging,SVD,0.057,0.0672,-0.0018,0.1157,False
Bagging,StochasticItemKNN,0.0202,0.9935,-0.0385,0.0789,False
Bagging,Tweedie,0.0043,1.0,-0.0545,0.063,False
BayesianRidge,GradientBoosting,0.0007,1.0,-0.0581,0.0594,False
BayesianRidge,LinearSVR,-0.0024,1.0,-0.0611,0.0564,False
BayesianRidge,NMF,0.0334,0.7816,-0.0253,0.0922,False
BayesianRidge,RandomForest,0.0009,1.0,-0.0579,0.0596,False
BayesianRidge,Ridge,-0.0001,1.0,-0.0588,0.0587,False
BayesianRidge,SVD,0.0532,0.1204,-0.0056,0.1119,False
BayesianRidge,StochasticItemKNN,0.0164,0.999,-0.0423,0.0752,False
BayesianRidge,Tweedie,0.0005,1.0,-0.0583,0.0592,False
GradientBoosting,LinearSVR,-0.003,1.0,-0.0618,0.0557,False
GradientBoosting,NMF,0.0328,0.8033,-0.026,0.0915,False
GradientBoosting,RandomForest,0.0002,1.0,-0.0585,0.0589,False
GradientBoosting,Ridge,-0.0007,1.0,-0.0595,0.058,False
GradientBoosting,SVD,0.0525,0.1325,-0.0062,0.1113,False
GradientBoosting,StochasticItemKNN,0.0158,0.9993,-0.043,0.0745,False
GradientBoosting,Tweedie,-0.0002,1.0,-0.0589,0.0585,False
LinearSVR,NMF,0.0358,0.6968,-0.0229,0.0945,False
LinearSVR,RandomForest,0.0032,1.0,-0.0555,0.062,False
LinearSVR,Ridge,0.0023,1.0,-0.0565,0.061,False
LinearSVR,SVD,0.0555,0.0843,-0.0032,0.1143,False
LinearSVR,StochasticItemKNN,0.0188,0.9965,-0.04,0.0775,False
LinearSVR,Tweedie,0.0028,1.0,-0.0559,0.0616,False
NMF,RandomForest,-0.0326,0.8097,-0.0913,0.0262,False
NMF,Ridge,-0.0335,0.7788,-0.0923,0.0252,False
NMF,SVD,0.0198,0.9946,-0.039,0.0785,False
NMF,StochasticItemKNN,-0.017,0.9986,-0.0758,0.0417,False
NMF,Tweedie,-0.033,0.797,-0.0917,0.0258,False
RandomForest,Ridge,-0.001,1.0,-0.0597,0.0578,False
RandomForest,SVD,0.0523,0.1364,-0.0064,0.1111,False
RandomForest,StochasticItemKNN,0.0156,0.9994,-0.0432,0.0743,False
RandomForest,Tweedie,-0.0004,1.0,-0.0591,0.0583,False
Ridge,SVD,0.0533,0.119,-0.0055,0.112,False
Ridge,StochasticItemKNN,0.0165,0.9989,-0.0422,0.0752,False
Ridge,Tweedie,0.0006,1.0,-0.0582,0.0593,False
SVD,StochasticItemKNN,-0.0368,0.6591,-0.0955,0.022,False
SVD,Tweedie,-0.0527,0.1289,-0.1115,0.006,False
StochasticItemKNN,Tweedie,-0.0159,0.9992,-0.0747,0.0428,False
