analysis_type,group,method,metric,mean,ci_lower,ci_upper
fairness_activity,low,SVD,ndcg,0.8898411884543107,0.8880639589336048,0.8916184179750166
fairness_activity,high,SVD,ndcg,0.8896789449773409,0.8870719283382494,0.8922859616164324
fairness_activity,low,BIASEDMF,ndcg,0.8894650869102197,0.8872616879012545,0.891668485919185
fairness_activity,high,BIASEDMF,ndcg,0.8872571476115163,0.8845980608101174,0.8899162344129152
fairness_activity,low,NMF,ndcg,0.8747474552846622,0.8725969566324058,0.8768979539369187
fairness_activity,high,NMF,ndcg,0.8734113512124552,0.87052421412549,0.8762984882994204
fairness_activity,low,StochasticItemKNN,ndcg,0.8378333312400044,0.8357486566054425,0.8399180058745662
fairness_activity,high,StochasticItemKNN,ndcg,0.8266355769267494,0.8233309870013276,0.8299401668521712
fairness_activity,low,RandomForest,ndcg,0.8046644753221672,0.8013806287342791,0.8079483219100554
fairness_activity,low,GradientBoosting,ndcg,0.8043192723408978,0.8009321469083026,0.8077063977734931
fairness_activity,low,Tweedie,ndcg,0.8043098504300888,0.8010379873416108,0.8075817135185669
fairness_activity,low,BayesianRidge,ndcg,0.8043006468231656,0.8011020787392944,0.8074992149070368
fairness_activity,low,Ridge,ndcg,0.8042203066543787,0.8010102102648528,0.8074304030439047
fairness_activity,low,LinearSVR,ndcg,0.8040918026213666,0.8008837286596013,0.8072998765831318
fairness_activity,low,AdaBoost,ndcg,0.8040668199294356,0.8007790602788311,0.8073545795800402
fairness_activity,low,Bagging,ndcg,0.8039139618612985,0.8007219487240009,0.807105974998596
fairness_activity,high,RandomForest,ndcg,0.7471927763976994,0.7366693482808083,0.7577162045145905
fairness_activity,high,Bagging,ndcg,0.7471194242207903,0.736772764581724,0.7574660838598565
fairness_activity,high,Ridge,ndcg,0.7470696025983039,0.736947912827899,0.7571912923687089
fairness_activity,high,LinearSVR,ndcg,0.7468890963018983,0.7366934978888888,0.7570846947149077
fairness_activity,high,BayesianRidge,ndcg,0.7467712100080205,0.7366652409332033,0.7568771790828377
fairness_activity,high,AdaBoost,ndcg,0.74632866346203,0.7362307445870782,0.7564265823369818
fairness_activity,high,Tweedie,ndcg,0.7456717866172975,0.7353191177236894,0.7560244555109056
fairness_activity,high,GradientBoosting,ndcg,0.7452932787937872,0.734892318905781,0.7556942386817933
