analysis_type,group,method,metric,mean,ci_lower,ci_upper
fairness_activity,high,BIASEDMF,rmse,0.8859379619195438,0.8776407886971529,0.8942351351419346
fairness_activity,high,SVD,rmse,0.8894128346690229,0.8817765951703997,0.897049074167646
fairness_activity,high,NMF,rmse,0.9167490820787844,0.9081340850753362,0.9253640790822325
fairness_activity,low,SVD,rmse,0.9425795578500287,0.9368518483912531,0.9483072673088042
fairness_activity,low,BIASEDMF,rmse,0.947688096247898,0.939808374889158,0.9555678176066379
fairness_activity,high,StochasticItemKNN,rmse,1.023810094010047,1.018591203503933,1.0290289845161609
fairness_activity,low,NMF,rmse,1.0548955281277677,1.0211957159266265,1.0885953403289088
fairness_activity,low,Tweedie,rmse,1.0809588262285599,1.0739357635753735,1.0879818888817463
fairness_activity,low,AdaBoost,rmse,1.0828887503077678,1.0760117217028946,1.089765778912641
fairness_activity,low,GradientBoosting,rmse,1.0831164952275172,1.0760871531676095,1.0901458372874249
fairness_activity,low,RandomForest,rmse,1.083429604684259,1.0761981284726534,1.0906610808958648
fairness_activity,low,BayesianRidge,rmse,1.0862373597029438,1.0789327155116046,1.093542003894283
fairness_activity,low,Ridge,rmse,1.0865408015302271,1.0792485916670638,1.0938330113933905
fairness_activity,low,LinearSVR,rmse,1.0959305519763651,1.088028425931736,1.1038326780209942
fairness_activity,low,Bagging,rmse,1.096161400110436,1.0888746655358827,1.1034481346849894
fairness_activity,high,Tweedie,rmse,1.113828269839517,1.0971646648662863,1.1304918748127477
fairness_activity,high,AdaBoost,rmse,1.120325625465589,1.1036147448801452,1.1370365060510326
fairness_activity,high,GradientBoosting,rmse,1.122707508282768,1.1058399898630855,1.1395750267024505
fairness_activity,high,BayesianRidge,rmse,1.1232149291459133,1.1069584489435345,1.139471409348292
fairness_activity,high,Ridge,rmse,1.1234060543177806,1.1071537093749757,1.1396583992605855
fairness_activity,high,RandomForest,rmse,1.12356350703334,1.1066834588535175,1.1404435552131627
fairness_activity,low,StochasticItemKNN,rmse,1.1235903152204316,1.0954589653821085,1.1517216650587547
fairness_activity,high,Bagging,rmse,1.1357159750091816,1.1189471426015472,1.1524848074168161
fairness_activity,high,LinearSVR,rmse,1.1363809073603577,1.119865075636447,1.1528967390842684
