analysis_type,group,method,metric,mean,ci_lower,ci_upper
fairness_gender,male,SVD,mae,0.722031773427743,0.7168770981039668,0.7271864487515193
fairness_gender,male,BIASEDMF,mae,0.7226766891407128,0.7165774125255628,0.7287759657558628
fairness_gender,female,SVD,mae,0.7396769371654683,0.7282350327041595,0.7511188416267772
fairness_gender,female,BIASEDMF,mae,0.742663869683625,0.7300285439720483,0.7552991953952016
fairness_gender,female,NMF,mae,0.7821721607015368,0.7670438684380186,0.797300452965055
fairness_gender,male,NMF,mae,0.7908235672144167,0.7689899006884965,0.8126572337403369
fairness_gender,female,StochasticItemKNN,mae,0.8429996474231919,0.8313846195345774,0.8546146753118063
fairness_gender,male,StochasticItemKNN,mae,0.8515448448734414,0.8326986556214955,0.8703910341253873
fairness_gender,male,GradientBoosting,mae,0.8547207416007887,0.8475145849649677,0.8619268982366097
fairness_gender,male,RandomForest,mae,0.8547364242417284,0.8474355832235972,0.8620372652598595
fairness_gender,male,Tweedie,mae,0.8564440357752034,0.8494936407533364,0.8633944307970705
fairness_gender,male,AdaBoost,mae,0.8571164618464792,0.8498795981140095,0.8643533255789488
fairness_gender,male,BayesianRidge,mae,0.8583934884470685,0.8511698037419703,0.8656171731521668
fairness_gender,male,Ridge,mae,0.8586025374389172,0.851386404181278,0.8658186706965565
fairness_gender,male,LinearSVR,mae,0.8614247050254157,0.853664778677585,0.8691846313732464
fairness_gender,male,Bagging,mae,0.8654788604316258,0.8582526408505667,0.8727050800126849
fairness_gender,female,GradientBoosting,mae,0.8767409746761031,0.8665955874166078,0.8868863619355984
fairness_gender,female,AdaBoost,mae,0.8772447523171328,0.8670551876158197,0.887434317018446
fairness_gender,female,RandomForest,mae,0.8773112513043779,0.8671079199974795,0.8875145826112764
fairness_gender,female,Tweedie,mae,0.8776889664834948,0.8678670239404728,0.8875109090265169
fairness_gender,female,BayesianRidge,mae,0.8778432921220136,0.8678253561166196,0.8878612281274076
fairness_gender,female,Ridge,mae,0.8779708791830556,0.8679386115945424,0.8880031467715688
fairness_gender,female,LinearSVR,mae,0.8839680540781489,0.8736689477540094,0.8942671604022885
fairness_gender,female,Bagging,mae,0.8890561442271867,0.8787306418342753,0.8993816466200981
