analysis_type,group,method,metric,mean,ci_lower,ci_upper
fairness_gender,male,SVD,ndcg,0.8944655974210778,0.8927622739614542,0.8961689208807013
fairness_gender,male,BIASEDMF,ndcg,0.8940900033207909,0.8921932751046663,0.8959867315369155
fairness_gender,male,NMF,ndcg,0.8792278464863124,0.8770730061549976,0.8813826868176271
fairness_gender,female,SVD,ndcg,0.8770368127108158,0.8741386948782955,0.879934930543336
fairness_gender,female,BIASEDMF,ndcg,0.8739845547004172,0.8710168339751666,0.8769522754256679
fairness_gender,female,NMF,ndcg,0.8618521343114857,0.858189635088346,0.8655146335346253
fairness_gender,male,StochasticItemKNN,ndcg,0.8375418709181609,0.8352949211496049,0.8397888206867169
fairness_gender,female,StochasticItemKNN,ndcg,0.8276330275307874,0.8246421860769739,0.8306238689846008
fairness_gender,male,RandomForest,ndcg,0.801481732381408,0.7978111410220192,0.8051523237407967
fairness_gender,male,BayesianRidge,ndcg,0.8007223181431081,0.7972441801951052,0.804200456091111
fairness_gender,male,Tweedie,ndcg,0.8007068902735862,0.7971937060406709,0.8042200745065016
fairness_gender,male,AdaBoost,ndcg,0.8006554530921133,0.7970911375295731,0.8042197686546535
fairness_gender,male,GradientBoosting,ndcg,0.8006441470025294,0.7969053800843986,0.8043829139206602
fairness_gender,male,Ridge,ndcg,0.8006274609160904,0.797140715402791,0.8041142064293898
fairness_gender,male,LinearSVR,ndcg,0.800522670975664,0.7970013004970197,0.8040440414543083
fairness_gender,female,Bagging,ndcg,0.8001006936590067,0.7949332245489511,0.8052681627690623
fairness_gender,male,Bagging,ndcg,0.7998737025982032,0.7962752344698639,0.8034721707265425
fairness_gender,female,Ridge,ndcg,0.7992437607655657,0.7937240529016201,0.8047634686295113
fairness_gender,female,BayesianRidge,ndcg,0.7991899177618436,0.7936860706796993,0.8046937648439878
fairness_gender,female,LinearSVR,ndcg,0.7990324407953134,0.793554933689259,0.8045099479013679
fairness_gender,female,Tweedie,ndcg,0.798959728576094,0.7933920988628513,0.8045273582893366
fairness_gender,female,GradientBoosting,ndcg,0.7988321404137121,0.7933910384043418,0.8042732424230824
fairness_gender,female,AdaBoost,ndcg,0.7983866917663883,0.792721475939423,0.8040519075933537
fairness_gender,female,RandomForest,ndcg,0.7983179498596519,0.7928042350752591,0.8038316646440447
