method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper
AdaBoost,f1,fairness_ratio_activity,111.586752941049,18.63740487108154,108.49838164931045,87.3868778280543,156.54141104294484,95,107.8389244494409,115.3345814326571
BIASEDMF,f1,fairness_ratio_activity,100.03531057377285,6.341517893139626,100.52664546700797,88.60111216601113,110.91658091707428,100,98.79237306671747,101.27824808082822
Bagging,f1,fairness_ratio_activity,110.07548469602017,16.23496773003749,107.42840941309896,88.14757142001557,149.985935302391,95,106.81076651020754,113.3402028818328
BayesianRidge,f1,fairness_ratio_activity,110.49608072898397,17.018454316910635,107.9168943829972,86.79285374786814,151.79952012796588,95,107.07380984882428,113.91835160914366
GradientBoosting,f1,fairness_ratio_activity,110.84295463865982,17.2712240447538,107.7619003658661,87.97158812345295,152.36450839328538,95,107.36985384980954,114.3160554275101
LinearSVR,f1,fairness_ratio_activity,109.89861399912131,15.364563779948083,107.81601256296145,88.35612666360716,142.17207334273624,95,106.80892687293947,112.98830112530315
NMF,f1,fairness_ratio_activity,97.49890083090862,8.992332784152174,97.80149992791891,77.66720987483097,115.01947085703432,100,95.7364036052148,99.26139805660245
RandomForest,f1,fairness_ratio_activity,112.05221510176858,19.870578175070843,107.84832220907504,87.87360873733795,167.9687034573148,95,108.05640562376506,116.0480245797721
Ridge,f1,fairness_ratio_activity,110.44928740728473,16.880794095428236,108.2871660720278,86.89238683702855,149.0177843041279,95,107.05469886293314,113.84387595163632
SVD,f1,fairness_ratio_activity,100.50099736701546,6.506858695757417,101.11383911812467,86.52975658759448,113.62875387815468,100,99.225653062647,101.77634167138392
StochasticItemKNN,f1,fairness_ratio_activity,104.89505783989311,8.68515310081073,106.0724014120834,86.01105352573063,125.19245293167164,100,103.19276783213421,106.59734784765202
Tweedie,f1,fairness_ratio_activity,111.69535401717903,21.12531271451708,107.63919309213212,85.63421618178464,167.5162418790605,95,107.44722776605876,115.9434802682993
AdaBoost,mae,fairness_ratio_activity,103.67407089695728,10.158412152322393,103.67937227125783,84.1293899040892,125.34409878819768,95,101.63129794882833,105.71684384508622
BIASEDMF,mae,fairness_ratio_activity,93.6309186569658,2.843622236375219,92.85703357614096,89.54336134114821,99.97833585466562,100,93.07356869863627,94.18826861529534
Bagging,mae,fairness_ratio_activity,103.70741027461216,9.909590149269414,103.1984135011027,83.87305909429801,124.87470976800732,95,101.71467338025957,105.70014716896475
BayesianRidge,mae,fairness_ratio_activity,103.76231385239137,10.00966774756328,103.49127865965636,84.67483897853171,124.47213638854852,95,101.74945217796065,105.7751755268221
GradientBoosting,mae,fairness_ratio_activity,103.84877122060635,10.261933343733395,103.37363470103698,84.66924389719732,125.47771206433256,95,101.78518101420894,105.91236142700376
LinearSVR,mae,fairness_ratio_activity,104.27215253487802,10.069282461746434,103.77221880929544,85.42999994414406,125.33414671536936,95,102.24730283282864,106.2970022369274
NMF,mae,fairness_ratio_activity,88.58062477200376,7.957042980913349,89.65430260628312,63.711115490338535,100.1771546725868,100,87.02104434774475,90.14020519626277
RandomForest,mae,fairness_ratio_activity,103.98402289250667,10.259367401513343,103.75012330207922,84.89226700225794,125.18408531182664,95,101.92094867593867,106.04709710907467
Ridge,mae,fairness_ratio_activity,103.75397860279301,10.000102341903606,103.4886802270342,84.67635381218957,124.4525568165664,95,101.7430404525929,105.76491675299313
SVD,mae,fairness_ratio_activity,94.13781863885744,3.2294739680484432,93.2194162995905,88.31821160124672,100.35296986210324,100,93.50484174111995,94.77079553659493
StochasticItemKNN,mae,fairness_ratio_activity,93.51601234440112,7.508253121152853,94.54108232282053,70.18305060082267,104.30625253801789,100,92.04439473265516,94.98762995614707
Tweedie,mae,fairness_ratio_activity,103.3902128976778,10.231279673829833,102.47199813314592,83.88904977544118,124.43002392667672,95,101.33278689162006,105.44763890373554
AdaBoost,ndcg,fairness_ratio_activity,108.20415453401472,9.833066094442874,106.35457628114392,94.42482414959036,144.88252086051816,95,106.22680599630063,110.18150307172881
BIASEDMF,ndcg,fairness_ratio_activity,100.26681504907103,1.6934880334618818,100.26315079902383,95.35354900965989,104.6532869640088,100,99.9348913945125,100.59873870362955
Bagging,ndcg,fairness_ratio_activity,108.05760662949433,9.352411456141628,106.79639149084352,93.55940931847285,146.8621642370157,95,106.1769137775106,109.93829948147805
BayesianRidge,ndcg,fairness_ratio_activity,108.18123635970717,9.87638148907148,105.89421244965165,94.32230158273252,146.57556964305363,95,106.19517745318169,110.16729526623266
GradientBoosting,ndcg,fairness_ratio_activity,108.43064828260384,10.226483170093434,106.4737097881678,95.17394807794793,152.16299658038872,95,106.37418681390996,110.48710975129772
LinearSVR,ndcg,fairness_ratio_activity,108.13865065020903,9.970678312404761,105.99335372109408,94.28561558750808,146.95910772114237,95,106.13362942979911,110.14367187061895
