method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
RandomForest,f1,fairness_ratio_activity,112.05221510176858,19.870578175070843,107.84832220907504,87.87360873733795,167.9687034573148,95,108.05640562376506,116.0480245797721,1
Tweedie,f1,fairness_ratio_activity,111.69535401717904,21.12531271451708,107.63919309213212,85.63421618178464,167.5162418790605,95,107.44722776605876,115.9434802682993,1
AdaBoost,f1,fairness_ratio_activity,111.586752941049,18.63740487108154,108.49838164931045,87.3868778280543,156.54141104294484,95,107.8389244494409,115.3345814326571,1
GradientBoosting,f1,fairness_ratio_activity,110.84295463865982,17.2712240447538,107.7619003658661,87.97158812345295,152.36450839328538,95,107.36985384980954,114.3160554275101,1
BayesianRidge,f1,fairness_ratio_activity,110.49608072898396,17.018454316910635,107.9168943829972,86.79285374786814,151.79952012796588,95,107.07380984882428,113.91835160914366,1
Ridge,f1,fairness_ratio_activity,110.44928740728471,16.880794095428236,108.2871660720278,86.89238683702855,149.0177843041279,95,107.05469886293314,113.84387595163632,1
Bagging,f1,fairness_ratio_activity,110.07548469602015,16.23496773003749,107.42840941309896,88.14757142001557,149.985935302391,95,106.81076651020754,113.3402028818328,1
LinearSVR,f1,fairness_ratio_activity,109.89861399912132,15.364563779948083,107.81601256296145,88.35612666360716,142.17207334273624,95,106.80892687293948,112.98830112530317,1
StochasticItemKNN,f1,fairness_ratio_activity,104.89505783989313,8.68515310081073,106.0724014120834,86.01105352573063,125.19245293167164,100,103.1927678321342,106.59734784765202,2
SVD,f1,fairness_ratio_activity,100.50099736701546,6.506858695757417,101.11383911812467,86.52975658759448,113.62875387815468,100,99.225653062647,101.77634167138392,3
BIASEDMF,f1,fairness_ratio_activity,100.03531057377285,6.341517893139626,100.52664546700797,88.60111216601113,110.91658091707428,100,98.79237306671747,101.27824808082822,3
NMF,f1,fairness_ratio_activity,97.49890083090862,8.992332784152174,97.80149992791893,77.66720987483097,115.01947085703432,100,95.7364036052148,99.26139805660245,3
