method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
LinearSVR,mae,fairness_ratio_activity,104.27215253487802,10.069282461746434,103.77221880929544,85.42999994414406,125.33414671536936,95,102.24730283282864,106.2970022369274,1
RandomForest,mae,fairness_ratio_activity,103.98402289250669,10.259367401513344,103.75012330207922,84.89226700225794,125.18408531182664,95,101.92094867593867,106.04709710907468,1
GradientBoosting,mae,fairness_ratio_activity,103.84877122060637,10.261933343733396,103.37363470103698,84.66924389719732,125.47771206433256,95,101.78518101420894,105.91236142700376,1
BayesianRidge,mae,fairness_ratio_activity,103.76231385239136,10.00966774756328,103.49127865965636,84.67483897853171,124.47213638854852,95,101.74945217796063,105.7751755268221,1
Ridge,mae,fairness_ratio_activity,103.753978602793,10.000102341903606,103.4886802270342,84.67635381218957,124.4525568165664,95,101.7430404525929,105.76491675299312,1
Bagging,mae,fairness_ratio_activity,103.70741027461216,9.909590149269414,103.1984135011027,83.87305909429801,124.87470976800732,95,101.71467338025955,105.70014716896476,1
AdaBoost,mae,fairness_ratio_activity,103.67407089695728,10.158412152322391,103.67937227125783,84.1293899040892,125.34409878819768,95,101.63129794882832,105.71684384508622,1
Tweedie,mae,fairness_ratio_activity,103.3902128976778,10.231279673829832,102.47199813314592,83.88904977544118,124.43002392667672,95,101.33278689162006,105.44763890373554,1
SVD,mae,fairness_ratio_activity,94.13781863885744,3.2294739680484432,93.2194162995905,88.31821160124672,100.35296986210324,100,93.50484174111996,94.77079553659492,2
BIASEDMF,mae,fairness_ratio_activity,93.6309186569658,2.843622236375219,92.85703357614096,89.54336134114821,99.97833585466562,100,93.07356869863628,94.18826861529534,2
StochasticItemKNN,mae,fairness_ratio_activity,93.51601234440112,7.508253121152853,94.54108232282051,70.18305060082267,104.30625253801789,100,92.04439473265516,94.98762995614707,2
NMF,mae,fairness_ratio_activity,88.58062477200376,7.957042980913349,89.65430260628312,63.711115490338535,100.1771546725868,100,87.02104434774475,90.14020519626276,3
