method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
LinearSVR,rmse,fairness_ratio_activity,103.9911414063906,9.538465540815942,103.52237311895564,86.5679904806584,123.11146692329184,95,102.07303461162108,105.90924820116012,1
RandomForest,rmse,fairness_ratio_activity,103.9728728988856,9.665005873081682,104.30004146899418,85.97421743797878,122.6509353386814,95,102.0293198863683,105.9164259114029,1
GradientBoosting,rmse,fairness_ratio_activity,103.93074886197516,9.70192147012454,104.14709847893144,85.85972379587992,122.64715136801516,95,101.97977242718748,105.88172529676282,1
Bagging,rmse,fairness_ratio_activity,103.91247105606762,9.464597161236965,104.11933561956828,85.06504994573815,122.9193909874277,95,102.00921858353502,105.81572352860022,1
AdaBoost,rmse,fairness_ratio_activity,103.72131470647592,9.518077380003586,104.4487706077468,85.66239433290586,122.5132294882734,95,101.80730780278633,105.63532161016552,1
BayesianRidge,rmse,fairness_ratio_activity,103.69954593550666,9.45388728222835,103.63773558114798,86.13715901765471,122.36500321321036,95,101.79844713136126,105.60064473965208,1
Ridge,rmse,fairness_ratio_activity,103.69026083288227,9.441804098394684,103.63401862857604,86.14367928965511,122.32803703737434,95,101.79159185740424,105.58892980836032,1
Tweedie,rmse,fairness_ratio_activity,103.32033190097476,9.717543879609396,102.3972354469228,85.30071368397812,122.20525286262274,95,101.36621392841506,105.27444987353446,1
SVD,rmse,fairness_ratio_activity,94.36668411191414,3.142836878765667,93.88326094836069,89.42852381084178,101.2677897793119,100,93.75068808367608,94.9826801401522,2
BIASEDMF,rmse,fairness_ratio_activity,93.5045676331606,2.831691326335929,92.71727284884984,89.58297148247327,99.5867115156526,100,92.94955613319875,94.05957913312244,2
StochasticItemKNN,rmse,fairness_ratio_activity,92.19360857581862,8.882310218298258,93.81878528281364,64.22319928856682,103.87904197127126,100,90.45267577303215,93.93454137860508,2
NMF,rmse,fairness_ratio_activity,88.30749868368373,9.14976183744072,90.1038018517452,60.324573230142654,99.57193431474754,100,86.51414536354535,90.10085200382213,3
