method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
StochasticItemKNN,f1,fairness_ratio_gender,98.19802500519836,9.85391973153803,96.84496722159604,76.84447043614763,121.92206687698612,100,96.2666567378169,100.12939327257982,1
NMF,f1,fairness_ratio_gender,98.14682081613884,7.629036559726721,97.67781273739776,80.44414925322299,118.09613723652537,100,96.6515296504324,99.64211198184526,1
SVD,f1,fairness_ratio_gender,97.3104246391552,6.7261732493902695,96.98194822532722,81.21396540679052,111.42038216560508,100,95.99209468227473,98.62875459603568,1
BIASEDMF,f1,fairness_ratio_gender,96.88083936710474,5.984847512294367,96.96858629170056,82.22257898792705,110.06289530780477,100,95.70780925469504,98.05386947951445,1
LinearSVR,f1,fairness_ratio_gender,92.01062744827986,9.828084886176455,92.24141070129932,74.81106334033426,116.12472985489347,100,90.08432281058928,93.93693208597044,2
Bagging,f1,fairness_ratio_gender,91.96475802206962,10.090150532959518,91.57590250276655,72.84478054104623,118.45642845942209,100,89.98708851760955,93.94242752652968,2
GradientBoosting,f1,fairness_ratio_gender,91.78008156446684,10.042325117588806,91.82473697659458,74.15270578218515,115.578457075919,100,89.81178584141944,93.74837728751424,2
RandomForest,f1,fairness_ratio_gender,91.73638901812288,10.245576806253506,91.75544016268007,74.8677810424434,116.5327321263088,100,89.72825596409719,93.74452207214856,2
AdaBoost,f1,fairness_ratio_gender,91.64360908860954,10.729735033946842,91.89650267488472,73.89505328401816,117.07966444550216,100,89.54058102195596,93.74663715526312,2
BayesianRidge,f1,fairness_ratio_gender,91.3795803048426,10.427937647015115,91.04486526379888,74.0785894373673,114.982905982906,100,89.33570452602764,93.42345608365756,2
Ridge,f1,fairness_ratio_gender,91.33544094220684,10.43624112445234,90.95149909577928,74.29011666299802,114.12077159630977,100,89.28993768181417,93.3809442025995,2
Tweedie,f1,fairness_ratio_gender,90.83931727253734,11.212094609904971,90.70299277099306,73.38703116101213,119.66535647148386,100,88.64174672899597,93.03688781607872,2
