method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
StochasticItemKNN,mae,fairness_ratio_gender,101.5805028236607,13.923555982897703,102.09622436558514,79.23162746753609,139.90702738352283,100,98.85148585101274,104.30951979630863,1
NMF,mae,fairness_ratio_gender,101.56000854826928,13.39309868629761,101.41369728339384,80.10434837272965,138.7883300817197,100,98.93496120575492,104.1850558907836,1
Ridge,mae,fairness_ratio_gender,98.23498967916709,8.41832465836187,100.58034883885318,81.13999581368046,111.71427806076096,100,96.58499804612816,99.884981312206,1
BayesianRidge,mae,fairness_ratio_gender,98.22439624550324,8.413889013076044,100.57160896892088,81.14265486478634,111.65045893485504,100,96.57527399894032,99.87351849206614,1
AdaBoost,mae,fairness_ratio_gender,98.15259802086116,8.44366238594845,100.34048932628671,81.93285355911321,112.92975395622416,100,96.49764019321526,99.80755584850706,1
SVD,mae,fairness_ratio_gender,98.15209222790868,7.622240811489392,100.42318828474951,81.31768128262775,107.14450935068872,100,96.65813302885677,99.6460514269606,1
Tweedie,mae,fairness_ratio_gender,97.99848760083424,8.15384179107955,100.44698954920008,80.88713926327443,111.00026465545372,100,96.40033460978266,99.59664059188584,1
GradientBoosting,mae,fairness_ratio_gender,97.93925272767166,8.48410906996731,100.2750299792125,81.33525186583333,112.56108378163144,100,96.27636734995806,99.60213810538524,1
LinearSVR,mae,fairness_ratio_gender,97.89449538887888,8.51323659222381,100.21304267487812,80.32838288392043,110.5042782521857,100,96.225901016803,99.56308976095475,1
RandomForest,mae,fairness_ratio_gender,97.87851608119892,8.501389614955405,100.1917021715706,81.30715344038283,112.19448607619888,100,96.21224371666769,99.54478844573018,1
BIASEDMF,mae,fairness_ratio_gender,97.85674935379956,7.286537697630575,99.34942190835496,82.94291358706492,106.60774158034964,100,96.42858796506395,99.28491074253516,1
Bagging,mae,fairness_ratio_gender,97.78737049943342,8.320641948741391,99.8109259083764,80.81786028910923,112.34358579421134,100,96.1565246774801,99.41821632138674,1
