method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
Bagging,ndcg,fairness_ratio_gender,100.07495198420344,3.844938410643168,100.3799446678583,90.11667346454269,107.81052113772786,100,99.3213440557174,100.82855991268951,1
Ridge,ndcg,fairness_ratio_gender,99.87173037959576,4.014099648167041,100.34710740617834,90.10390420875204,107.41293491685408,100,99.08496684855504,100.6584939106365,1
LinearSVR,ndcg,fairness_ratio_gender,99.85994973381392,4.0166910678410845,100.28947665840924,89.71736858236874,107.52507153115424,100,99.07267828451708,100.6472211831108,1
BayesianRidge,ndcg,fairness_ratio_gender,99.85366963221384,4.020692128626371,100.34116671887315,89.86167630239937,107.62212434807988,100,99.06561397500307,100.6417252894246,1
Tweedie,ndcg,fairness_ratio_gender,99.82695738786138,4.046834874363679,100.2447177825618,88.92655525517074,107.65540072110608,100,99.0337777524861,100.62013702323668,1
GradientBoosting,ndcg,fairness_ratio_gender,99.8254197386789,4.056744951597612,100.26514713444053,89.48783119285383,106.9943363098766,100,99.03029772816578,100.62054174919204,1
AdaBoost,ndcg,fairness_ratio_gender,99.764457252414,4.149022765251254,99.95613800412004,89.10432604534053,108.3203781801349,100,98.95124879042474,100.57766571440324,1
RandomForest,ndcg,fairness_ratio_gender,99.65930056668203,4.179506210659375,99.69540875531706,89.13897537454002,107.2763630563911,100,98.8401173493928,100.47848378397128,1
StochasticItemKNN,ndcg,fairness_ratio_gender,98.82706406130406,1.8785115796479777,98.76406425135777,94.59064810686353,103.94347340892205,100,98.45887579169306,99.19525233091504,1
SVD,ndcg,fairness_ratio_gender,98.0560016983786,1.6471077046683695,98.2090518844887,93.22959092336863,100.50744342536412,100,97.7331685882636,98.3788348084936,2
NMF,ndcg,fairness_ratio_gender,98.03174440155163,2.136084747243402,98.33306380747712,89.89813726316817,101.77394185695988,100,97.61307179109193,98.45041701201134,2
BIASEDMF,ndcg,fairness_ratio_gender,97.7530002873202,1.436533700133623,98.01842241127494,92.34261966986836,99.64894968339183,100,97.471439682094,98.03456089254638,2
