method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
NMF,rmse,fairness_ratio_gender,102.7294857135161,16.259498275685306,101.16207713555396,80.74743510527246,151.9257631353645,100,99.54262405148178,105.91634737555042,1
StochasticItemKNN,rmse,fairness_ratio_gender,102.67353081394108,17.132760883487084,102.2216792052695,79.44749589464722,153.1256171541595,100,99.31550968077762,106.03155194710456,1
Ridge,rmse,fairness_ratio_gender,97.94735054917804,7.993881752133287,100.20510927094156,81.73036766584855,111.04494980308748,100,96.38054972575992,99.51415137259616,1
BayesianRidge,rmse,fairness_ratio_gender,97.93095547286526,7.983407916114586,100.19800564922572,81.70719778146868,110.87701145453065,100,96.3662075213068,99.49570342442372,1
AdaBoost,rmse,fairness_ratio_gender,97.84437926798054,7.885659026215796,100.16450478805176,82.04727672325807,111.0587973332843,100,96.29879009884225,99.38996843711884,1
LinearSVR,rmse,fairness_ratio_gender,97.70165201051,8.105626591282606,100.0906843771276,80.96731962046509,109.88900171324724,100,96.1129491986186,99.29035482240138,1
GradientBoosting,rmse,fairness_ratio_gender,97.64707235809296,7.954070049378826,99.76861587809216,81.17492499660167,110.98704608308432,100,96.08807462841472,99.20607008777122,1
RandomForest,rmse,fairness_ratio_gender,97.62001427324364,7.922566046007465,99.81479668958148,81.74887291522971,110.42920874697522,100,96.0671913282262,99.17283721826112,1
SVD,rmse,fairness_ratio_gender,97.61749034894744,7.451871291524455,100.17328448171584,81.00108866520225,107.55148937041174,100,96.15692357580863,99.07805712208622,1
Tweedie,rmse,fairness_ratio_gender,97.60225507678535,7.686754344439294,99.69219455221514,81.26742671847795,108.95802742000744,100,96.09565122527526,99.10885892829548,1
BIASEDMF,rmse,fairness_ratio_gender,97.5385252847034,7.027981526893555,99.76893490558606,82.46590629822431,106.68225499762258,100,96.16104090543226,98.91600966397452,1
Bagging,rmse,fairness_ratio_gender,97.47518685378058,7.797140806919046,99.28984930186589,80.47156267020674,109.93795818016147,100,95.94694725562444,99.00342645193672,1
