method,metric,analysis_type,mean,std,median,min,max
itemKNN,rmse,georisk,0.6589007798955355,0.00730659351134583,0.6582106024287636,0.6440444684387726,0.6744021979836735
itemKNN,f1,georisk,0.5811973655009943,0.014585981269540573,0.582068839607547,0.5528439053939217,0.5991421122177943
itemKNN,ndcg,georisk,0.6682371831094536,0.003051419333510329,0.6676612367708492,0.6643771477102111,0.6738383416873936
itemKNN,mae,georisk,0.5947523892638935,0.006638705307690661,0.5939977682338133,0.5811644040781972,0.6050476114101075
BIAS,rmse,georisk,0.6559262858151029,0.00930305060385694,0.6571590450751656,0.6355296329229219,0.6716418780703557
BIAS,f1,georisk,0.5671661545245661,0.015035452706025723,0.565920091514994,0.5469347779975519,0.5924507541150829
BIAS,ndcg,georisk,0.6678331023768141,0.0030212854552574935,0.6679872352737015,0.6607801263335369,0.6744316351195684
BIAS,mae,georisk,0.5932895290095468,0.008320194378337111,0.5937473105365391,0.575193723709322,0.606835036206514
userKNN,rmse,georisk,0.6705548023810729,0.005803095285412081,0.6699068297558851,0.656213504204758,0.6839027257200248
userKNN,f1,georisk,0.5682967735854064,0.02033493802426132,0.5658053746123808,0.5288811658048764,0.5978017629238938
userKNN,ndcg,georisk,0.6655447585148317,0.0035703484512951003,0.6658415171969565,0.6593132350314097,0.6716516264106753
userKNN,mae,georisk,0.6057036108360251,0.005409709076207017,0.6053658181728,0.5947256521394699,0.6167226505379548
SVD,rmse,georisk,0.6543910856162656,0.008257665016494633,0.6555315100234085,0.6364657630498142,0.6686801299623099
SVD,f1,georisk,0.5693617176399159,0.01638314821124996,0.5662342992817477,0.5462768993099746,0.5968688149729082
SVD,ndcg,georisk,0.6686347267655737,0.0027223569457261844,0.6686169726415623,0.6629756468809469,0.6736107316741898
SVD,mae,georisk,0.5917191354870633,0.007227991038864,0.5923945761058791,0.5761500423234788,0.6040909827418431
BIASEDMF,rmse,georisk,0.6551073973193168,0.007286996382407974,0.654334822690287,0.6402074716803435,0.672061507113404
BIASEDMF,f1,georisk,0.5757460546244685,0.01706455834059505,0.5689476196480472,0.5508403249718569,0.6035407573861319
BIASEDMF,ndcg,georisk,0.6685399283151237,0.003112499920645262,0.6685953315510194,0.6628859503921013,0.6740171820671004
BIASEDMF,mae,georisk,0.5923399502883668,0.006477288272194378,0.5908405538488068,0.5793869906882326,0.6053363332328527
BayesianRidge,rmse,georisk,0.6510983877394604,0.007714126966030231,0.6497687425445254,0.6333841980444838,0.6684377170248788
BayesianRidge,f1,georisk,0.5681691246130778,0.01569394030915106,0.5658966682673814,0.5426409009634032,0.5945954232017708
BayesianRidge,ndcg,georisk,0.6700181353552344,0.0030349957433161534,0.6703285424069891,0.6634906994482617,0.6749793863111754
BayesianRidge,mae,georisk,0.5891663677047237,0.0069936834164662535,0.5879985303786052,0.571775519983632,0.6027842294843351
Tweedie,rmse,georisk,0.6535145635557916,0.007765783341579547,0.653118847674784,0.6350099083025357,0.6707844233799597
