method,metric,analysis_type,mean,std,median,min,max,ci_lower,ci_upper,group
Tweedie,f1,fairness_activity,0.081963754834195,0.0659094137137469,0.05883426911656,0.0011265555487217,0.2531859070464768,0.068709915027085,0.0952175946413051,1
RandomForest,f1,fairness_activity,0.0802431171022669,0.0677696161423069,0.0575958088880877,0.0010435096630166,0.2592620647340873,0.0666152059204059,0.0938710282841279,1
AdaBoost,f1,fairness_activity,0.0785271900084002,0.0628785607223106,0.0586088336418937,0.0028045074411399,0.22768353440112,0.0658828297545732,0.0911715502622273,1
GradientBoosting,f1,fairness_activity,0.0758035769333938,0.060528062917993,0.0573059816461171,0.0018385468959851,0.2254930983442911,0.0636318824128821,0.0879752714539056,1
BayesianRidge,f1,fairness_activity,0.0748538860601382,0.0591742228715185,0.0547414886238291,0.002336045764173,0.2191518159260094,0.0629544376132807,0.0867533345069957,1
Ridge,f1,fairness_activity,0.0746495495721058,0.058788019212268,0.0546220316685123,0.0008210913374864,0.2110813678168187,0.0628277634976501,0.0864713356465614,1
LinearSVR,f1,fairness_activity,0.073074345033807,0.0555039668109473,0.0574326330596619,0.0013750973821211,0.1957989119484182,0.0619129548268415,0.0842357352407724,1
Bagging,f1,fairness_activity,0.0727965082350087,0.0565241198107391,0.0558534798534797,0.0002130524449898,0.2217118098089923,0.0614299736688974,0.0841630428011199,1
StochasticItemKNN,f1,fairness_activity,0.0546897403279397,0.0309956964628045,0.0483144234636856,0.0045126796487957,0.1468535670895006,0.04861458382123,0.0607648968346494,2
NMF,f1,fairness_activity,0.0525194591295503,0.0400437400904302,0.0432538719905226,0.0004443318270084,0.1686125654450262,0.044670886071826,0.0603680321872747,2
BIASEDMF,f1,fairness_activity,0.0378494546591893,0.0246835974102411,0.0355050909487893,0.0008919083423561,0.0860071123391408,0.033011469566782,0.0426874397515966,3
SVD,f1,fairness_activity,0.037208863438661,0.0277045239282891,0.0281844573070035,0.0001500554181942,0.1014813430087974,0.0317787767487164,0.0426389501286057,3
