method,metric,analysis_type,mean,std,median,min,max,ci_lower,ci_upper,group
Tweedie,mae,fairness_activity,0.0919650982485833,0.0523904594613039,0.0649915913607338,0.0199485393688516,0.1908860256456159,0.0684074746665267,0.11552272183064,1
BayesianRidge,mae,fairness_activity,0.0901807120120069,0.0499167671872245,0.0685036853867199,0.0187541438243027,0.1867590476907237,0.0677353961296689,0.112626027894345,1
Ridge,mae,fairness_activity,0.0900845358218943,0.0500807345483948,0.0690008727353108,0.0179264811749028,0.1867635739323048,0.0675654912222686,0.1126035804215201,1
LinearSVR,mae,fairness_activity,0.088967639511969,0.048664219262511,0.0697545641926941,0.0236289946964274,0.1820633550306807,0.0670855378642891,0.1108497411596489,1
RandomForest,mae,fairness_activity,0.0864727248611677,0.0531216497798531,0.0611338873569594,0.0235193727561838,0.1831564075286241,0.0625863180145941,0.1103591317077412,1
AdaBoost,mae,fairness_activity,0.085728278176396,0.054608994936567,0.0611146571600921,0.0201946826189548,0.1854941950894924,0.0611730793837556,0.1102834769690363,1
GradientBoosting,mae,fairness_activity,0.0852633479008935,0.0528230594201181,0.0637003880864435,0.0216163792730728,0.1892401233813266,0.0615112036542703,0.1090154921475167,1
Bagging,mae,fairness_activity,0.0810436812641438,0.0508379472254466,0.0702283137778975,0.018933067742657,0.1825466472695758,0.0581841523205943,0.1039032102076933,1
itemKNN,mae,fairness_activity,0.0712086432578745,0.0267716826012597,0.0754786338416635,0.0118615697499581,0.1144852496954546,0.0594754360328553,0.0829418504828937,1
userKNN,mae,fairness_activity,0.0620706400507102,0.0332395031532557,0.0703291672334067,0.0060441558697873,0.1190791623619933,0.0475027854872665,0.0766384946141539,1
BIASEDMF,mae,fairness_activity,0.0458427326559591,0.025096804346989,0.0490376290281949,0.0012065625596131,0.0946638670973011,0.0348435731905347,0.0568418921213835,1
SVD,mae,fairness_activity,0.0437442720466254,0.024297575889701,0.0476226165779864,0.0114065543644544,0.0876403369393075,0.0330953898965705,0.0543931541966804,1
BIAS,mae,fairness_activity,0.0429523861922224,0.0236765673628695,0.0429038544120724,0.0023773468837565,0.079403683729663,0.0325756730291655,0.0533290993552793,1
