method,metric,analysis_type,mean,std,median,min,max,ci_lower,ci_upper,group
GradientBoosting,ndcg,fairness_activity,0.0645205934407786,0.055388240690119,0.0487144810498522,0.0006949581191771,0.2831568859084304,0.0533824748027823,0.0756587120787749,1
Tweedie,ndcg,fairness_activity,0.0643935255741754,0.0550189892304005,0.0472916255017129,0.005220761861576,0.2818232517221848,0.053329660360992,0.0754573907873589,1
AdaBoost,ndcg,fairness_activity,0.0638349958520271,0.0532442107171791,0.0479906957961462,0.0086339672172679,0.2585090234629538,0.0531280239683686,0.0745419677356856,1
RandomForest,ndcg,fairness_activity,0.0630596898218649,0.0558681347101043,0.0475702174261623,0.0003374104525789,0.2791966823172781,0.0518250684522118,0.074294311191518,1
Bagging,ndcg,fairness_activity,0.0625102607499007,0.0516225509865938,0.0515206506782994,0.0001606285331912,0.2647741708095837,0.0521293912707358,0.0728911302290655,1
BayesianRidge,ndcg,fairness_activity,0.0622098906106078,0.054444779879634,0.04498123909585,0.0011397049349556,0.2651946317034082,0.0512614941646608,0.0731582870565547,1
LinearSVR,ndcg,fairness_activity,0.0619875495562492,0.0544749920058134,0.0463031382570721,0.0032828825679388,0.2675399183719867,0.0510330777007658,0.0729420214117325,1
Ridge,ndcg,fairness_activity,0.0618086120584572,0.0544241970750256,0.0444348576804993,0.0011262757107642,0.2667557302128783,0.0508643546448531,0.0727528694720613,1
StochasticItemKNN,ndcg,fairness_activity,0.0149348728564587,0.0099430407462405,0.0126928829356134,0.0005561148299121,0.0444047217979789,0.0129860368701955,0.0168837088427218,2
SVD,ndcg,fairness_activity,0.0110357440624873,0.0082747966003663,0.0096355600509597,3.1905963226552814e-05,0.0368964710662356,0.0094138839288155,0.0126576041961591,3
BIASEDMF,ndcg,fairness_activity,0.0108295148623278,0.0104822108159935,0.0073056514807713,6.369050379995134e-05,0.0423200056386353,0.0087750015423931,0.0128840281822626,3
NMF,ndcg,fairness_activity,0.0088276204322477,0.009005596437133,0.006133542241654,5.682277821528192e-05,0.0421857354768397,0.0070625235305696,0.0105927173339257,3
