method,metric,analysis_type,mean,std,median,min,max,ci_lower,ci_upper,group
NMF,rmse,fairness_activity,0.1381464460489833,0.1496447872333501,0.0960268609317655,0.003898317306213,0.6329208812987497,0.1088160677512467,0.1674768243467199,1
StochasticItemKNN,rmse,fairness_activity,0.1043021365761913,0.1357048263341803,0.0666066478800791,0.0071838688187262,0.5714198856548192,0.0777039906146919,0.1309002825376906,1
LinearSVR,rmse,fairness_activity,0.0952125127699537,0.0546625846907255,0.0841078272346971,0.0185164741653451,0.2292403129578211,0.0842203175718594,0.1062047079680481,1
GradientBoosting,rmse,fairness_activity,0.0951789488695799,0.0558522345617154,0.0821983607184266,0.0019065223687115,0.2240656128111062,0.083947524888703,0.1064103728504567,1
RandomForest,rmse,fairness_activity,0.0950904751089148,0.0552792405038092,0.0832160084731401,0.0065662876698846,0.2237552303542003,0.0839742755098978,0.1062066747079317,1
Bagging,rmse,fairness_activity,0.0938393382133363,0.0559108892889146,0.0779189800827322,0.0005557068667609,0.229024874005904,0.0825961192503101,0.1050825571763625,1
AdaBoost,rmse,fairness_activity,0.0928081958927524,0.0544394345732381,0.0833320081912156,0.0004479296993014,0.2224560798783763,0.0818608743438602,0.1037555174416445,1
BayesianRidge,rmse,fairness_activity,0.0928081866784378,0.053409985707128,0.0841348525059284,0.0121553606170654,0.2209073793103784,0.0820678788107824,0.1035484945460932,1
Ridge,rmse,fairness_activity,0.0927057503421747,0.0533526416527343,0.0842073930515454,0.0122644407273926,0.2206482773467979,0.0819769738911713,0.1034345267931781,1
Tweedie,rmse,fairness_activity,0.0921545510562124,0.0562902013161422,0.0856470239014504,0.0026377714220435,0.2188758793911449,0.0808350555711764,0.1034740465412483,1
BIASEDMF,rmse,fairness_activity,0.0617501343283542,0.0270143552820616,0.0695516407747237,0.0035917665215392,0.1016562220207251,0.0564553206930701,0.0670449479636383,2
SVD,rmse,fairness_activity,0.0542138861105497,0.0275873134031048,0.0603166448266311,0.0012830821012956,0.0983251449778944,0.0488067726835411,0.0596209995375582,2
