method,metric,analysis_type,mean,std,median,min,max,ci_lower,ci_upper,group
Tweedie,f1,fairness_gender,0.0667101121549248,0.0476586563727175,0.0678756149664119,0.0001203415165564,0.1563459735557495,0.0458227850632476,0.087597439246602,1
RandomForest,f1,fairness_gender,0.0642651848088079,0.0470128472253552,0.0586541013832291,0.0011870416518334,0.1385895568961931,0.0436608960553134,0.0848694735623024,1
AdaBoost,f1,fairness_gender,0.0637173057891468,0.0437012176616809,0.0570384434296322,0.00258795637743,0.1396294321514263,0.0445644026845043,0.0828702088937893,1
BayesianRidge,f1,fairness_gender,0.063203165553091,0.0459211150751764,0.0635823159541704,0.0022714158394181,0.1370483281399808,0.0430773495105967,0.0833289815955852,1
Ridge,f1,fairness_gender,0.062355812957209,0.0461712410207289,0.0605766976495664,0.0008744434358478,0.1425779080873369,0.0421203743857452,0.0825912515286728,1
Bagging,f1,fairness_gender,0.061853577023104,0.0420881463977367,0.0596799034536348,0.0005270875794938,0.1379777947283668,0.0434076335702127,0.0802995204759952,1
LinearSVR,f1,fairness_gender,0.0603313031788369,0.044791704430953,0.0578717963626116,0.0035567456453532,0.148485825896857,0.0407004731754418,0.0799621331822321,1
GradientBoosting,f1,fairness_gender,0.0600462384805002,0.0467919022695504,0.048375128570621,0.0003870907805298,0.1409110259684972,0.0395387831233369,0.0805536938376635,1
BIAS,f1,fairness_gender,0.0479422782759707,0.0386035508519338,0.0408321117569178,0.0046122557683461,0.1689389522261782,0.0310235261559231,0.0648610303960184,1
SVD,f1,fairness_gender,0.0455194341200527,0.0354757625264349,0.0378680024443992,0.0035726458028427,0.1500821140638996,0.0299714956737541,0.0610673725663514,1
BIASEDMF,f1,fairness_gender,0.0404338432911938,0.0356444512738467,0.0364356133718827,0.001308875116121,0.1459316856428769,0.0248119737416697,0.0560557128407178,1
itemKNN,f1,fairness_gender,0.035979230224708,0.0352049870324476,0.0264175289141714,0.0021239111765427,0.1486299355582901,0.0205499643710039,0.0514084960784121,1
userKNN,f1,fairness_gender,0.0313117730350868,0.034586540044658,0.0200623998102723,0.0021963559293064,0.1458926303473402,0.0161535535243975,0.0464699925457761,1
