method,metric,analysis_type,mean,std,median,min,max,ci_lower,ci_upper,group
StochasticItemKNN,mae,fairness_gender,0.0825381420325482,0.0875648270120968,0.0436669945004264,0.0001836127557031,0.3216773182453597,0.0653754359381773,0.0997008481269192,1
NMF,mae,fairness_gender,0.0741304802231566,0.0841904982257279,0.037186362838582,0.0007274647783076,0.3073398429251293,0.0576291425709139,0.0906318178753993,1
LinearSVR,mae,fairness_gender,0.0570300027505926,0.0585331130788305,0.0253454007347245,0.0001940755108544,0.1990183446138597,0.0455575125871418,0.0685024929140434,1
RandomForest,mae,fairness_gender,0.056337088639379,0.0576082142876059,0.0257213726878887,0.0003758291151005,0.1853902882228112,0.0450458786390083,0.0676282986397498,1
Ridge,mae,fairness_gender,0.0562647112826427,0.0555255274664216,0.0237479708609246,0.0001089563861688,0.1878424954113744,0.045381707899224,0.0671477146660613,1
BayesianRidge,mae,fairness_gender,0.0562258563353276,0.055523549297166,0.023814382788854,0.0001641211361216,0.1877608608350243,0.0453432406730831,0.0671084719975722,1
GradientBoosting,mae,fairness_gender,0.05613693764282,0.0576726441789639,0.0236944718082766,0.0005405472827576,0.1856303394172397,0.0448330993837431,0.067440775901897,1
Bagging,mae,fairness_gender,0.0559829764487025,0.0580593684263716,0.0245196306736645,0.0002701026340142,0.1884676751298021,0.0446033402371337,0.0673626126602714,1
AdaBoost,mae,fairness_gender,0.0554125686834541,0.0566254868100481,0.0237735679231617,0.0002333741775126,0.1790928616907899,0.0443139732686847,0.0665111640982236,1
Tweedie,mae,fairness_gender,0.0537858492949278,0.0556547487897257,0.0236792003008476,1.3393541577144674e-05,0.1901769318412742,0.0428775185321416,0.0646941800577141,1
SVD,mae,fairness_gender,0.0459601306002355,0.0440050362362587,0.0335499119784041,4.9247529010365554e-05,0.1621648923538307,0.0373351434979288,0.0545851177025422,1
BIASEDMF,mae,fairness_gender,0.0458333155722303,0.0414127099325142,0.0357414354530876,0.0001506877407244,0.1489400123379909,0.0377164244254576,0.0539502067190031,1
