method,metric,analysis_type,mean,std,median,min,max,ci_lower,ci_upper,group
RandomForest,ndcg,fairness_gender,0.029943128033167,0.0183881668804496,0.0301523543566179,0.002800268608486,0.067044233285186,0.0218841585724131,0.038002097493921,1
BayesianRidge,ndcg,fairness_gender,0.0289688765129828,0.0192828295706152,0.0264946804730646,0.0029111738576238,0.0784969277759148,0.0205178038401687,0.0374199491857968,1
Tweedie,ndcg,fairness_gender,0.0283204802623535,0.01776652776349,0.0261163013108079,0.0023356246771006,0.066540074559337,0.0205339561569065,0.0361070043678005,1
GradientBoosting,ndcg,fairness_gender,0.0282025645185455,0.0187054851357088,0.0291398275280459,0.0005791833551611,0.0737358414437608,0.0200045242006964,0.0364006048363947,1
AdaBoost,ndcg,fairness_gender,0.0280898726391575,0.0203977549686162,0.0280993778964026,0.0008874265492185,0.0787316683756612,0.0191501623663084,0.0370295829120067,1
Ridge,ndcg,fairness_gender,0.0278591124026867,0.0182373360066516,0.0271396971717614,0.0034035279834006,0.0694185645704262,0.0198662474869687,0.0358519773184047,1
LinearSVR,ndcg,fairness_gender,0.0278426583808563,0.0191599178878022,0.0246011393571944,0.0040351988600157,0.0691370436900815,0.0194454541281301,0.0362398626335825,1
Bagging,ndcg,fairness_gender,0.0261308627293623,0.0198034210434882,0.0213079566379446,0.0020735411337158,0.0783091701941145,0.0174516307838655,0.0348100946748591,1
itemKNN,ndcg,fairness_gender,0.0238135675137818,0.019281488470996,0.020145043481785,0.0003237417774439,0.0719380393651791,0.0153630826037908,0.0322640524237729,1
userKNN,ndcg,fairness_gender,0.0229292393624294,0.0178546512790293,0.0184223288036211,0.0009116056639582,0.0551022002187659,0.0151040934234346,0.0307543853014241,1
BIASEDMF,ndcg,fairness_gender,0.0215738475053435,0.0179369241978494,0.0159487373610332,0.0002458300288845,0.0601644796145919,0.0137126438698677,0.0294350511408193,1
SVD,ndcg,fairness_gender,0.0212050059752136,0.0173641552473695,0.0188437195312163,0.0002350542617828,0.0499135069259658,0.013594829400238,0.0288151825501893,1
BIAS,ndcg,fairness_gender,0.0196172283139236,0.016267954316118,0.0133032325492809,0.0014618312067835,0.0451410685247321,0.0124874829796062,0.026746973648241,1
