method,metric,analysis_type,mean,std,median,min,max,ci_lower,ci_upper,group
StochasticItemKNN,rmse,fairness_gender,0.1167884132686505,0.1428966026908034,0.0543430651667377,0.0019318270665209,0.5339984781272877,0.0887806791412531,0.144796147396048,1
NMF,rmse,fairness_gender,0.1013649726841662,0.1390964887423461,0.0443888640602473,0.0012988647192303,0.5151768450767077,0.0741020608906664,0.128627884477666,1
LinearSVR,rmse,fairness_gender,0.0676219025336708,0.0722765557555844,0.0351348884550811,0.0009893658779251,0.2393225890892383,0.0534556976055762,0.0817881074617653,1
GradientBoosting,rmse,fairness_gender,0.0668405708506357,0.069768285361522,0.0322255065523835,0.0019907424238583,0.226883259847674,0.0531659869197774,0.080515154781494,1
Bagging,rmse,fairness_gender,0.0667298132852778,0.0703373261727747,0.0339983632344692,0.0004573328093457,0.2310309458911957,0.0529436973554139,0.0805159292151416,1
RandomForest,rmse,fairness_gender,0.0665495258656698,0.0694181877343838,0.0308133903874771,0.0023029456772956,0.2235213748668152,0.0529435610697305,0.080155490661609,1
Ridge,rmse,fairness_gender,0.0660912871883515,0.0687044057260605,0.0311194933928595,0.0007626585719693,0.2259910763304,0.0526252236660436,0.0795573507106594,1
BayesianRidge,rmse,fairness_gender,0.0660329395252137,0.0686894984327315,0.0311719518352379,0.000654494410575,0.2260043518459589,0.0525697978323983,0.0794960812180291,1
AdaBoost,rmse,fairness_gender,0.0656044138022917,0.0681693885284976,0.0333012666664822,0.001473293306742,0.2169156036994979,0.0522432136507061,0.0789656139538772,1
Tweedie,rmse,fairness_gender,0.062964175993097,0.0689213240255184,0.0353724324200094,3.1021791199847826e-05,0.2316009537092209,0.0494555964840954,0.0764727555020986,1
SVD,rmse,fairness_gender,0.0573185193963211,0.0570369179792296,0.0360793403821737,4.193176034916757e-05,0.2087619240176117,0.0461392834723921,0.0684977553202501,1
BIASEDMF,rmse,fairness_gender,0.0548764786252094,0.0545158340910211,0.0375710733819629,0.0001509550245105,0.1934859365915106,0.0441913751433693,0.0655615821070496,1
