method,metric,analysis_type,mean,std,median,min,max,ci_lower,ci_upper,group
itemKNN,f1,georisk,0.5811973655009943,0.0145859812695405,0.582068839607547,0.5528439053939217,0.5991421122177943,0.5748047773560969,0.5875899536458917,1
BIASEDMF,f1,georisk,0.5757460546244685,0.017064558340595,0.5689476196480472,0.5508403249718569,0.6035407573861319,0.5682671821831745,0.5832249270657625,1
LinearSVR,f1,georisk,0.5755710224396828,0.0146815115497508,0.5785884848486322,0.5519007690672176,0.5978287949105419,0.5691365663034954,0.5820054785758703,1
GradientBoosting,f1,georisk,0.572130489919619,0.0141116904804418,0.5731573771865415,0.5471771722971377,0.5943635403416856,0.5659457688780449,0.5783152109611931,1
RandomForest,f1,georisk,0.5708660939758909,0.015801099212244,0.5733329427313201,0.5443306748098984,0.593009576591576,0.563940956912163,0.5777912310396189,1
SVD,f1,georisk,0.5693617176399159,0.0163831482112499,0.5662342992817477,0.5462768993099746,0.5968688149729082,0.5621814863550973,0.5765419489247345,1
Ridge,f1,georisk,0.5686782494656095,0.0153500671492744,0.5660834121707148,0.5425795882654095,0.5945833799813511,0.5619507859190366,0.5754057130121825,1
userKNN,f1,georisk,0.5682967735854064,0.0203349380242613,0.5658053746123808,0.5288811658048764,0.5978017629238938,0.5593845940522697,0.5772089531185431,1
BayesianRidge,f1,georisk,0.5681691246130778,0.015693940309151,0.5658966682673814,0.5426409009634032,0.5945954232017708,0.561290952009325,0.5750472972168306,1
Bagging,f1,georisk,0.5677366358211182,0.0140000697791269,0.5705743036534197,0.5473820319907798,0.5925563211427601,0.5616008347088081,0.5738724369334284,1
AdaBoost,f1,georisk,0.5673799434848033,0.0168039283490507,0.5716227060382619,0.5284908230766757,0.588406856371267,0.5600152971736106,0.5747445897959959,1
BIAS,f1,georisk,0.5671661545245661,0.0150354527060257,0.565920091514994,0.5469347779975519,0.5924507541150829,0.5605765768372274,0.5737557322119048,1
Tweedie,f1,georisk,0.5569933998035721,0.0162012040489394,0.5573791944088353,0.5325359354616477,0.5863629000523464,0.5498929090637005,0.5640938905434437,1
