method,metric,analysis_type,mean,std,median,min,max,ci_lower,ci_upper,group
Tweedie,ndcg,georisk,0.6700833169439329,0.0031837222961025,0.6702779943017646,0.6632049805881012,0.6755938025451431,0.6686879891267217,0.671478644761144,1
Ridge,ndcg,georisk,0.6700486377028442,0.0030413521088274,0.6706056340465348,0.6634088147143593,0.6749882614704757,0.6687157063713095,0.6713815690343788,1
BayesianRidge,ndcg,georisk,0.6700181353552344,0.0030349957433161,0.6703285424069891,0.6634906994482617,0.6749793863111754,0.6686879898237128,0.6713482808867559,1
LinearSVR,ndcg,georisk,0.6699285155470285,0.0031551515487896,0.6699290819173033,0.6636849552982078,0.6752210866618562,0.6685457094119166,0.6713113216821404,1
RandomForest,ndcg,georisk,0.6698162638266629,0.002918545427228,0.6702495383721438,0.6636396130943876,0.6735954585640018,0.6685371548964051,0.6710953727569208,1
AdaBoost,ndcg,georisk,0.6693589270476402,0.0027759182975963,0.6693172598659296,0.6647840860570987,0.6743856967303019,0.6681423272130117,0.6705755268822687,1
GradientBoosting,ndcg,georisk,0.6693086247457714,0.002917099484884,0.6687747465680082,0.663582557844686,0.6742868342105334,0.6680301495276866,0.6705870999638561,1
SVD,ndcg,georisk,0.6686347267655737,0.0027223569457261,0.6686169726415623,0.6629756468809469,0.6736107316741898,0.6674416012283998,0.6698278523027476,1
BIASEDMF,ndcg,georisk,0.6685399283151237,0.0031124999206452,0.6685953315510194,0.6628859503921013,0.6740171820671004,0.6671758150802286,0.6699040415500187,1
itemKNN,ndcg,georisk,0.6682371831094536,0.0030514193335103,0.6676612367708492,0.6643771477102111,0.6738383416873936,0.6668998396221667,0.6695745265967404,1
BIAS,ndcg,georisk,0.6678331023768141,0.0030212854552574,0.6679872352737015,0.6607801263335369,0.6744316351195684,0.6665089656439662,0.6691572391096621,1
Bagging,ndcg,georisk,0.6668226310972185,0.0033135587366528,0.666865668282081,0.6610837954781059,0.6716219164204095,0.6653703999510301,0.6682748622434069,1
userKNN,ndcg,georisk,0.6655447585148317,0.0035703484512951,0.6658415171969565,0.6593132350314097,0.6716516264106753,0.6639799843141022,0.6671095327155613,1
