method,metric,analysis_type,mean,std,median,min,max,ci_lower,ci_upper,group
SVD,rmse,georisk,0.8341130629138059,0.1221314132638778,0.7771127124747055,0.6888158639848329,1.1199172606839929,0.8101753059140859,0.8580508199135259,1
BIASEDMF,rmse,georisk,0.8330495025133391,0.1228681395187237,0.7788099175352972,0.6797971607587531,1.1164749268629592,0.8089673471676693,0.8571316578590089,1
NMF,rmse,georisk,0.8143614992719153,0.1250931427688494,0.762784549345342,0.6471373268802347,1.097728127457143,0.7898432432892207,0.8388797552546098,1
StochasticItemKNN,rmse,georisk,0.7973510417775493,0.1238460396993556,0.7415904221607228,0.6390610386795763,1.085241379679066,0.7730772179964757,0.821624865558623,1
RandomForest,rmse,georisk,0.781799113067889,0.127813929877859,0.7234148131366751,0.6320550612568614,1.0898693209649968,0.7567475828118286,0.8068506433239493,1
GradientBoosting,rmse,georisk,0.7815969777282943,0.1275887178706209,0.7244576230073416,0.6309850410587455,1.087849318813094,0.7565895890256525,0.806604366430936,1
AdaBoost,rmse,georisk,0.781546499502116,0.1277372903875152,0.7242188097267686,0.6306467464308378,1.0886082407301547,0.756509990586163,0.806583008418069,1
Tweedie,rmse,georisk,0.7814015011417819,0.127091623599661,0.7232231930322457,0.6315241530357988,1.0870564304670634,0.7564915429162483,0.8063114593673154,1
BayesianRidge,rmse,georisk,0.7809307130731127,0.1273162168188036,0.7239439845455393,0.632903574906233,1.085736125475644,0.7559767345766272,0.8058846915695982,1
Ridge,rmse,georisk,0.78084707069459,0.1273028385441366,0.7239011388232501,0.6329056500212149,1.0854522526713877,0.7558957143399393,0.8057984270492408,1
LinearSVR,rmse,georisk,0.7785698069801296,0.127786697264826,0.7221123644149383,0.6330024187019925,1.0869101138004098,0.7535236143162237,0.8036159996440354,1
Bagging,rmse,georisk,0.777145738804009,0.1277272656581672,0.7192965985614432,0.6239676444302755,1.082337498432011,0.7521111947350082,0.8021802828730097,1
