method,mean,ci_lower,ci_upper
Tweedie,0.081963754834195,0.068709915027085,0.0952175946413051
RandomForest,0.0802431171022669,0.0666152059204059,0.0938710282841279
AdaBoost,0.0785271900084002,0.0658828297545732,0.0911715502622273
GradientBoosting,0.0758035769333938,0.0636318824128821,0.0879752714539056
BayesianRidge,0.0748538860601382,0.0629544376132807,0.0867533345069957
Ridge,0.0746495495721058,0.0628277634976501,0.0864713356465614
LinearSVR,0.073074345033807,0.0619129548268415,0.0842357352407724
Bagging,0.0727965082350087,0.0614299736688974,0.0841630428011199
StochasticItemKNN,0.0546897403279397,0.04861458382123,0.0607648968346494
NMF,0.0525194591295503,0.044670886071826,0.0603680321872747
BIASEDMF,0.0378494546591893,0.033011469566782,0.0426874397515966
SVD,0.037208863438661,0.0317787767487164,0.0426389501286057
