method,mean,ci_lower,ci_upper
NMF,0.102135734645151,0.0834942147973498,0.1207772544929521
LinearSVR,0.0770773651047708,0.067137840760684,0.0870168894488575
RandomForest,0.0765693541062275,0.0665610004283058,0.0865777077841492
GradientBoosting,0.0765432556273903,0.0665683939726063,0.0865181172821742
BayesianRidge,0.0752240358385266,0.0654861709785542,0.0849619006984991
AdaBoost,0.0751788627247526,0.0652769676497654,0.0850807577997398
Ridge,0.0751546756540953,0.0654219575793698,0.0848873937288207
Bagging,0.0749533054984447,0.0652093043105193,0.0846973066863701
Tweedie,0.0748761454770226,0.0647691028617202,0.084983188092325
StochasticItemKNN,0.0676659403135805,0.0519227395673613,0.0834091410597996
BIASEDMF,0.0476561615675854,0.0435004456934216,0.0518118774417492
SVD,0.0436842371383279,0.0390355219504304,0.0483329523262254
