method,mean,ci_lower,ci_upper
GradientBoosting,0.0645205934407786,0.0533824748027823,0.0756587120787749
Tweedie,0.0643935255741754,0.053329660360992,0.0754573907873589
AdaBoost,0.0638349958520271,0.0531280239683686,0.0745419677356856
RandomForest,0.0630596898218649,0.0518250684522118,0.074294311191518
Bagging,0.0625102607499007,0.0521293912707358,0.0728911302290655
BayesianRidge,0.0622098906106078,0.0512614941646608,0.0731582870565547
LinearSVR,0.0619875495562492,0.0510330777007658,0.0729420214117325
Ridge,0.0618086120584572,0.0508643546448531,0.0727528694720613
StochasticItemKNN,0.0149348728564587,0.0129860368701955,0.0168837088427218
SVD,0.0110357440624873,0.0094138839288155,0.0126576041961591
BIASEDMF,0.0108295148623278,0.0087750015423931,0.0128840281822626
NMF,0.0088276204322477,0.0070625235305696,0.0105927173339257
