method,mean,ci_lower,ci_upper
NMF,0.1381464460489833,0.1088160677512467,0.1674768243467199
StochasticItemKNN,0.1043021365761913,0.0777039906146919,0.1309002825376906
LinearSVR,0.0952125127699537,0.0842203175718594,0.1062047079680481
GradientBoosting,0.0951789488695799,0.083947524888703,0.1064103728504567
RandomForest,0.0950904751089148,0.0839742755098978,0.1062066747079317
Bagging,0.0938393382133363,0.0825961192503101,0.1050825571763625
AdaBoost,0.0928081958927524,0.0818608743438602,0.1037555174416445
BayesianRidge,0.0928081866784378,0.0820678788107824,0.1035484945460932
Ridge,0.0927057503421747,0.0819769738911713,0.1034345267931781
Tweedie,0.0921545510562124,0.0808350555711764,0.1034740465412483
BIASEDMF,0.0617501343283542,0.0564553206930701,0.0670449479636383
SVD,0.0542138861105497,0.0488067726835411,0.0596209995375582
