method,mean,ci_lower,ci_upper
Tweedie,0.0777517818960488,0.0696988260352127,0.0858047377568849
Ridge,0.0733832410813686,0.0651876024641386,0.0815788796985985
BayesianRidge,0.0731395641326985,0.0649561657378939,0.0813229625275031
AdaBoost,0.073129793160266,0.0649490185399864,0.0813105677805455
RandomForest,0.0713921341542529,0.0630977182984764,0.0796865500100293
GradientBoosting,0.070834802968648,0.0627274903403364,0.0789421155969597
LinearSVR,0.0700324215545835,0.0621032041501275,0.0779616389590395
Bagging,0.0695635051137482,0.0616705803285215,0.0774564298989748
StochasticItemKNN,0.05062441478898,0.0426452667084155,0.0586035628695444
SVD,0.0415896118077348,0.0352919250474467,0.0478872985680229
NMF,0.040305411918957,0.0338246639520938,0.0467861598858203
BIASEDMF,0.0371163424184953,0.0308979773530826,0.043334707483908
