method,mean,ci_lower,ci_upper
RandomForest,0.0263133722958043,0.0221607990444945,0.0304659455471142
AdaBoost,0.0260908864810718,0.0219853806607218,0.0301963923014218
GradientBoosting,0.0257230475261043,0.0217777126298481,0.0296683824223605
Tweedie,0.025451983695636,0.0214609391975464,0.0294430281937255
LinearSVR,0.0252657719328594,0.0213068984660953,0.0292246453996234
Ridge,0.0252356385573599,0.0212834094729513,0.0291878676417684
BayesianRidge,0.0252251752586533,0.0212501845918255,0.0292001659254811
Bagging,0.0248436392995812,0.0212884484544762,0.0283988301446862
BIASEDMF,0.0201054486203737,0.0175826350735588,0.0226282621671887
NMF,0.0190697897005716,0.0157149655746969,0.0224246138264464
SVD,0.0180256707242928,0.0152849323287706,0.0207664091198151
StochasticItemKNN,0.0152391281994838,0.0131809276993703,0.0172973286995974
