method,mean,ci_lower,ci_upper
StochasticItemKNN,0.1167884132686505,0.0887806791412531,0.144796147396048
NMF,0.1013649726841662,0.0741020608906664,0.128627884477666
LinearSVR,0.0676219025336708,0.0534556976055762,0.0817881074617653
GradientBoosting,0.0668405708506357,0.0531659869197774,0.080515154781494
Bagging,0.0667298132852778,0.0529436973554139,0.0805159292151416
RandomForest,0.0665495258656698,0.0529435610697305,0.080155490661609
Ridge,0.0660912871883515,0.0526252236660436,0.0795573507106594
BayesianRidge,0.0660329395252137,0.0525697978323983,0.0794960812180291
AdaBoost,0.0656044138022917,0.0522432136507061,0.0789656139538772
Tweedie,0.062964175993097,0.0494555964840954,0.0764727555020986
SVD,0.0573185193963211,0.0461392834723921,0.0684977553202501
BIASEDMF,0.0548764786252094,0.0441913751433693,0.0655615821070496
