method,mean,ci_lower,ci_upper
BIASEDMF,0.5813830661928963,0.5775700674984052,0.5851960648873873
SVD,0.5741473823742558,0.5704899480003183,0.5778048167481933
NMF,0.5613905450620559,0.5578204847587651,0.5649606053653466
StochasticItemKNN,0.533663463848131,0.5284900877572426,0.5388368399390194
LinearSVR,0.5149529778854339,0.5119747108329806,0.5179312449378872
GradientBoosting,0.5099013687028395,0.5070211958591248,0.5127815415465543
Bagging,0.5097680189640786,0.507057111306037,0.5124789266221202
RandomForest,0.5095010604118155,0.5065883329863035,0.5124137878373276
Ridge,0.5044269321382951,0.5014437385009606,0.5074101257756297
BayesianRidge,0.5044265756283677,0.5014462191689553,0.5074069320877801
AdaBoost,0.5040166075935153,0.5005036381203612,0.5075295770666693
Tweedie,0.4915541547322267,0.4884939896010239,0.4946143198634294
