method,mean,ci_lower,ci_upper
SVD,0.8202429572175413,0.7950644728804932,0.8454214415545893
BIASEDMF,0.8195070240212884,0.7942182759927461,0.8447957720498307
NMF,0.8042987052133751,0.7787746144577428,0.8298227959690074
StochasticItemKNN,0.7894371515295501,0.7638970800664099,0.8149772229926903
RandomForest,0.7752584330685585,0.7490784420413938,0.8014384240957231
GradientBoosting,0.7750742592940347,0.7489348325053897,0.8012136860826797
AdaBoost,0.7744942061836162,0.7483301510298547,0.8006582613373777
BayesianRidge,0.7742152054690724,0.7480508859107716,0.8003795250273732
Ridge,0.7741656925030673,0.7480023832077861,0.8003290017983485
Tweedie,0.7737339961201346,0.7475595223437799,0.7999084698964893
LinearSVR,0.7736032265234182,0.747405973626102,0.7998004794207344
Bagging,0.7712341407049511,0.7450279265800513,0.7974403548298509
