method,mean,ci_lower,ci_upper
SVD,0.667648660945028,0.667008204977636,0.6682891169124199
BIASEDMF,0.667263868066939,0.6665178168583104,0.6680099192755677
NMF,0.6617030673088843,0.6608823594313826,0.6625237751863859
StochasticItemKNN,0.646142759064898,0.6453103501137452,0.6469751680160509
Bagging,0.6296003920867247,0.628527136174683,0.6306736479987664
RandomForest,0.629443312940094,0.6284073292728307,0.6304792966073574
Tweedie,0.6291704694549045,0.6281450948937302,0.6301958440160789
GradientBoosting,0.629163099562341,0.6281081221944534,0.6302180769302285
LinearSVR,0.6291600602119659,0.628127238951449,0.6301928814724829
AdaBoost,0.6291526719187197,0.6281075789877437,0.6301977648496957
BayesianRidge,0.6291259881589424,0.6280994858517931,0.6301524904660917
Ridge,0.6291251648624133,0.6280927315775928,0.6301575981472338
