method,mean,ci_lower,ci_upper
SVD,0.8341130629138059,0.8101753059140859,0.8580508199135259
BIASEDMF,0.8330495025133391,0.8089673471676693,0.8571316578590089
NMF,0.8143614992719153,0.7898432432892207,0.8388797552546098
StochasticItemKNN,0.7973510417775493,0.7730772179964757,0.821624865558623
RandomForest,0.781799113067889,0.7567475828118286,0.8068506433239493
GradientBoosting,0.7815969777282943,0.7565895890256525,0.806604366430936
AdaBoost,0.781546499502116,0.756509990586163,0.806583008418069
Tweedie,0.7814015011417819,0.7564915429162483,0.8063114593673154
BayesianRidge,0.7809307130731127,0.7559767345766272,0.8058846915695982
Ridge,0.78084707069459,0.7558957143399393,0.8057984270492408
LinearSVR,0.7785698069801296,0.7535236143162237,0.8036159996440354
Bagging,0.777145738804009,0.7521111947350082,0.8021802828730097
