method,metric,mean,std,median,min,max,n,ci_lower,ci_upper
StochasticItemKNN,f1,0.6699788443586026,0.03394827757029628,0.6778918742641629,0.6010248901903368,0.715787532275913,100,0.6633249819548245,0.6766327067623806
NMF,f1,0.6865489042780207,0.040948715715157256,0.6953465148212958,0.5987261146496815,0.7458821091888532,100,0.67852295599785,0.6945748525581915
Tweedie,f1,0.6904061812967437,0.03421534482777408,0.7050953349061029,0.619624217118998,0.7371173330428151,100,0.6836999737105,0.6971123888829874
Bagging,f1,0.6974928407163972,0.03132199468087352,0.7093327235790328,0.6258343148802513,0.7360800596188651,100,0.6913537297589459,0.7036319516738484
AdaBoost,f1,0.7055857707933254,0.031032758694502092,0.7109717599699673,0.6382840428989275,0.7597104699765521,100,0.699503350089203,0.7116681914974479
Ridge,f1,0.7059507862127853,0.034884579647432315,0.7222187970372387,0.6329723225030084,0.751814834297738,100,0.6991134086018885,0.712788163823682
BayesianRidge,f1,0.7061040912591429,0.03480751881346653,0.7221474607344687,0.6332263242375602,0.7517357458447297,100,0.6992818175717034,0.7129263649465823
GradientBoosting,f1,0.7107632595272042,0.03254417150316247,0.7248180983270333,0.6391752577319587,0.7535654362416108,100,0.7043846019125843,0.7171419171418241
RandomForest,f1,0.7115465736285185,0.03283000367644318,0.7275628555682805,0.6380072318200081,0.752699444386204,100,0.7051118929079356,0.7179812543491013
LinearSVR,f1,0.7177134262201349,0.03161302420020625,0.7325245135843819,0.6522563519150549,0.7588120439831466,100,0.7115172734768944,0.7239095789633754
SVD,f1,0.7178798583599324,0.02773329109320664,0.7258077232698066,0.6652477956825783,0.7586557010864047,100,0.7124441333056639,0.7233155834142009
BIASEDMF,f1,0.7182660619165876,0.0325772306134702,0.7240861723397407,0.6571254567600487,0.7641947868256214,100,0.7118809247163475,0.7246511991168277
LinearSVR,mae,0.7307186015764202,0.04175574007849513,0.7327193066015594,0.6736336629299444,0.8435550128602661,100,0.7225344765210352,0.7389027266318052
SVD,mae,0.7322125240244146,0.03205071244541403,0.7314884360578204,0.6884594489393226,0.7928119600687751,100,0.7259305843851135,0.7384944636637157
BIASEDMF,mae,0.7331416799006812,0.03956405230550392,0.7363841301767406,0.675548093409213,0.7988840437470583,100,0.7253871256488025,0.74089623415256
RandomForest,mae,0.7338661602998099,0.04008192834203139,0.7317809245837567,0.6765044955621483,0.8368476426973899,100,0.7260101023447717,0.7417222182548481
Ridge,mae,0.7343031075176104,0.043710999054329874,0.7323022863956232,0.6766617916314838,0.8522019840571419,100,0.7257357517029618,0.742870463332259
BayesianRidge,mae,0.7344005954798442,0.04390481467244859,0.732328699879522,0.6766837725366343,0.8527710761757442,100,0.7257952518040443,0.7430059391556441
GradientBoosting,mae,0.7385233897519408,0.04622360203387967,0.7339477729349395,0.677442696164963,0.8713152097500717,100,0.7294635637533003,0.7475832157505812
AdaBoost,mae,0.7391333825462131,0.03992449734076916,0.7354279234600412,0.6826292313591863,0.8505908664392693,100,0.7313081810674223,0.7469585840250038
Tweedie,mae,0.7412119490187513,0.043692043486143424,0.739133494921828,0.6882079109406528,0.8565270542413598,100,0.7326483084954672,0.7497755895420354
Bagging,mae,0.753177894854198,0.046072932660179484,0.7490562268451191,0.6915929821295607,0.88762460991827,100,0.7441476000528028,0.7622081896555931
NMF,mae,0.7950378477914727,0.09952399933110083,0.7828428180617024,0.7071656127107943,1.080102908419227,100,0.7755311439225769,0.8145445516603684
StochasticItemKNN,mae,0.8587620109614433,0.07808826640587058,0.8281565684747727,0.8006019165019089,1.0976890684501943,100,0.8434567107458927,0.874067311176994
StochasticItemKNN,ndcg,0.8361216268428876,0.00997640556642057,0.8375197569249775,0.8087242137272364,0.8542389033060144,100,0.8341662513518692,0.838077002333906
NMF,ndcg,0.8755901172345892,0.010725454899138707,0.8751512068820709,0.8564698820589638,0.8930881095025324,100,0.873487928074358,0.8776923063948204
Bagging,ndcg,0.8826382820914398,0.009980896867178742,0.8830431789309541,0.862994785028109,0.8991540194316556,100,0.8806820263054728,0.8845945378774068
BIASEDMF,ndcg,0.8896983689185751,0.011008441451561829,0.8874626839145362,0.8717002123545916,0.9078133029547966,100,0.887540714394069,0.8918560234430812
