method,metric,mean,std,median,min,max,n,ci_lower,ci_upper,group
BIASEDMF,f1,0.7182660619165876,0.0325772306134702,0.7240861723397407,0.6571254567600487,0.7641947868256214,100,0.7118809247163475,0.7246511991168277,1
SVD,f1,0.7178798583599324,0.0277332910932066,0.7258077232698066,0.6652477956825783,0.7586557010864047,100,0.7124441333056639,0.7233155834142009,1
LinearSVR,f1,0.7177134262201349,0.0316130242002062,0.7325245135843819,0.6522563519150549,0.7588120439831466,100,0.7115172734768944,0.7239095789633754,1
RandomForest,f1,0.7115465736285185,0.0328300036764431,0.7275628555682805,0.6380072318200081,0.752699444386204,100,0.7051118929079356,0.7179812543491013,1
GradientBoosting,f1,0.7107632595272042,0.0325441715031624,0.7248180983270333,0.6391752577319587,0.7535654362416108,100,0.7043846019125843,0.7171419171418241,1
BayesianRidge,f1,0.7061040912591429,0.0348075188134665,0.7221474607344687,0.6332263242375602,0.7517357458447297,100,0.6992818175717034,0.7129263649465823,1
Ridge,f1,0.7059507862127853,0.0348845796474323,0.7222187970372387,0.6329723225030084,0.751814834297738,100,0.6991134086018885,0.712788163823682,1
AdaBoost,f1,0.7055857707933254,0.031032758694502,0.7109717599699673,0.6382840428989275,0.7597104699765521,100,0.699503350089203,0.7116681914974479,1
Bagging,f1,0.6974928407163972,0.0313219946808735,0.7093327235790328,0.6258343148802513,0.7360800596188651,100,0.6913537297589459,0.7036319516738484,1
Tweedie,f1,0.6904061812967437,0.034215344827774,0.7050953349061029,0.619624217118998,0.7371173330428151,100,0.6836999737105,0.6971123888829874,1
NMF,f1,0.6865489042780207,0.0409487157151572,0.6953465148212958,0.5987261146496815,0.7458821091888532,100,0.67852295599785,0.6945748525581915,1
StochasticItemKNN,f1,0.6699788443586026,0.0339482775702962,0.6778918742641629,0.6010248901903368,0.715787532275913,100,0.6633249819548245,0.6766327067623806,2
