method,metric,mean,std,median,min,max,n,ci_lower,ci_upper,group
StochasticItemKNN,mae,0.8587620109614433,0.0780882664058705,0.8281565684747727,0.8006019165019089,1.0976890684501943,100,0.8434567107458927,0.874067311176994,1
NMF,mae,0.7950378477914727,0.0995239993311008,0.7828428180617024,0.7071656127107943,1.080102908419227,100,0.7755311439225769,0.8145445516603684,2
Bagging,mae,0.753177894854198,0.0460729326601794,0.7490562268451191,0.6915929821295607,0.88762460991827,100,0.7441476000528028,0.7622081896555931,3
Tweedie,mae,0.7412119490187513,0.0436920434861434,0.739133494921828,0.6882079109406528,0.8565270542413598,100,0.7326483084954672,0.7497755895420354,3
AdaBoost,mae,0.7391333825462131,0.0399244973407691,0.7354279234600412,0.6826292313591863,0.8505908664392693,100,0.7313081810674223,0.7469585840250038,3
GradientBoosting,mae,0.7385233897519408,0.0462236020338796,0.7339477729349395,0.677442696164963,0.8713152097500717,100,0.7294635637533003,0.7475832157505812,3
BayesianRidge,mae,0.7344005954798442,0.0439048146724485,0.732328699879522,0.6766837725366343,0.8527710761757442,100,0.7257952518040443,0.7430059391556441,3
Ridge,mae,0.7343031075176104,0.0437109990543298,0.7323022863956232,0.6766617916314838,0.8522019840571419,100,0.7257357517029618,0.742870463332259,3
RandomForest,mae,0.7338661602998099,0.0400819283420313,0.7317809245837567,0.6765044955621483,0.8368476426973899,100,0.7260101023447717,0.7417222182548481,3
BIASEDMF,mae,0.7331416799006812,0.0395640523055039,0.7363841301767406,0.675548093409213,0.7988840437470583,100,0.7253871256488025,0.74089623415256,3
SVD,mae,0.7322125240244146,0.032050712445414,0.7314884360578204,0.6884594489393226,0.7928119600687751,100,0.7259305843851135,0.7384944636637157,3
LinearSVR,mae,0.7307186015764202,0.0417557400784951,0.7327193066015594,0.6736336629299444,0.8435550128602661,100,0.7225344765210352,0.7389027266318052,3
