method,metric,mean,std,median,min,max,n,ci_lower,ci_upper,group
Tweedie,ndcg,0.8925818793159879,0.0103096953939308,0.89232248392985,0.8740096011740771,0.9088078811692724,100,0.8905611790187774,0.8946025796131983,1
LinearSVR,ndcg,0.8923127156017029,0.0100540089431876,0.8920020809369519,0.873134380848363,0.907834376178714,100,0.8903421298488381,0.8942833013545677,1
BayesianRidge,ndcg,0.8922252887752616,0.010213424188655,0.8921350652937199,0.8737338062621713,0.9082881230002746,100,0.8902234576342852,0.894227119916238,1
Ridge,ndcg,0.8921623812213074,0.0102289605876635,0.8923216058463342,0.8731420172915522,0.9084605258577116,100,0.8901575049461253,0.8941672574964895,1
RandomForest,ndcg,0.8920233867705021,0.0103478284371745,0.8948577744187175,0.8724998773817892,0.9082644603565226,100,0.8899952123968159,0.8940515611441883,1
AdaBoost,ndcg,0.8913525566838087,0.0100701266483059,0.8938470820880953,0.8701696852343479,0.9079261101206018,100,0.8893788118607407,0.8933263015068768,1
GradientBoosting,ndcg,0.8909031236275625,0.0102148841504233,0.8919040420525105,0.8705838898664295,0.9070338712371612,100,0.8889010063340795,0.8929052409210455,1
SVD,ndcg,0.8899858298516188,0.0091651985308182,0.8920414371864148,0.8719676081406748,0.9073645615778604,100,0.8881894509395785,0.8917822087636591,1
BIASEDMF,ndcg,0.8896983689185751,0.0110084414515618,0.8874626839145362,0.8717002123545916,0.9078133029547966,100,0.887540714394069,0.8918560234430812,1
Bagging,ndcg,0.8826382820914398,0.0099808968671787,0.8830431789309541,0.862994785028109,0.8991540194316556,100,0.8806820263054728,0.8845945378774068,2
NMF,ndcg,0.8755901172345892,0.0107254548991387,0.8751512068820709,0.8564698820589638,0.8930881095025324,100,0.873487928074358,0.8776923063948204,3
StochasticItemKNN,ndcg,0.8361216268428876,0.0099764055664205,0.8375197569249775,0.8087242137272364,0.8542389033060144,100,0.8341662513518692,0.838077002333906,4
