method,metric,mean,std,median,min,max,n,ci_lower,ci_upper,group
StochasticItemKNN,rmse,1.1048228844777384,0.1242425585192611,1.0602308739534945,1.0315065504563572,1.4845636152562287,100,1.080471343007963,1.1291744259475136,1
NMF,rmse,1.0218440460450549,0.1531520338861015,0.9905912217172904,0.902790881141094,1.465792540140716,100,0.991826247403379,1.0518618446867307,2
Bagging,rmse,0.950706523528727,0.0555053727937355,0.946721495061017,0.8783938165568057,1.115612776892622,100,0.9398274704611548,0.9615855765962992,3
Tweedie,rmse,0.9346622372999908,0.0513839784808535,0.9329492790503496,0.8694320740018292,1.0739632440792866,100,0.9245909775177436,0.9447334970822382,3
GradientBoosting,rmse,0.9336705929210772,0.0555403987909292,0.9316430226346836,0.8609402024236175,1.0943024882614687,100,0.9227846747580551,0.9445565110840994,3
BIASEDMF,rmse,0.9314261020469972,0.0437327640859883,0.93660028036966,0.8658739156023003,0.9958126905278124,100,0.9228544802861436,0.9399977238078508,3
AdaBoost,rmse,0.9304470894729294,0.0467656535212929,0.930758124555204,0.8650239101961016,1.058424826961917,100,0.921281021382756,0.9396131575631028,3
LinearSVR,rmse,0.928982696094638,0.0477211031654973,0.9320215362316486,0.8606541259968667,1.0585694660162226,100,0.9196293598742008,0.9383360323150756,3
SVD,rmse,0.9289534111900372,0.0348943017880126,0.9289661951850208,0.8809012463828256,0.9844121620121826,100,0.9221141280395868,0.9357926943404876,3
BayesianRidge,rmse,0.92836190034136,0.0511766532940126,0.9302169866059686,0.8587853786054329,1.0670742216715643,100,0.9183312762957336,0.9383925243869866,3
Ridge,rmse,0.9282625901987828,0.050899979327082,0.9303026144632176,0.8587642340710816,1.0660118420285265,100,0.9182861942506748,0.9382389861468908,3
RandomForest,rmse,0.9273475987884524,0.0460792489567991,0.9286149373421928,0.860565337979563,1.0408928383883065,100,0.9183160659929198,0.936379131583985,3
