method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper
Tweedie,f1,vulnerable_activity,0.5893242788576871,0.03419362727891479,0.5850862857265644,0.4915590863952334,0.6388765046812305,100,0.5826223279110199,0.5960262298043544
AdaBoost,f1,vulnerable_activity,0.6044864225222771,0.03594059911587352,0.603543369863248,0.499267220322423,0.6699232379623168,100,0.597442065095566,0.6115307799489883
BayesianRidge,f1,vulnerable_activity,0.6063260038721943,0.034000786824589846,0.6051581132969519,0.5009633911368016,0.6535975872468763,100,0.5996618496545747,0.6129901580898138
Ridge,f1,vulnerable_activity,0.6063569491899089,0.03398162626266585,0.6054270229517653,0.5016851227732306,0.6543183286668103,100,0.5996965504424264,0.6130173479373914
Bagging,f1,vulnerable_activity,0.6069585811381555,0.032742744736142214,0.6021812044151037,0.5201465201465202,0.6769446391030133,100,0.6005410031698716,0.6133761591064394
GradientBoosting,f1,vulnerable_activity,0.6143059045058855,0.032547939906807086,0.6111388573737291,0.5161904761904762,0.6666666666666666,100,0.6079265082841513,0.6206853007276197
RandomForest,f1,vulnerable_activity,0.6143122882745058,0.03360313040913663,0.6125316578998636,0.5052732502396932,0.6638714185883997,100,0.6077260747143151,0.6208985018346965
LinearSVR,f1,vulnerable_activity,0.6215843898472693,0.033639621575765055,0.621563654358142,0.525929325378614,0.6748299319727891,100,0.6149910240184193,0.6281777556761192
StochasticItemKNN,f1,vulnerable_activity,0.6824803767608444,0.044482042859148696,0.6903247549019608,0.5816894284269094,0.7495102155051777,100,0.6737618963604513,0.6911988571612375
NMF,f1,vulnerable_activity,0.6842222331427383,0.0533508115017586,0.6957867933366211,0.5711111111111111,0.7658986175115208,100,0.6737654740883936,0.6946789921970831
BIASEDMF,f1,vulnerable_activity,0.7210515956608173,0.04052265927201541,0.7260389586617466,0.6473029045643154,0.7800330777326718,100,0.7131091544435023,0.7289940368781324
SVD,f1,vulnerable_activity,0.7215924293218245,0.035425598614611954,0.7334593789389252,0.6509695290858726,0.7735392067817136,100,0.7146490119933606,0.7285358466502885
SVD,mae,vulnerable_activity,0.7433712134431247,0.02675316826085933,0.7468350577593168,0.6936131400105915,0.7984376658626002,100,0.7381275924639963,0.7486148344222532
BIASEDMF,mae,vulnerable_activity,0.7456712275673381,0.03609026882956617,0.7553478251980386,0.6771466587936178,0.8090228045725266,100,0.7385975348767431,0.752744920257933
NMF,mae,vulnerable_activity,0.8215409424041092,0.11344696886709098,0.8153147468827845,0.7109389258904082,1.1796690610391192,100,0.7993053365061594,0.8437765483020591
GradientBoosting,mae,vulnerable_activity,0.8601304195135843,0.030074482532454372,0.8670400357028314,0.7792255400862178,0.9049420328574926,100,0.8542358209372232,0.8660250180899454
RandomForest,mae,vulnerable_activity,0.8601869254340281,0.030632207492367315,0.8651989901439935,0.7762260563978143,0.9067664138475818,100,0.8541830127655241,0.8661908381025321
Tweedie,mae,vulnerable_activity,0.8620597105103943,0.028920945941507466,0.8682225440646587,0.7797561683979034,0.9091011030574788,100,0.8563912051058589,0.8677282159149298
AdaBoost,mae,vulnerable_activity,0.862104561016763,0.030841350622797775,0.868905403411202,0.775897717285576,0.910870400542544,100,0.8560596562946947,0.8681494657388313
